corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,goResp.rt,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}]","[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}]",19.208614721894264,19.208614721894264,return,3.3561973720788956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s005,001,2024-06-20_13h00.40.131,simplestop_skeleton,2022.2.2,60.169758069948145,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,22.593022119253874,22.593022119253874,132.97173389047384,go,squareblack.png,right,0.35,132.99373207241297,132.99373207241297,133.4877300299704,133.4877300299704,133.50419953465462,133.83805636689067,134.3383377045393,134.48843717947602,135.48976350203156,135.50851937383413,None,0,135.50851937383413,135.50851937383413,0.0025504976511001587,0.48804469034075737,0.8382267840206623,136.0076539888978,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s005,001,2024-06-20_13h00.40.131,simplestop_skeleton,2022.2.2,60.169758069948145,
None,None,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,136.00822008401155,go,squareblack.png,right,0.35,136.02738600224257,136.02738600224257,136.52427018806338,136.52427018806338,136.54061955213547,136.8746170140803,137.37496210634708,137.52526055276394,138.52671574056149,138.54294518381357,None,0,138.54294518381357,138.54294518381357,0.0011856108903884888,0.4903014302253723,0.8402622081339359,139.02788193896413,practice,1,139.0472243577242,139.0472243577242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s005,001,2024-06-20_13h00.40.131,simplestop_skeleton,2022.2.2,60.169758069948145,
None,None,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,139.02830736339092,stop,squareblack.png,right,0.35,139.0472243577242,139.0472243577242,139.54422650113702,139.54422650113702,139.56066028401256,139.89483549818397,140.41024984419346,140.54439805448055,141.54620711132884,141.54620711132884,right,1,141.54620711132884,141.54620711132884,0.0012114979326725006,0.49019183218479156,0.8405097983777523,142.03102641925216,practice,1,142.0561210922897,142.0561210922897,0.2845290005207062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s005,001,2024-06-20_13h00.40.131,simplestop_skeleton,2022.2.2,60.169758069948145,
None,None,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,142.03144736588,go,circleblack.png,left,0.3,142.0561210922897,142.0561210922897,142.54730911180377,142.54730911180377,142.56384744867682,142.84775079786777,143.348708614707,143.5470337793231,144.54950292035937,144.5662923939526,left,1,144.5662923939526,144.5662923939526,0.007847893983125687,0.4899482913315296,0.7905741073191166,145.05105080455542,practice,1,,,0.6405809931457043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s005,001,2024-06-20_13h00.40.131,simplestop_skeleton,2022.2.2,60.169758069948145,
None,None,0,0,0,0,1,0,4,3,,,,,,,,,,,,,,,,,145.0514808371663,stop,squareblack.png,right,0.3,145.0708767361939,145.0708767361939,145.5673552043736,145.5673552043736,145.58417400345206,145.86793507263064,146.38352573662996,146.56706213206053,147.56954174116254,147.56954174116254,right,1,147.56954174116254,147.56954174116254,0.0017273128032684326,0.4903479963541031,0.7907748743891716,148.05472829192877,practice,1,148.07507954910398,148.07507954910398,0.41936971992254257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s005,001,2024-06-20_13h00.40.131,simplestop_skeleton,2022.2.2,60.169758069948145,
None,None,0,0,0,0,1,1,5,1,,,,,,,,,,,,,,,,,148.05515052750707,stop,circleblack.png,left,0.25,148.07507954910398,148.07507954910398,148.57097297534347,148.57097297534347,148.58756620809436,148.82103982195258,149.32199623063207,149.5703350789845,150.57316751405597,150.5896421149373,left,1,150.5896421149373,150.5896421149373,0.0018080100417137146,0.48966891318559647,0.7399010956287384,151.07452518492937,practice,1,151.09405060112476,151.09405060112476,0.5261471197009087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s005,001,2024-06-20_13h00.40.131,simplestop_skeleton,2022.2.2,60.169758069948145,
None,None,0,0,0,0,1,2,6,1,,,,,,,,,,,,,,,,,151.0749446079135,go,circleblack.png,left,0.2,151.09405060112476,151.09405060112476,151.5907069556415,151.5907069556415,151.6074501350522,151.79087828099728,152.2918640933931,152.5902716256678,153.5929307229817,153.60940114408731,left,1,153.60940114408731,153.60940114408731,0.001261293888092041,0.4898464307188988,0.6899698153138161,154.09452601894736,practice,1,,,0.5789808295667171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s005,001,2024-06-20_13h00.40.131,simplestop_skeleton,2022.2.2,60.169758069948145,
None,None,0,0,0,0,1,3,7,3,,,,,,,,,,,,,,,,,154.09497555345297,go,circleblack.png,left,0.2,154.1140025705099,154.1140025705099,154.6109857261181,154.6109857261181,154.62719729542732,154.81113550066948,155.31186866015196,155.61032617464662,156.612724237144,156.62951000779867,left,1,156.62951000779867,156.62951000779867,0.001354273408651352,0.48986799269914627,0.6901752427220345,157.11413503438234,practice,1,,,0.44947174191474915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s005,001,2024-06-20_13h00.40.131,simplestop_skeleton,2022.2.2,60.169758069948145,
None,None,0,0,0,0,2,0,8,1,,,,,,,,,,,,,,,,,157.1145699173212,go,squareblack.png,right,0.2,157.13397899642587,157.13397899642587,157.63059865310788,157.63059865310788,157.64731074869633,157.83075815811753,158.33195409551263,158.63031005486846,159.6328196451068,159.64946057647467,right,1,159.64946057647467,159.64946057647467,0.0017183758318424225,0.4905190132558346,0.6905466914176941,160.13437432795763,practice,1,160.15460665151477,160.15460665151477,0.48685272783041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s005,001,2024-06-20_13h00.40.131,simplestop_skeleton,2022.2.2,60.169758069948145,
