corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}]","[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}]",364.28484135121107,364.28484135121107,return,9.263955432921648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s006,001,2024-06-21_16h59.02.901,simplestop_skeleton,2022.2.2,59.95102219630147,
None,None,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,373.58378083631396,373.58378083631396,524.8296042121947,go,squareblack.png,right,0.35,524.8505762033165,524.8505762033165,525.3446473106742,525.3446473106742,525.3611669279635,525.6953413933516,526.1958095431328,526.3457442261279,527.3468667529523,527.3637249059975,right,1,0.7865588925778866,527.3637249059975,527.3637249059975,0.002441622316837311,0.48819880932569504,0.8388717696070671,527.8488368280232,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s006,001,2024-06-21_16h59.02.901,simplestop_skeleton,2022.2.2,59.95102219630147,
None,None,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,527.8493719436228,go,squareblack.png,right,0.35,527.8683721087873,527.8683721087873,528.3645654581487,528.3645654581487,528.3812829107046,528.7149417214096,529.216523040086,529.3652309961617,530.3671481721103,530.3834961988032,right,1,0.489978838711977,530.3834961988032,530.3834961988032,0.001322682946920395,0.48960067331790924,0.8398182392120361,530.8684393465519,practice,1,530.8877454251051,530.8877454251051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s006,001,2024-06-21_16h59.02.901,simplestop_skeleton,2022.2.2,59.95102219630147,
None,None,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,530.8688616976142,go,squareblack.png,right,0.35,530.8877454251051,530.8877454251051,531.3845559358597,531.3845559358597,531.401442527771,531.7354387529194,532.236046563834,532.3858136534691,533.3871940895915,533.3871940895915,right,1,0.38943590968847275,533.3871940895915,533.3871940895915,0.0012292899191379547,0.49037599191069603,0.8403953947126865,533.8717917464674,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s006,001,2024-06-21_16h59.02.901,simplestop_skeleton,2022.2.2,59.95102219630147,
None,None,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,533.8722229935229,stop,squareblack.png,right,0.35,533.891265694052,533.891265694052,534.3878759145737,534.3878759145737,534.4050360880792,534.7384636178613,535.2387880273163,535.3889655582607,536.3905429393053,536.3905429393053,right,1,0.4435974359512329,536.3905429393053,536.3905429393053,0.0012083575129508972,0.49024395272135735,0.8405184969305992,536.8750306405127,practice,1,536.9004688076675,536.9004688076675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s006,001,2024-06-21_16h59.02.901,simplestop_skeleton,2022.2.2,59.95102219630147,
None,None,0,0,0,0,1,0,4,1,,,,,,,,,,,,,,,,,536.8754551522434,go,circleblack.png,left,0.3,536.9004688076675,536.9004688076675,537.3917593583465,537.3917593583465,537.4100283645093,537.6916672438383,538.1924357675016,538.3923129960895,539.393741518259,539.4106648564339,left,1,0.4193476773798466,539.4106648564339,539.4106648564339,0.007961176335811615,0.4907541610300541,0.7904537878930569,539.895126260817,practice,1,539.9148314073682,539.9148314073682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s006,001,2024-06-21_16h59.02.901,simplestop_skeleton,2022.2.2,59.95102219630147,
None,None,0,0,0,0,1,1,5,3,,,,,,,,,,,,,,,,,539.8955521136522,go,circleblack.png,left,0.3,539.9148314073682,539.9148314073682,540.4112555235624,540.4112555235624,540.427912697196,540.7119631692767,541.2120881900191,541.4122990369797,542.4136648289859,542.4300580061972,left,1,0.450081430375576,542.4300580061972,542.4300580061972,0.0013193115592002869,0.4902291037142277,0.7907259054481983,542.9149132706225,practice,1,542.9347723014653,542.9347723014653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s006,001,2024-06-21_16h59.02.901,simplestop_skeleton,2022.2.2,59.95102219630147,
None,None,0,0,0,0,1,2,6,2,,,,,,,,,,,,,,,,,542.9154391996562,go,squareblack.png,right,0.3,542.9347723014653,542.9347723014653,543.4312733523548,543.4312733523548,543.4483392722905,543.7319019697607,544.2322501726449,544.4325062707067,545.4334416911006,545.4500405229628,right,1,0.5401242561638355,545.4500405229628,545.4500405229628,0.001742478460073471,0.49001098424196243,0.7903365567326546,545.9350951910019,practice,1,545.955093242228,545.955093242228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s006,001,2024-06-21_16h59.02.901,simplestop_skeleton,2022.2.2,59.95102219630147,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,3,7,0,,,,,,,,,,,,,,,,,545.9355200380087,go,circleblack.png,left,0.3,545.955093242228,545.955093242228,546.4513099640608,546.4513099640608,546.468021325767,546.7514840140939,547.252395298332,547.4530138112605,548.4537389092147,548.4700725190341,left,1,0.6194219775497913,548.4700725190341,548.4700725190341,0.0017895661294460297,0.48975543677806854,0.7904131598770618,548.9552459083498,practice,1,548.9746725298464,548.9746725298464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s006,001,2024-06-21_16h59.02.901,simplestop_skeleton,2022.2.2,59.95102219630147,
$currentCorrectResponse,$currentGoStim,0,0,0,0,2,0,8,0,,,,,,,,,,,,,,,,,548.9556723311543,stop,circleblack.png,left,0.3,548.9746725298464,548.9746725298464,549.4714282080531,549.4714282080531,549.4878423400223,549.7717535272241,550.2724745161831,550.4718858674169,551.4737126268446,551.4902024045587,left,1,0.43568751588463783,551.4902024045587,551.4902024045587,0.0012452863156795502,0.4899825416505337,0.7902372889220715,551.9749196395278,practice,1,551.9950010702014,551.9950010702014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s006,001,2024-06-21_16h59.02.901,simplestop_skeleton,2022.2.2,59.95102219630147,
