corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,goResp.rt,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}]","[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}]",350.9690214507282,350.9690214507282,return,2.3613452836871147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,353.37288823351264,353.37288823351264,465.1879149451852,stop,circleblack.png,left,0.35,465.2090699225664,465.2090699225664,465.7034404911101,465.7034404911101,465.7200109735131,466.05354983359575,466.5542419999838,466.7044382877648,467.705603454262,467.7224589884281,None,0,467.7224589884281,467.7224589884281,468.2324257865548,468.2324257865548,0.003337401896715164,0.4890940710902214,0.8396916687488556,468.2073720507324,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,468.20791098475456,stop,squareblack.png,right,0.4,468.2324257865548,468.2324257865548,468.7233925610781,468.7233925610781,468.73991226404905,469.1236583329737,469.62414978817105,469.7230993323028,470.7257591485977,470.7424997501075,right,1,470.7424997501075,470.7424997501075,471.2468216344714,471.2468216344714,0.007188156247138977,0.489158246666193,0.8898284509778023,471.2272801809013,practice,1,0.6561491750180721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,471.22769355401397,go,squareblack.png,right,0.35,471.2468216344714,471.2468216344714,471.743287589401,471.743287589401,471.7599600702524,472.09382827207446,472.59436459466815,472.74380207806826,473.74567579478025,473.76243206858635,right,1,473.76243206858635,473.76243206858635,474.2719663120806,474.2719663120806,0.0013499483466148376,0.4897899031639099,0.8400653675198555,474.24711760506034,practice,1,0.5952614210546017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,474.24753426387906,go,circleblack.png,left,0.35,474.2719663120806,474.2719663120806,474.76312179118395,474.76312179118395,474.77994763851166,475.1136286556721,475.61363389343023,475.76347479596734,476.7656324505806,476.78229093551636,left,1,476.78229093551636,476.78229093551636,477.2868135124445,477.2868135124445,0.007663615047931671,0.4900612607598305,0.8402905128896236,477.26704005897045,practice,1,0.39818713814020157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,0,4,0,,,,,,,,,,,,,,,,,477.2674564681947,go,squareblack.png,right,0.35,477.2868135124445,477.2868135124445,477.7832065448165,477.7832065448165,477.8000414930284,478.13347951322794,478.63297364860773,478.7837808430195,479.78532714024186,479.80211279168725,right,1,479.80211279168725,479.80211279168725,,,0.0017011240124702454,0.490055862814188,0.8403607569634914,480.28701535239816,practice,1,0.5494202226400375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,0,0,0,0,1,1,5,2,,,,,,,,,,,,,,,,,480.28746258094907,go,squareblack.png,right,0.35,480.30642995610833,480.30642995610833,480.8032994903624,480.8032994903624,480.8198637031019,481.15353848040104,481.65468092262745,481.80367048457265,482.80533861368895,482.80533861368895,right,1,482.80533861368895,482.80533861368895,483.30975404009223,483.30975404009223,0.0012101903557777405,0.49009039998054504,0.8404172100126743,483.29040955752134,practice,1,0.4676497168838978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,2,6,0,,,,,,,,,,,,,,,,,483.29083056747913,stop,squareblack.png,right,0.35,483.30975404009223,483.30975404009223,483.8066981881857,483.8066981881857,483.8233029656112,484.15698709338903,484.65684980526567,484.80728286504745,485.8090269640088,485.8090269640088,right,1,485.8090269640088,485.8090269640088,486.31918570771813,486.31918570771813,0.0012060515582561493,0.48986803367733955,0.8401547484099865,486.29363026842475,practice,1,0.4145207889378071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,0,0,0,0,1,3,7,2,,,,,,,,,,,,,,,,,486.29407637938857,go,circleblack.png,left,0.3,486.31918570771813,486.31918570771813,486.80990068614483,486.80990068614483,486.82683619856834,487.1103361994028,487.61319621279836,487.81033920124173,488.81215288862586,488.8292477950454,left,1,488.8292477950454,488.8292477950454,,,0.007897760719060898,0.489977203309536,0.7903150916099548,489.3137369938195,practice,1,0.610801175236702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,0,0,0,0,2,0,8,1,,,,,,,,,,,,,,,,,489.31418845430017,go,circleblack.png,left,0.3,489.33324885740876,489.33324885740876,489.8298779092729,489.8298779092729,489.84692342951894,490.13042633607984,490.63023832812905,490.83048253133893,491.8319105170667,491.8488471992314,left,1,491.8488471992314,491.8488471992314,,,0.0012594349682331085,0.49012095481157303,0.790414996445179,492.33335852250457,practice,1,0.3456849753856659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,0,0,0,0,2,1,9,3,,,,,,,,,,,,,,,,,492.3337884917855,go,squareblack.png,right,0.3,492.35336938872933,492.35336938872933,492.84971176832914,492.84971176832914,492.866703286767,493.1503155119717,493.6507174670696,493.850915543735,494.85227032750845,494.8687458746135,right,1,494.8687458746135,494.8687458746135,495.37364356964827,495.37364356964827,0.0017518438398838043,0.4902522601187229,0.7904066555202007,495.35356149822474,practice,1,0.4965529181063175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,0,0,0,0,2,2,10,2,,,,,,,,,,,,,,,,,495.35399866104126,go,circleblack.png,left,0.3,495.37364356964827,495.37364356964827,495.87020072340965,495.87020072340965,495.886670127511,496.1705375984311,496.6883029714227,496.87079114094377,497.87247751653194,497.88883585482836,left,1,497.88883585482836,497.88883585482836,498.3942341916263,498.3942341916263,0.001805279403924942,0.49021290615200996,0.7906503863632679,498.3739723302424,practice,1,0.4343472868204117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,0,0,0,0,2,3,11,2,,,,,,,,,,,,,,,,,498.374408762902,stop,circleblack.png,left,0.3,498.3942341916263,498.3942341916263,498.88999600335956,498.88999600335956,498.90681844204664,499.19039626792073,499.69014413654804,499.890552572906,500.89243080839515,500.90902219340205,left,1,500.90902219340205,500.90902219340205,501.413616463542,501.413616463542,0.0014001689851284027,0.4896372817456722,0.789934329688549,501.39359368756413,practice,1,0.3454493395984173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,0,0,0,0,3,0,12,2,,,,,,,,,,,,,,,,,501.3940099813044,stop,squareblack.png,right,0.25,501.413616463542,501.413616463542,501.90981049090624,501.90981049090624,501.9265082515776,502.16005642712116,502.66053646430373,502.91088384762406,503.9121949970722,503.9286556132138,None,0,503.9286556132138,503.9286556132138,504.4336502328515,504.4336502328515,0.0018175207078456879,0.4900415949523449,0.7402303330600262,504.4137147888541,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
$currentCorrectResponse,$currentGoStim,0,0,0,0,3,1,13,0,,,,,,,,,,,,,,,,,504.4141296185553,stop,circleblack.png,left,0.3,504.4336502328515,504.4336502328515,504.92858466878533,504.92858466878533,504.945645429194,505.22955099120736,505.73061499372125,505.93118554353714,506.93237010389566,506.9488954357803,left,1,506.9488954357803,506.9488954357803,507.4537811242044,507.4537811242044,0.0018080472946166992,0.48912301287055016,0.7896102666854858,507.43353191018105,practice,1,0.48831506818532944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
$currentCorrectResponse,$currentGoStim,0,0,0,0,3,2,14,0,,,,,,,,,,,,,,,,,507.43394710868597,go,squareblack.png,right,0.25,507.4537811242044,507.4537811242044,507.94993628561497,507.94993628561497,507.9667910821736,508.20039128139615,508.70129023864865,508.95076064020395,509.95226277783513,509.9689451381564,right,1,509.9689451381564,509.9689451381564,,,0.0018017254769802094,0.49010172486305237,0.7402999177575111,510.4537757523358,practice,1,0.6012509055435658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,0,0,0,0,3,3,15,3,,,,,,,,,,,,,,,,,510.4542093090713,stop,squareblack.png,right,0.25,510.47472715750337,510.47472715750337,510.96968414634466,510.96968414634466,510.98679864034057,511.2203908339143,511.72075375914574,511.97127725183964,512.971980612725,512.9887758046389,None,0,512.9887758046389,512.9887758046389,513.4933608882129,513.4933608882129,0.0016099028289318085,0.4897085279226303,0.7395111881196499,513.4736009277403,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,0,0,0,0,4,0,16,1,,,,,,,,,,,,,,,,,513.4740146882832,go,squareblack.png,right,0.3,513.4933608882129,513.4933608882129,513.9900265075266,513.9900265075266,514.0066340789199,514.2901268564165,514.7905814088881,514.9910138063133,515.9919697642326,516.0089343525469,right,1,516.0089343525469,516.0089343525469,516.5198542550206,516.5198542550206,0.0012932904064655304,0.4897768944501877,0.7900706492364407,516.4936286695302,practice,1,0.5392336510121822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
