corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}]","[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}]",3126.702336229384,3126.702336229384,return,2.0813329182565212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
None,None,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,3128.8231170661747,3128.8231170661747,3241.9579703100026,stop,squareblack.png,right,0.35,3241.977331377566,3241.977331377566,3242.4713902436197,3242.4713902436197,3242.488193962723,3242.8218029886484,3243.32088150084,3243.472494866699,3244.473446916789,3244.4910833351314,right,1,0.7340639345347881,3244.4910833351314,3244.4910833351314,0.002737637609243393,0.4867694117128849,0.8371653109788895,3244.9754345342517,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
None,None,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,3244.9759676791728,go,circleblack.png,left,0.3,3245.001360464841,3245.001360464841,3245.4912340454757,3245.4912340454757,3245.5080399885774,3245.791513476521,3246.292353004217,3246.492447756231,3247.493752349168,3247.510502088815,left,1,0.4457487650215626,3247.510502088815,3247.510502088815,0.007873333990573883,0.489077165722847,0.7894992902874947,3247.995254971087,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
None,None,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,3247.99568047747,go,circleblack.png,left,0.3,3248.0152979418635,3248.0152979418635,3248.5116958655417,3248.5116958655417,3248.528107840568,3248.8117461688817,3249.31260901317,3249.5127093344927,3250.5138699896634,3250.5304838716984,left,1,0.3677334748208523,3250.5304838716984,3250.5304838716984,0.0014442242681980133,0.4898134171962738,0.7901679761707783,3251.0152872763574,practice,1,3251.035070117563,3251.035070117563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
None,None,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,3251.0158427916467,go,squareblack.png,right,0.3,3251.035070117563,3251.035070117563,3251.5314343981445,3251.5314343981445,3251.548347454518,3251.832119576633,3252.332367248833,3252.5323725901544,3253.5336797833443,3253.550190638751,right,1,0.44416674226522446,3253.550190638751,3253.550190638751,0.0016306377947330475,0.4920085482299328,0.7901156134903431,3254.035090968013,practice,1,3254.055190656334,3254.055190656334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
None,None,0,0,0,0,1,0,4,3,,,,,,,,,,,,,,,,,3254.035509891808,go,circleblack.png,left,0.3,3254.055190656334,3254.055190656334,3254.5514876767993,3254.5514876767993,3254.5682144872844,3254.852027539164,3255.3523017168045,3255.5524359345436,3256.553632263094,3256.5701523907483,left,1,0.39761193841695786,3256.5701523907483,3256.5701523907483,0.0019190236926078796,0.4903309866786003,0.7908445559442043,3257.054920233786,practice,1,3257.0748787410557,3257.0748787410557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
None,None,0,0,0,0,1,1,5,1,,,,,,,,,,,,,,,,,3257.055359888822,go,squareblack.png,right,0.3,3257.0748787410557,3257.0748787410557,3257.571381099522,3257.571381099522,3257.5879220701754,3257.871554862708,3258.3722040764987,3258.5724640972912,3259.5736262127757,3259.590060722083,right,1,0.3063450790941715,3259.590060722083,3259.590060722083,0.0017014369368553162,0.4901519604027271,0.790745310485363,3260.0750360637903,practice,1,3260.0944097340107,3260.0944097340107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
None,None,0,0,0,0,1,2,6,1,,,,,,,,,,,,,,,,,3260.075464375317,go,squareblack.png,right,0.3,3260.0944097340107,3260.0944097340107,3260.591292515397,3260.591292515397,3260.607967171818,3260.891776032746,3261.3924509733915,3261.5927903465927,3262.593928836286,3262.593928836286,right,1,0.39682917296886444,3262.593928836286,3262.593928836286,0.0011915192008018494,0.49028679728507996,0.7904278747737408,3263.0786026753485,practice,1,3263.097896516323,3263.097896516323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
None,None,0,0,0,0,1,3,7,3,,,,,,,,,,,,,,,,,3263.0790286436677,stop,squareblack.png,right,0.3,3263.097896516323,3263.097896516323,3263.594678442925,3263.594678442925,3263.6113948896527,3263.8950587660074,3264.3956846147776,3264.5956875234842,3265.5972771309316,3265.5972771309316,right,1,0.39808178693056107,3265.5972771309316,3265.5972771309316,0.0012585483491420746,0.4898392893373966,0.7901145815849304,3266.0817668288946,practice,1,3266.1018129996955,3266.1018129996955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
$currentCorrectResponse,$currentGoStim,0,0,0,0,2,0,8,0,,,,,,,,,,,,,,,,,3266.0821956060827,stop,circleblack.png,left,0.25,3266.1018129996955,3266.1018129996955,3266.598075866699,3266.598075866699,3266.614688884467,3266.8482962585986,3267.3493553847075,3267.598570406437,3268.6004538424313,3268.616894595325,left,1,0.39136170968413353,3268.616894595325,3268.616894595325,0.001879669725894928,0.4900156818330288,0.7403777167201042,3269.1018525846303,practice,1,3269.1215798296034,3269.1215798296034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
