corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}]","[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}]",551.790081102401,551.790081102401,return,17.984788093715906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
None,None,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,569.8231529630721,569.8231529630721,623.8420179374516,go,squareblack.png,right,0.35,623.8648862950504,623.8648862950504,624.3578637950122,624.3578637950122,624.3744833692908,624.7083151750267,625.2088834270835,625.358961109072,626.360249556601,626.3768419101834,right,1,0.6777668744325638,626.3768419101834,626.3768419101834,626.8873217888176,626.8873217888176,0.0027160756289958954,0.4895786680281162,0.8400293551385403,626.8618469871581,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
None,None,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,626.8623831644654,go,circleblack.png,left,0.35,626.8873217888176,626.8873217888176,627.3779713772237,627.3779713772237,627.3948117047548,627.7286390066147,628.229039978236,628.3791409432888,629.380658429116,629.3967481255531,left,1,0.5719687230885029,629.3967481255531,629.3967481255531,629.9020301960409,629.9020301960409,0.007875360548496246,0.489550169557333,0.8397220820188522,629.8814855106175,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,629.8819033540785,go,squareblack.png,right,0.35,629.9020301960409,629.9020301960409,630.3980764187872,630.3980764187872,630.4145448021591,630.748407561332,631.248993460089,631.3993206843734,632.4002584293485,632.4167013689876,right,1,0.3348638787865639,632.4167013689876,632.4167013689876,632.9214649535716,632.9214649535716,0.0017782486975193024,0.4896636791527271,0.8404135778546333,632.9016328752041,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
None,None,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,632.9020778723061,go,squareblack.png,right,0.35,632.9214649535716,632.9214649535716,633.4181017391384,633.4181017391384,633.4344714581966,633.768265876919,634.2687361091375,634.4189280606806,635.4200569950044,635.4369592219591,right,1,0.4609313942492008,635.4369592219591,635.4369592219591,635.9410116150975,635.9410116150975,0.0014062747359275818,0.48989809677004814,0.840204581618309,635.9215710349381,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,0,4,0,,,,,,,,,,,,,,,,,635.9219963662326,stop,squareblack.png,right,0.35,635.9410116150975,635.9410116150975,636.4380233436823,636.4380233436823,636.4546913467348,636.7881862558424,637.2887152694166,637.4389112256467,638.4398757219315,638.4568470269442,right,1,0.4745323322713375,638.4568470269442,638.4568470269442,638.9607460200787,638.9607460200787,0.0012263357639312744,0.48994044959545135,0.8403805457055569,638.941506922245,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
None,None,0,0,0,0,1,1,5,3,,,,,,,,,,,,,,,,,638.9419296979904,go,squareblack.png,right,0.3,638.9607460200787,638.9607460200787,639.4578039832413,639.4578039832413,639.4744808152318,639.7580627948046,640.2587495930493,640.4584930948913,641.460167221725,641.460167221725,right,1,0.5180616341531277,641.460167221725,641.460167221725,641.9652176424861,641.9652176424861,0.0011466778814792633,0.4900019243359566,0.7902319766581059,641.9448573254049,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,2,6,0,,,,,,,,,,,,,,,,,641.9452792741358,go,circleblack.png,left,0.3,641.9652176424861,641.9652176424861,642.4612563252449,642.4612563252449,642.4779799431562,642.7616096176207,643.2619002684951,643.4621674008667,644.4634174667299,644.4799848943949,left,1,0.5568850226700306,644.4799848943949,644.4799848943949,644.9845701791346,644.9845701791346,0.0018381252884864807,0.4898195303976536,0.7903288342058659,644.9648191481829,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
None,None,0,0,0,0,1,3,7,1,,,,,,,,,,,,,,,,,644.9652405902743,stop,circleblack.png,left,0.3,644.9845701791346,644.9845701791346,645.4811834990978,645.4811834990978,645.497740034014,645.7814090251923,646.2820162549615,646.4824343174696,647.4835629612207,647.5001263059676,None,0,,647.5001263059676,647.5001263059676,648.0049596913159,648.0049596913159,0.0012681595981121063,0.49006031826138496,0.7904544398188591,647.9851240366697,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
None,None,0,0,0,0,2,0,8,2,,,,,,,,,,,,,,,,,647.9855511449277,stop,squareblack.png,right,0.35,648.0049596913159,648.0049596913159,648.5012621581554,648.5012621581554,648.5178779661655,648.8517694585025,649.3526934571564,649.5017074644566,650.5034275352955,650.5204490199685,right,1,0.3850574493408203,650.5204490199685,650.5204490199685,,,0.001648690551519394,0.49002422764897346,0.8403357602655888,651.0049316138029,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
