corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,goResp.rt,text.stopped,rules_2.stopped,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,Test Block: 2,key_resp_4.rt,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}]","[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}]",3311.0987791605294,3311.0987791605294,return,2.4668650552630424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s013,001,2024-07-24_14h52.17.189,simplestop_skeleton,2022.2.2,59.963618685599975,
None,None,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,3313.6113346889615,3313.6113346889615,3429.717871326953,go,squareblack.png,right,0.35,3429.740172494203,3429.740172494203,3430.232813619077,3430.232813619077,3430.249468676746,3430.583089504391,3431.083718262613,3431.2338214330375,3432.234917294234,3432.2543473802507,None,0,3432.2543473802507,3432.2543473802507,0.002383418381214142,0.48866991326212883,0.8392982371151447,3432.7528754249215,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s013,001,2024-07-24_14h52.17.189,simplestop_skeleton,2022.2.2,59.963618685599975,
None,None,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,3432.7534044273198,go,circleblack.png,left,0.35,3432.7780187427998,3432.7780187427998,3433.2695368267596,3433.2695368267596,3433.286002829671,3433.6199913807213,3434.1204526163638,3434.2703154981136,3435.2717023529112,3435.288496978581,left,1,3435.288496978581,3435.288496978581,0.0077912285923957825,0.4903542660176754,0.8404853418469429,3435.773274574429,practice,1,1.1229068748652935,3435.7928614132106,3435.7928614132106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s013,001,2024-07-24_14h52.17.189,simplestop_skeleton,2022.2.2,59.963618685599975,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,3435.7737177349627,go,circleblack.png,left,0.35,3435.7928614132106,3435.7928614132106,3436.2896314002573,3436.2896314002573,3436.3063187859952,3436.639893889427,3437.1407379209995,3437.2901366129518,3438.291848678142,3438.291848678142,left,1,3438.291848678142,3438.291848678142,0.001301247626543045,0.4899267852306366,0.8406301960349083,3438.776597213,practice,1,0.6097212582826614,3438.7965053915977,3438.7965053915977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s013,001,2024-07-24_14h52.17.189,simplestop_skeleton,2022.2.2,59.963618685599975,
None,None,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,3438.777019035071,go,circleblack.png,left,0.35,3438.7965053915977,3438.7965053915977,3439.2929614186287,3439.2929614186287,3439.309429001063,3439.643204692751,3440.1440330147743,3440.2934827655554,3441.2951617985964,3441.3116650879383,left,1,3441.3116650879383,3441.3116650879383,0.00148116797208786,0.48957984521985054,0.839837770909071,3441.7964011095464,practice,1,0.5794612504541874,3441.8165687806904,3441.8165687806904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s013,001,2024-07-24_14h52.17.189,simplestop_skeleton,2022.2.2,59.963618685599975,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,0,4,0,,,,,,,,,,,,,,,,,3441.7968462109566,go,squareblack.png,right,0.35,3441.8165687806904,3441.8165687806904,3442.312849611044,3442.312849611044,3442.329534396529,3442.663401659578,3443.16261709854,3443.3133519031107,3444.315176077187,3444.3319991864264,right,1,3444.3319991864264,3444.3319991864264,0.0017539896070957184,0.48989729955792427,0.840396624058485,3444.816456887871,practice,1,0.4871286377310753,3444.836162466556,3444.836162466556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s013,001,2024-07-24_14h52.17.189,simplestop_skeleton,2022.2.2,59.963618685599975,
None,None,0,0,0,0,1,1,5,1,,,,,,,,,,,,,,,,,3444.816877488047,stop,squareblack.png,right,0.35,3444.836162466556,3444.836162466556,3445.3328304328024,3445.3328304328024,3445.34944197163,3445.6831641606987,3446.183109074831,3446.3329576067626,3447.3348513506353,3447.3514752425253,left,0,3447.3514752425253,3447.3514752425253,0.0012333393096923828,0.4898841306567192,0.8402362391352654,3447.836463190615,practice,1,0.40910300239920616,3447.856523528695,3447.856523528695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s013,001,2024-07-24_14h52.17.189,simplestop_skeleton,2022.2.2,59.963618685599975,
None,None,0,0,0,0,1,2,6,1,,,,,,,,,,,,,,,,,3447.8369458429515,stop,circleblack.png,left,0.3,3447.856523528695,3447.856523528695,3448.3525544144213,3448.3525544144213,3448.36952201277,3448.652877740562,3449.15380788967,3449.3537317849696,3450.3553137890995,3450.371715437621,None,0,3450.371715437621,3450.371715437621,0.0018075667321681976,0.489827424287796,0.7901758067309856,3450.8566187396646,practice,1,,3450.8766317367554,3450.8766317367554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s013,001,2024-07-24_14h52.17.189,simplestop_skeleton,2022.2.2,59.963618685599975,
None,None,0,0,0,0,1,3,7,1,,,,,,,,,,,,,,,,,3450.8570464625955,stop,squareblack.png,right,0.35,3450.8766317367554,3450.8766317367554,3451.3728008940816,3451.3728008940816,3451.3898981176317,3451.7231778390706,3452.2232566289604,3452.3735102154315,3453.3754092417657,3453.391758687794,left,0,3453.391758687794,3453.391758687794,0.0016509294509887695,0.4897219128906727,0.8402966670691967,3453.8766582757235,practice,1,0.40657514333724976,3453.89584961161,3453.89584961161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s013,001,2024-07-24_14h52.17.189,simplestop_skeleton,2022.2.2,59.963618685599975,
None,None,0,0,0,0,2,0,8,2,,,,,,,,,,,,,,,,,3453.8770758733153,go,squareblack.png,right,0.3,3453.89584961161,3453.89584961161,3454.3927379213274,3454.3927379213274,3454.40975285694,3454.6932394579053,3455.19380749017,3455.394307296723,3456.395295523107,3456.395295523107,right,1,3456.395295523107,3456.395295523107,0.001210290938615799,0.4901920147240162,0.7904638759791851,3456.8798629678786,practice,1,0.7773260921239853,3456.8997051417828,3456.8997051417828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s013,001,2024-07-24_14h52.17.189,simplestop_skeleton,2022.2.2,59.963618685599975,
None,None,0,0,0,0,2,1,9,2,,,,,,,,,,,,,,,,,3456.8802834302187,stop,circleblack.png,left,0.3,3456.8997051417828,3456.8997051417828,3457.396319720894,3457.396319720894,3457.413245290518,3457.696529533714,3458.1970837786794,3458.3974710330367,3459.398412644863,3459.415201302618,left,1,3459.415201302618,3459.415201302618,0.0018484815955162048,0.4902833253145218,0.790494978427887,3459.899980865419,practice,1,0.6409542709589005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s013,001,2024-07-24_14h52.17.189,simplestop_skeleton,2022.2.2,59.963618685599975,
None,None,0,0,0,0,2,2,10,1,,,,,,,,,,,,,,,,,3459.900399528444,go,squareblack.png,right,0.25,3459.9200141206384,3459.9200141206384,3460.4163471236825,3460.4163471236825,3460.432754125446,3460.6663441881537,3461.1669574677944,3461.417456332594,3462.4190911129117,3462.4353714622557,right,1,3462.4353714622557,3462.4353714622557,0.0016965381801128387,0.49014031514525414,0.7400694005191326,3462.935227032751,practice,1,0.6760553307831287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s013,001,2024-07-24_14h52.17.189,simplestop_skeleton,2022.2.2,59.963618685599975,
None,None,0,0,0,0,2,3,11,3,,,,,,,,,,,,,,,,,3462.935653217137,go,circleblack.png,left,0.25,3462.9529316574335,3462.9529316574335,3463.4530507326126,3463.4530507326126,3463.4530507326126,3463.7031184248626,3464.202437542379,3464.453248281032,3465.4551543183625,3465.4551543183625,left,1,3465.4551543183625,3465.4551543183625,0.0018011070787906647,0.49149075150489807,0.7420694082975388,3465.9395578317344,practice,1,0.48512229695916176,3465.959534857422,3465.959534857422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s013,001,2024-07-24_14h52.17.189,simplestop_skeleton,2022.2.2,59.963618685599975,
$currentCorrectResponse,$currentGoStim,0,0,0,0,3,0,12,0,,,,,,,,,,,,,,,,,3465.939970191568,stop,squareblack.png,right,0.25,3465.959534857422,3465.959534857422,3466.4561490230262,3466.4561490230262,3466.472827207297,3466.7065924592316,3467.2069766633213,3467.45726319775,3468.458484880626,3468.4751643687487,None,0,3468.4751643687487,3468.4751643687487,0.0017771348357200623,0.4901707358658314,0.7405239418148994,3468.9599494487047,practice,1,,3468.9794636704028,3468.9794636704028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s013,001,2024-07-24_14h52.17.189,simplestop_skeleton,2022.2.2,59.963618685599975,
