Block,Phase,correctResponse,goStim,response,rt,ssd,trialType
1.0,practice,right,squareblack.png,,,0.35,go
1.0,practice,left,circleblack.png,,,0.35,go
1.0,practice,right,squareblack.png,right,0.4935412891209125,0.35,stop
1.0,practice,right,squareblack.png,,,0.3,stop
1.0,practice,right,squareblack.png,,,0.35,go
1.0,practice,left,circleblack.png,left,0.7148269526660442,0.35,stop
1.0,practice,right,squareblack.png,right,0.6181840263307095,0.3,go
1.0,practice,right,squareblack.png,right,0.6730220951139927,0.3,go
1.0,practice,left,circleblack.png,left,0.6231598667800426,0.3,go
1.0,practice,left,circleblack.png,left,0.6979718506336212,0.3,go
1.0,practice,left,circleblack.png,left,0.4968411140143871,0.3,stop
1.0,practice,left,circleblack.png,left,0.5422359742224216,0.25,go
1.0,practice,right,squareblack.png,right,0.3935996852815151,0.25,go
1.0,practice,left,circleblack.png,left,0.4565378278493881,0.25,go
1.0,practice,right,squareblack.png,right,0.4931159988045692,0.25,go
1.0,practice,right,squareblack.png,right,0.4914197213947773,0.25,go
1.0,practice,left,circleblack.png,left,0.47190697863698,0.25,stop
1.0,practice,left,circleblack.png,left,0.5950293987989426,0.2,go
1.0,practice,left,circleblack.png,left,0.4599817246198654,0.2,go
1.0,practice,left,circleblack.png,left,0.4555095136165619,0.2,go
1.0,practice,left,circleblack.png,,,0.2,stop
1.0,practice,right,squareblack.png,,,0.25,stop
1.0,practice,right,squareblack.png,,,0.3,stop
1.0,practice,right,squareblack.png,right,0.5857276767492294,0.35,go
1.0,test,left,circleblack.png,left,0.7817628048360348,0.35,go
1.0,test,right,squareblack.png,right,0.5890665613114834,0.35,go
1.0,test,right,squareblack.png,right,0.6468044072389603,0.35,go
1.0,test,right,squareblack.png,right,0.5446771942079067,0.35,go
1.0,test,right,squareblack.png,right,0.6856411695480347,0.35,stop
1.0,test,left,circleblack.png,left,0.4337962158024311,0.3,go
1.0,test,left,circleblack.png,left,0.6182925924658775,0.3,go
1.0,test,right,squareblack.png,,,0.3,stop
1.0,test,right,squareblack.png,right,0.6195218712091446,0.35,go
1.0,test,left,circleblack.png,left,0.6177316196262836,0.35,go
1.0,test,left,circleblack.png,,,0.35,stop
1.0,test,left,circleblack.png,left,0.497460339218378,0.4,stop
1.0,test,left,circleblack.png,,,0.35,stop
1.0,test,right,squareblack.png,right,0.6062720753252506,0.4,go
1.0,test,left,circleblack.png,,,0.4,stop
1.0,test,right,squareblack.png,right,0.6137785390019417,0.45,go
1.0,test,right,squareblack.png,right,0.4796313345432281,0.45,go
