corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,goResp.rt,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}]","[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}]",3358.4490693584085,3358.4490693584085,return,1.9928999282419682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
None,None,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,3360.487305495888,3360.487305495888,3422.9694366902113,stop,squareblack.png,right,0.35,3422.992300916463,3422.992300916463,3423.484705414623,3423.484705414623,3423.501317087561,3423.8350049853325,3424.3355097025633,3424.4856840856373,3425.4869370386004,3425.5034734867513,None,0,3425.5034734867513,3425.5034734867513,0.002790842205286026,0.4888249486684799,0.8393907770514488,3425.988484747708,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
None,None,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,3425.9890194125473,go,circleblack.png,left,0.4,3426.0142974443734,3426.0142974443734,3426.5049952864647,3426.5049952864647,3426.521707624197,3426.9037607721984,3427.4054321423173,3427.506003949791,3428.507139146328,3428.5244537331164,None,0,3428.5244537331164,3428.5244537331164,0.007928099483251572,0.4900563135743141,0.8887380063533783,3429.008650407195,practice,1,3429.0284414477646,3429.0284414477646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
None,None,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,3429.009072303772,go,circleblack.png,left,0.4,3429.0284414477646,3429.0284414477646,3429.5248414725065,3429.5248414725065,3429.541783530265,3429.925212562084,3430.4268567711115,3430.525421258062,3431.527184523642,3431.543683324009,right,0,3431.543683324009,3431.543683324009,0.001423317939043045,0.48980291932821274,0.8903807550668716,3432.028379537165,practice,1,3432.0483444333076,3432.0483444333076,0.23927516862750053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,3432.0288302265108,stop,circleblack.png,left,0.4,3432.0483444333076,3432.0483444333076,3432.545166492462,3432.545166492462,3432.5614936873317,3432.9454660899937,3433.4610646031797,3433.544620681554,3434.5476785860956,3434.5636000335217,left,1,3434.5636000335217,3434.5636000335217,0.0013993680477142334,0.49000123888254166,0.8907412886619568,3435.0484466142952,practice,1,3435.0685649886727,3435.0685649886727,0.37437915056943893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
None,None,0,0,0,0,1,0,4,1,,,,,,,,,,,,,,,,,3435.0488687455654,stop,squareblack.png,right,0.35,3435.0685649886727,3435.0685649886727,3435.564981840551,3435.564981840551,3435.5815827474,3435.915375120938,3436.4308946095407,3436.5646040141582,3437.566893771291,3437.583418391645,right,1,3437.583418391645,3437.583418391645,0.0017505474388599396,0.4898729920387268,0.8405095711350441,3438.0684258677065,practice,1,,,0.31784114986658096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
None,None,0,0,0,0,1,1,5,3,,,,,,,,,,,,,,,,,3438.0688687115908,go,squareblack.png,right,0.3,3438.0881202444434,3438.0881202444434,3438.5847276747227,3438.5847276747227,3438.6013451702893,3438.8849639184773,3439.384616084397,3439.5844627693295,3440.586865365505,3440.6036094017327,right,1,3440.6036094017327,3440.6036094017327,0.0011824332177639008,0.48987651243805885,0.7902280651032925,3441.088569622487,practice,1,,,0.4389057010412216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
None,None,0,0,0,0,1,2,6,2,,,,,,,,,,,,,,,,,3441.0890206210315,go,squareblack.png,right,0.3,3441.108116749674,3441.108116749674,3441.605000961572,3441.605000961572,3441.6215431392193,3441.9051476605237,3442.404385726899,3442.6044008657336,3443.607103906572,3443.623767875135,right,1,3443.623767875135,3443.623767875135,0.001221098005771637,0.4899929128587246,0.7906351312994957,3444.1084843836725,practice,1,3444.128630813211,3444.128630813211,0.3677390217781067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
None,None,0,0,0,0,1,3,7,3,,,,,,,,,,,,,,,,,3444.1089081838727,go,circleblack.png,left,0.3,3444.128630813211,3444.128630813211,3444.6247743815184,3444.6247743815184,3444.641781758517,3444.9255692735314,3445.440900657326,3445.6248711794615,3446.6269726753235,3446.6438201367855,left,1,3446.6438201367855,3446.6438201367855,0.0017844662070274353,0.4902047887444496,0.7906130254268646,3447.128481812775,practice,1,,,0.3678651638329029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
None,None,0,0,0,0,2,0,8,3,,,,,,,,,,,,,,,,,3447.1290884651244,go,circleblack.png,left,0.3,3447.149210587144,3447.149210587144,3447.6450310647488,3447.6450310647488,3447.661611687392,3447.945171352476,3448.4610517285764,3448.6452626511455,3449.6475925669074,3449.6635946407914,left,1,3449.6635946407914,3449.6635946407914,0.0013718493282794952,0.48964187875390053,0.7900910675525665,3450.1485851742327,practice,1,3450.168184336275,3450.168184336275,0.3566758893430233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
