corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}]","[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}]",287.76720548421144,287.76720548421144,return,3.1680288277566433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,290.9807473383844,290.9807473383844,350.3238115012646,go,squareblack.png,right,0.35,350.3446619287133,350.3446619287133,350.8392506837845,350.8392506837845,350.8560259491205,351.18994634225965,351.6900087222457,351.8403334990144,352.84125346690416,352.8580239377916,right,1,0.6734966896474361,352.8580239377916,352.8580239377916,0.002733413130044937,0.48940790072083473,0.8394395895302296,353.3430223427713,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,353.34355663880706,stop,squareblack.png,right,0.35,353.3627530746162,353.3627530746162,353.8593543805182,353.8593543805182,353.87621919438243,354.2080373093486,354.70859821513295,354.86077596992254,355.86130233854055,355.8782613426447,right,1,0.678954403847456,355.8782613426447,355.8782613426447,0.0012255869805812836,0.48997004330158234,0.8386475890874863,356.3629147596657,practice,1,356.38325356319547,356.38325356319547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,356.3633402213454,go,squareblack.png,right,0.3,356.38325356319547,356.38325356319547,356.87922182679176,356.87922182679176,356.895876288414,357.179548420012,357.6786316856742,357.87903797626495,358.8812512382865,358.89822229743004,right,1,0.49663129821419716,358.89822229743004,358.89822229743004,0.0015769042074680328,0.48939476162195206,0.7895876206457615,359.38267847523093,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,359.38310693204403,stop,squareblack.png,right,0.3,359.402296975255,359.402296975255,359.8990801163018,359.8990801163018,359.915891405195,360.19943995028734,360.69851514697075,360.89891405403614,361.9012626633048,361.91798524931073,right,1,0.38864464685320854,361.91798524931073,361.91798524931073,0.001224219799041748,0.4899896942079067,0.7903687730431557,362.40281407907605,practice,1,362.4224924631417,362.4224924631417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,0,0,0,0,1,0,4,2,,,,,,,,,,,,,,,,,362.4032602533698,go,squareblack.png,right,0.25,362.4224924631417,362.4224924631417,362.91918225586414,362.91918225586414,362.9357025809586,363.16926865279675,363.6686932705343,363.91929784044623,364.9215447753668,364.938014741987,right,1,0.46753768622875214,364.938014741987,364.938014741987,0.0011862590909004211,0.4898146949708462,0.7402985356748104,365.4230050332844,practice,1,365.4482963643968,365.4482963643968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,0,0,0,0,1,1,5,1,,,,,,,,,,,,,,,,,365.4234287440777,go,circleblack.png,left,0.25,365.4482963643968,365.4482963643968,365.93945714458823,365.93945714458823,365.9558614268899,366.1892939656973,366.68850757181644,366.93874640762806,367.94129760563374,367.9581101536751,left,1,0.35222820192575455,367.9581101536751,367.9581101536751,0.008060209453105927,0.4899528920650482,0.7401850186288357,368.4427858181298,practice,1,368.4621363580227,368.4621363580227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,0,0,0,0,1,2,6,1,,,,,,,,,,,,,,,,,368.44320937618613,go,circleblack.png,left,0.25,368.4621363580227,368.4621363580227,368.9597897157073,368.9597897157073,368.9756815060973,369.20951449126005,369.70850744098425,369.9588631093502,370.9611245431006,370.9611245431006,left,1,0.3850233778357506,370.9611245431006,370.9611245431006,0.0012579448521137238,0.49017033353447914,0.7402925118803978,371.4460613615811,practice,1,371.4661183319986,371.4661183319986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,0,0,0,0,1,3,7,2,,,,,,,,,,,,,,,,,371.4464840590954,go,squareblack.png,right,0.25,371.4661183319986,371.4661183319986,371.9623680822551,371.9623680822551,371.9792181439698,372.21259143203497,372.71166687458754,372.9620211161673,373.96465783938766,373.9811727963388,right,1,0.348869226872921,373.9811727963388,373.9811727963388,0.0016833767294883728,0.48978570848703384,0.7400598414242268,374.4659301042557,practice,1,374.48598811402917,374.48598811402917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
$currentCorrectResponse,$currentGoStim,0,0,0,0,2,0,8,0,,,,,,,,,,,,,,,,,374.46635619178414,stop,circleblack.png,left,0.25,374.48598811402917,374.48598811402917,374.9823154807091,374.9823154807091,374.9991481266916,375.2326874099672,375.73193748667836,375.9821259789169,376.9847368225455,377.00141518190503,left,1,0.3371123634278774,377.00141518190503,377.00141518190503,0.0017199330031871796,0.49003763124346733,0.7403097823262215,377.48620069399476,practice,1,377.5058419331908,377.5058419331908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
