corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}]","[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}]",553.6512619592249,553.6512619592249,return,2.776647426187992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
None,None,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,556.4738370999694,556.4738370999694,619.4239936284721,stop,squareblack.png,right,0.35,619.4457672797143,619.4457672797143,619.9448963031173,619.9448963031173,619.9615270532668,620.2953732907772,620.7959087602794,620.946212798357,621.9482423700392,621.9482423700392,left,0,1.456211980432272,621.9482423700392,621.9482423700392,622.4577301628888,622.4577301628888,0.0027763433754444122,0.4937439486384392,0.8440740816295147,622.4321943037212,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
None,None,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,622.43274172768,go,circleblack.png,left,0.3,622.4577301628888,622.4577301628888,622.9481484629214,622.9481484629214,622.9649393446743,623.2485539019108,623.7494472377002,623.9495772831142,624.9508993923664,624.9675786010921,left,1,1.8865742236375809,624.9675786010921,624.9675786010921,,,0.008057139813899994,0.4895288646221161,0.790103368461132,625.4671319238842,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
None,None,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,625.4675892405212,go,squareblack.png,right,0.3,625.4852472469211,625.4852472469211,625.9837271980941,625.9837271980941,626.0004786662757,626.2839804030955,626.7844161652029,626.9848442152143,627.9858230873942,627.9858230873942,right,1,0.8468679860234261,627.9858230873942,627.9858230873942,628.4888677373528,628.4888677373528,0.0016536116600036621,0.4902779832482338,0.7905412949621677,628.4705738499761,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
None,None,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,628.4709978252649,stop,circleblack.png,left,0.3,628.4888677373528,628.4888677373528,628.9883834049106,628.9883834049106,628.9883834049106,629.2872391082346,629.7878660783172,629.9879035688937,630.990337908268,630.990337908268,left,1,0.9728846400976181,630.990337908268,630.990337908268,,,0.0017354600131511688,0.4915141798555851,0.7903389781713486,631.4755158275366,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,0,4,0,,,,,,,,,,,,,,,,,631.4759803153574,go,circleblack.png,left,0.25,631.4945771060884,631.4945771060884,631.9914843924344,631.9914843924344,632.0082483589649,632.2419297285378,632.7424111999571,632.9925457388163,633.9924912750721,634.0090001933277,left,1,1.148628942668438,634.0090001933277,634.0090001933277,634.511736843735,634.511736843735,0.0013736598193645477,0.4898356571793556,0.739997323602438,634.493834991008,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
None,None,0,0,0,0,1,1,5,3,,,,,,,,,,,,,,,,,634.4942847564816,go,squareblack.png,right,0.25,634.511736843735,634.511736843735,635.0124695636332,635.0124695636332,635.0124695636332,635.2605198733509,635.7611497789621,636.0115161091089,637.0133774094284,637.0133774094284,right,1,0.5315590091049671,637.0133774094284,637.0133774094284,,,0.0016907863318920135,0.4910925254225731,0.7405727915465832,637.4984149746597,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
None,None,0,0,0,0,1,2,6,3,,,,,,,,,,,,,,,,,637.498835220933,stop,squareblack.png,right,0.25,637.5168114751577,637.5168114751577,638.0148546360433,638.0148546360433,638.0314928330481,638.2650733552873,638.7660813629627,639.0161398723722,640.0174289308488,640.0174289308488,None,0,,640.0174289308488,640.0174289308488,640.5222645439208,640.5222645439208,0.0012002475559711456,0.4901438392698765,0.7404448874294758,640.5020453035831,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
None,None,0,0,0,0,1,3,7,1,,,,,,,,,,,,,,,,,640.5024636238813,go,circleblack.png,left,0.3,640.5222645439208,640.5222645439208,641.018373310566,641.018373310566,641.0351711325347,641.3184978999197,641.8195812962949,642.0200827121735,643.0193031728268,643.0359403155744,left,1,0.8504151366651058,643.0359403155744,643.0359403155744,643.5381852388382,643.5381852388382,0.0020776577293872833,0.48987533524632454,0.7905434593558311,643.5205427818,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
$currentCorrectResponse,$currentGoStim,0,0,0,0,2,0,8,0,,,,,,,,,,,,,,,,,643.5209646001458,go,circleblack.png,left,0.3,643.5381852388382,643.5381852388382,644.0370392240584,644.0370392240584,644.0539365708828,644.3372012898326,644.837776646018,645.0379946231842,646.0407146550715,646.0407146550715,left,1,0.545847199857235,646.0407146550715,646.0407146550715,646.5437130592763,646.5437130592763,0.0012465491890907288,0.49015026167035103,0.7902186885476112,646.5250775963068,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
