corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,goStim_test.stopped,stopSignal_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}]","[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}]",18.856058552861214,18.856058552861214,return,1.2916244119405746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s026,001,2024-08-12_13h16.05.800,simplestop_skeleton,2022.2.2,60.300860651885706,
None,None,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,20.178046233952045,20.178046233952045,21.473681390285492,stop,circleblack.png,left,0.35,21.49663757532835,21.49663757532835,21.989730514585972,21.989730514585972,22.00652603060007,22.339989483356476,22.840704381465912,22.990816220641136,23.992097929120064,24.009780205786228,right,0,1.2685986906290054,24.009780205786228,24.009780205786228,24.513888977468014,24.513888977468014,0.0032587870955467224,0.49032267183065414,0.8403993025422096,24.493577279150486,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s026,001,2024-08-12_13h16.05.800,simplestop_skeleton,2022.2.2,60.300860651885706,
None,None,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,24.494125545024872,go,circleblack.png,left,0.3,24.513888977468014,24.513888977468014,25.009660102427006,25.009660102427006,25.026508651673794,25.310062751173973,25.81070628017187,26.01082591712475,27.012043073773384,27.02873172610998,right,0,0.7275487780570984,27.02873172610998,27.02873172610998,27.53326775878668,27.53326775878668,0.0013671889901161194,0.48932114988565445,0.7897952571511269,27.51340790838003,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s026,001,2024-08-12_13h16.05.800,simplestop_skeleton,2022.2.2,60.300860651885706,
None,None,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,27.51383101940155,stop,circleblack.png,left,0.3,27.53326775878668,27.53326775878668,28.029742434620857,28.029742434620857,28.04655881971121,28.33005641400814,28.830527938902378,29.03126247227192,30.031827300786972,30.048796087503433,right,0,0.5373706370592117,30.048796087503433,30.048796087503433,30.56706954538822,30.56706954538822,0.0012961700558662415,0.4899988919496536,0.7904019206762314,30.53321848809719,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s026,001,2024-08-12_13h16.05.800,simplestop_skeleton,2022.2.2,60.300860651885706,
None,None,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,30.533639557659626,stop,squareblack.png,right,0.25,30.56706954538822,30.56706954538822,31.049869805574417,31.049869805574417,31.066743552684784,31.300009086728096,31.800415083765984,32.05069474130869,33.05186351388693,33.068510204553604,None,0,,33.068510204553604,33.068510204553604,,,0.007524743676185608,0.4904731884598732,0.7409136518836021,33.553482830524445,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s026,001,2024-08-12_13h16.05.800,simplestop_skeleton,2022.2.2,60.300860651885706,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,0,4,0,,,,,,,,,,,,,,,,,33.55390629917383,go,circleblack.png,left,0.3,33.57337652891874,33.57337652891874,34.06955974549055,34.06955974549055,34.08635951578617,34.37004408240318,34.87044558674097,35.070763386785984,36.071990095078945,36.088536098599434,None,0,,36.088536098599434,36.088536098599434,36.59307515621185,36.59307515621185,0.0018157735466957092,0.48997120559215546,0.7906071096658707,36.573422595858574,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s026,001,2024-08-12_13h16.05.800,simplestop_skeleton,2022.2.2,60.300860651885706,
None,None,0,0,0,0,1,1,5,1,,,,,,,,,,,,,,,,,36.573859453201294,go,squareblack.png,right,0.3,36.59307515621185,36.59307515621185,37.08998894691467,37.08998894691467,37.10698388516903,37.39008688926697,37.89069791138172,38.09109629690647,39.0918585062027,39.109155371785164,None,0,,39.109155371785164,39.109155371785164,,,0.001704096794128418,0.4900663122534752,0.7906560823321342,39.59332539141178,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s026,001,2024-08-12_13h16.05.800,simplestop_skeleton,2022.2.2,60.300860651885706,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,2,6,0,,,,,,,,,,,,,,,,,39.59374962002039,go,squareblack.png,right,0.3,39.61189986765385,39.61189986765385,40.10984542965889,40.10984542965889,40.126312881708145,40.410054594278336,40.9103979319334,41.110806070268154,42.111859023571014,42.111859023571014,None,0,,42.111859023571014,42.111859023571014,42.61605856567621,42.61605856567621,0.0012417137622833252,0.49016839265823364,0.7904262319207191,42.59668827801943,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s026,001,2024-08-12_13h16.05.800,simplestop_skeleton,2022.2.2,60.300860651885706,
None,None,0,0,0,0,1,3,7,3,,,,,,,,,,,,,,,,,42.5971070677042,stop,squareblack.png,right,0.3,42.61605856567621,42.61605856567621,43.11317816376686,43.11317816376686,43.129657343029976,43.4132187590003,43.91378757357597,44.11409750580788,45.11554303765297,45.11554303765297,None,0,,45.11554303765297,45.11554303765297,,,0.001184619963169098,0.4902239814400673,0.790480799973011,45.60005973279476,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s026,001,2024-08-12_13h16.05.800,simplestop_skeleton,2022.2.2,60.300860651885706,
None,None,0,0,0,0,2,0,8,2,,,,,,,,,,,,,,,,,45.60056562721729,go,circleblack.png,left,0.35,45.620312072336674,45.620312072336674,46.11660819500685,46.11660819500685,46.13321699202061,46.46710216253996,46.96731502562761,47.1175764426589,48.118668504059315,48.13534799218178,None,0,,48.13534799218178,48.13534799218178,48.63974676281214,48.63974676281214,0.0018826350569725037,0.4902995526790619,0.8407161384820938,48.62007240951061,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s026,001,2024-08-12_13h16.05.800,simplestop_skeleton,2022.2.2,60.300860651885706,
