corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,fixation.stopped,goStim.started,goResp.started,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}]","[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}]",6901.030521936715,6901.030521936715,return,1.5365870743989944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s027,001,2024-08-12_16h11.34.137,simplestop_skeleton,2022.2.2,60.143088484563435,
None,None,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,6902.609247021377,6902.609247021377,6957.083841904998,go,circleblack.png,left,0.35,6957.1069800034165,6957.1069800034165,6957.606535710394,6957.606535710394,6957.606535710394,6957.956894338131,6958.457463644445,6958.607525281608,6959.608697876334,6959.608697876334,left,1,0.9140576720237732,6959.608697876334,6959.608697876334,6960.11352878809,6960.11352878809,0.0022833645343780518,0.4957812428474426,0.8459752351045609,6960.093736939132,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s027,001,2024-08-12_16h11.34.137,simplestop_skeleton,2022.2.2,60.143088484563435,
None,None,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,6960.094269871712,go,circleblack.png,left,0.35,6960.11352878809,6960.11352878809,6960.6265488266945,6960.6099210605025,6960.6099210605025,6960.960286833346,6961.4609508141875,6961.610779583454,6962.612173452973,6962.628792516887,left,1,0.6263493299484253,6962.628792516887,6962.628792516887,6963.13371360302,6963.13371360302,0.0013353899121284485,0.48975592106580734,0.8401482850313187,6963.113529145718,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s027,001,2024-08-12_16h11.34.137,simplestop_skeleton,2022.2.2,60.143088484563435,
None,None,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,6963.113962203264,go,squareblack.png,right,0.35,6963.13371360302,6963.13371360302,6963.646571792662,6963.629740789533,6963.629740789533,6963.9803652614355,6964.480859421194,6964.631113037467,6965.632027253509,6965.6485500484705,right,1,0.42678622901439667,6965.6485500484705,6965.6485500484705,6966.15282009542,6966.15282009542,0.001850917935371399,0.49015768617391586,0.8405739963054657,6966.133404314518,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s027,001,2024-08-12_16h11.34.137,simplestop_skeleton,2022.2.2,60.143088484563435,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,6966.1338263601065,go,squareblack.png,right,0.35,6966.15282009542,6966.15282009542,6966.666285783052,6966.649787694216,6966.649787694216,6967.000055179,6967.500232748687,6967.650745205581,6968.652011103928,6968.652011103928,right,1,0.38699258118867874,6968.652011103928,6968.652011103928,,,0.0011827796697616577,0.49021751433610916,0.8406996428966522,6969.136651694775,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s027,001,2024-08-12_16h11.34.137,simplestop_skeleton,2022.2.2,60.143088484563435,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,0,4,0,,,,,,,,,,,,,,,,,6969.137088224292,stop,squareblack.png,right,0.35,6969.156122907996,6969.156122907996,6969.669810891151,6969.653250589967,6969.653250589967,6970.003453999758,6970.503916889429,6970.654148451984,6971.6553938016295,6971.6553938016295,left,0,0.41633548587560654,6971.6553938016295,6971.6553938016295,6972.159203663468,6972.159203663468,0.0012162774801254272,0.4903949201107025,0.8407126888632774,6972.139968253672,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s027,001,2024-08-12_16h11.34.137,simplestop_skeleton,2022.2.2,60.143088484563435,
None,None,0,0,0,0,1,1,5,2,,,,,,,,,,,,,,,,,6972.140397414565,go,squareblack.png,right,0.3,6972.159203663468,6972.159203663468,6972.673034995794,6972.656679429114,6972.656679429114,6972.956670969725,6973.457567259669,6973.6576016023755,6974.65837328136,6974.65837328136,right,1,0.6275803744792938,6974.65837328136,6974.65837328136,6975.163030937314,6975.163030937314,0.0011846870183944702,0.49020808935165405,0.7908093556761742,6975.143431991339,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s027,001,2024-08-12_16h11.34.137,simplestop_skeleton,2022.2.2,60.143088484563435,
None,None,0,0,0,0,1,2,6,2,,,,,,,,,,,,,,,,,6975.143881559372,stop,squareblack.png,right,0.3,6975.163030937314,6975.163030937314,6975.676242902875,6975.659645721316,6975.659645721316,6975.9599045440555,6976.460408739746,6976.660584643483,6977.661959186196,6977.6785873919725,right,1,0.45289234817028046,6977.6785873919725,6977.6785873919725,6978.183577053249,6978.183577053249,0.0012023001909255981,0.4900474324822426,0.7900989577174187,6978.16330755502,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s027,001,2024-08-12_16h11.34.137,simplestop_skeleton,2022.2.2,60.143088484563435,
None,None,0,0,0,0,1,3,7,3,,,,,,,,,,,,,,,,,6978.16373243928,go,circleblack.png,left,0.25,6978.183577053249,6978.183577053249,6978.696214824915,6978.679446838796,6978.679446838796,6978.929974474013,6979.43040560931,6979.680602870882,6980.6819600611925,6980.698427192867,left,1,0.4272667020559311,6980.698427192867,6980.698427192867,6981.202745564282,6981.202745564282,0.001964762806892395,0.4900699108839035,0.7403600886464119,6981.183251731098,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s027,001,2024-08-12_16h11.34.137,simplestop_skeleton,2022.2.2,60.143088484563435,
None,None,0,0,0,0,2,0,8,3,,,,,,,,,,,,,,,,,6981.183678843081,stop,circleblack.png,left,0.25,6981.202745564282,6981.202745564282,6981.716312289238,6981.699484236538,6981.699484236538,6981.950045309961,6982.450595214963,6982.700668267906,6983.70164616406,6983.70164616406,None,0,,6983.70164616406,6983.70164616406,6984.206323817372,6984.206323817372,0.0012463033199310303,0.490200474858284,0.7404386699199677,6984.186516582966,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s027,001,2024-08-12_16h11.34.137,simplestop_skeleton,2022.2.2,60.143088484563435,
