corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,goResp.rt,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,goStim_test.stopped,stopSignal_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}]","[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}]",2970.2642413675785,2970.2642413675785,return,5.084107153117657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,2975.3947203680873,2975.3947203680873,3060.3889916092157,stop,squareblack.png,right,0.35,3060.410062983632,3060.410062983632,3060.908505551517,3060.908505551517,3060.9248703047633,3061.258788406849,3061.7593548074365,3061.9095033183694,3062.9106173589826,3062.9106173589826,None,0,3062.9106173589826,3062.9106173589826,0.00260239839553833,0.492720827460289,0.8428526967763901,3063.3953706100583,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,3063.395900219679,stop,circleblack.png,left,0.4,3063.4210615307093,3063.4210615307093,3063.9116985350847,3063.9116985350847,3063.92851395905,3064.31214710325,3064.812738098204,3064.912818238139,3065.913941808045,3065.930936254561,None,0,3065.930936254561,3065.930936254561,0.007983222603797913,0.49045953154563904,0.8905187770724297,3066.415568843484,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,3066.416015535593,stop,circleblack.png,left,0.45,3066.435035355389,3066.435035355389,3066.931757606566,3066.931757606566,3066.948355384171,3067.3824102580547,3067.8830484226346,3067.9327413886786,3068.9340133965015,3068.950735129416,None,0,3068.950735129416,3068.950735129416,0.0012848079204559326,0.4902499243617058,0.9404055029153824,3069.435533128679,practice,1,3069.4558648616076,3069.4558648616076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,3069.4359812289476,go,squareblack.png,right,0.5,3069.4558648616076,3069.4558648616076,3069.951544933021,3069.951544933021,3069.9684116765857,3070.4520961791277,3070.952745705843,3070.952745705843,3071.9533282369375,3071.970332019031,None,0,3071.970332019031,3071.970332019031,0.001756906509399414,0.48964637517929077,0.9902727976441383,3072.45523198694,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,0,0,0,0,1,0,4,2,,,,,,,,,,,,,,,,,3072.4556616172194,go,circleblack.png,left,0.5,3072.47553088516,3072.47553088516,3072.9715578109026,3072.9715578109026,3072.9884855374694,3073.472582772374,3073.9731114581227,3073.9731114581227,3074.974011339247,3074.9905593544245,None,0,3074.9905593544245,3074.9905593544245,0.0018096938729286194,0.4900188595056534,0.9905934631824493,3075.4754333794117,practice,1,3075.4949875175953,3075.4949875175953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,1,5,0,,,,,,,,,,,,,,,,,3075.475857846439,go,circleblack.png,left,0.5,3075.4949875175953,3075.4949875175953,3075.9916478917003,3075.9916478917003,3076.008558228612,3076.492465287447,3076.9930395931005,3076.9930395931005,3077.993998043239,3078.010577261448,None,0,3078.010577261448,3078.010577261448,0.001296892762184143,0.4900049641728401,0.9904025048017502,3078.4953729733825,practice,1,3078.5150064378977,3078.5150064378977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,0,0,0,0,1,2,6,1,,,,,,,,,,,,,,,,,3078.4958651810884,go,circleblack.png,left,0.5,3078.5150064378977,3078.5150064378977,3079.0117459595203,3079.0117459595203,3079.0281762629747,3079.5121973752975,3080.012730181217,3080.012730181217,3081.013619698584,3081.0303487107158,None,0,3081.0303487107158,3081.0303487107158,0.0012648925185203552,0.4896835833787918,0.9903605431318283,3081.5152455717325,practice,1,3081.5352337881923,3081.5352337881923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,0,0,0,0,1,3,7,2,,,,,,,,,,,,,,,,,3081.5156628116965,go,squareblack.png,right,0.5,3081.5352337881923,3081.5352337881923,3082.0315745845437,3082.0315745845437,3082.0482995808125,3082.532548904419,3083.0322312042117,3083.0322312042117,3084.033609598875,3084.0504014343023,None,0,3084.0504014343023,3084.0504014343023,0.0017708390951156616,0.49014515429735184,0.9907178655266762,3084.5353205055,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,0,0,0,0,2,0,8,3,,,,,,,,,,,,,,,,,3084.5357464030385,go,squareblack.png,right,0.5,3084.5549228042364,3084.5549228042364,3085.0516401976347,3085.0516401976347,3085.068277552724,3085.552172780037,3086.0525852516294,3086.0525852516294,3087.054055213928,3087.070729188621,None,0,3087.070729188621,3087.070729188621,0.0011930912733078003,0.4898478612303734,0.990449532866478,3087.5552656799555,practice,1,3087.575614385307,3087.575614385307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
