corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,goResp.rt,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}]","[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}]",291.6767683625221,291.6767683625221,return,7.764706380665302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
None,None,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,299.48174468427896,299.48174468427896,392.9080253317952,go,circleblack.png,left,0.35,392.93042958527803,392.93042958527803,393.4233077913523,393.4233077913523,393.4397349357605,393.77358793467283,394.27425127476454,394.42412769049406,395.4253830909729,395.44408413767815,None,0,395.44408413767815,395.44408413767815,0.0034092217683792114,0.48869020491838455,0.8390580862760544,395.9432743638754,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
None,None,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,395.9438144415617,go,circleblack.png,left,0.35,395.96307188272476,395.96307188272476,396.4597766548395,396.4597766548395,396.47648318856955,396.81023785471916,397.3106747791171,397.4595527127385,398.46196116507053,398.4784709960222,None,0,398.4784709960222,398.4784709960222,0.0012739524245262146,0.4897577315568924,0.8402194082736969,398.96365214139223,practice,1,398.98815044760704,398.98815044760704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
None,None,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,398.96409496665,go,squareblack.png,right,0.35,398.98815044760704,398.98815044760704,399.47972220927477,399.47972220927477,399.4966324940324,399.83019310981035,400.33081325143576,400.4810732975602,401.48226664215326,401.49865324795246,None,0,401.49865324795246,401.49865324795246,0.0073385536670684814,0.4897841587662697,0.840630829334259,401.98373728990555,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,401.98416838794947,go,squareblack.png,right,0.35,402.00335834920406,402.00335834920406,402.50032152980566,402.50032152980566,402.5166407972574,402.85037353634834,403.3508264645934,403.5012660622597,404.50234616547823,404.5190654695034,None,0,404.5190654695034,404.5190654695034,0.0012597739696502686,0.4898775592446327,0.8400750532746315,405.003884986043,practice,1,405.0229895338416,405.0229895338416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
None,None,0,0,0,0,1,0,4,2,,,,,,,,,,,,,,,,,405.0043011456728,stop,squareblack.png,right,0.35,405.0229895338416,405.0229895338416,405.51985378563404,405.51985378563404,405.5364426895976,405.87020517140627,406.3706749677658,406.5210215523839,407.5220830515027,407.53875832259655,None,0,407.53875832259655,407.53875832259655,0.0012089386582374573,0.4897582232952118,0.8400760814547539,408.02355003356934,practice,1,408.0442059636116,408.0442059636116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
None,None,0,0,0,0,1,1,5,2,,,,,,,,,,,,,,,,,408.02396926283836,stop,circleblack.png,left,0.4,408.0442059636116,408.0442059636116,408.5384572595358,408.5384572595358,408.5551923587918,408.9396334812045,409.44081550836563,409.54109455645084,410.54207741469145,410.55859080702066,None,0,410.55859080702066,410.55859080702066,0.002135828137397766,0.48818451911211014,0.8894256800413132,411.0434941276908,practice,1,411.06339909881353,411.06339909881353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
None,None,0,0,0,0,1,2,6,1,,,,,,,,,,,,,,,,,411.0439380258322,go,squareblack.png,right,0.45,411.06339909881353,411.06339909881353,411.5600477308035,411.5600477308035,411.5765073001385,412.0103344321251,412.5108085125685,412.5609769001603,413.56199330091476,413.57871698588133,right,1,413.57871698588133,413.57871698588133,0.0017126649618148804,0.4901261702179909,0.9406237229704857,414.0635355487466,practice,1,414.0828375443816,414.0828375443816,0.674126610159874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,3,7,0,,,,,,,,,,,,,,,,,414.0639576986432,stop,squareblack.png,right,0.45,414.0828375443816,414.0828375443816,414.58015740662813,414.58015740662813,414.5965332239866,415.0304530337453,415.54629146307707,415.5797490179539,416.5822608694434,416.5822608694434,right,1,416.5822608694434,416.5822608694434,0.001193217933177948,0.49041973799467087,0.9409372583031654,417.06701707839966,practice,1,417.086926355958,417.086926355958,0.4918406009674072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
$currentCorrectResponse,$currentGoStim,0,0,0,0,2,0,8,0,,,,,,,,,,,,,,,,,417.06745894253254,stop,circleblack.png,left,0.4,417.086926355958,417.086926355958,417.5832777619362,417.5832777619362,417.6001665368676,417.98375552892685,418.48427430540323,418.5843610987067,419.5852718055248,419.60211584717035,None,0,419.60211584717035,419.60211584717035,0.0018988028168678284,0.49015360325574875,0.8904511705040932,420.0868204906583,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
