corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,fixation.stopped,goStim.started,goResp.started,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,goResp.rt,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}]","[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}]",2554.65324703604,2554.65324703604,return,2.007519692182541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
None,None,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,2556.7094471901655,2556.7094471901655,2610.1053288429976,stop,squareblack.png,right,0.35,2610.1273158937693,2610.1273158937693,2610.6281590014696,2610.6281590014696,2610.6281590014696,2610.978735104203,2611.4797687083483,2611.6296380981803,2612.630575053394,2612.630575053394,None,0,2612.630575053394,2612.630575053394,2613.1414626017213,2613.1414626017213,0.0024806633591651917,0.49632591754198074,0.8465389385819435,2613.115253560245,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
None,None,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,2613.1158155426383,go,circleblack.png,left,0.4,2613.1414626017213,2613.1414626017213,2613.6482689529657,2613.631457105279,2613.631457105279,2614.032192632556,2614.5476879253983,2614.631188236177,2615.633331552148,2615.6499678492546,left,1,2615.6499678492546,2615.6499678492546,,,0.008070521056652069,0.48943405598402023,0.889634408056736,2616.1352432966232,practice,1,0.41066113114356995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,2616.135673455894,go,squareblack.png,right,0.4,2616.155191361904,2616.155191361904,2616.668344825506,2616.6516284048557,2616.6516284048557,2617.052329495549,2617.5677527338266,2617.6518664360046,2618.653756469488,2618.670710347593,right,1,2618.670710347593,2618.670710347593,2619.1754254177213,2619.1754254177213,0.0016584545373916626,0.49018748104572296,0.8905395716428757,2619.155463695526,practice,1,0.289114311337471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
None,None,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,2619.1559134423733,go,circleblack.png,left,0.4,2619.1754254177213,2619.1754254177213,2619.6883701756597,2619.6716766804457,2619.6716766804457,2620.072351641953,2620.5877884328365,2620.671734906733,2621.6739001348615,2621.6905027851462,left,1,2621.6905027851462,2621.6905027851462,2622.195431433618,2622.195431433618,0.001749470829963684,0.48991500586271286,0.8904968649148941,2622.1752796694636,practice,1,0.29307762533426285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
None,None,0,0,0,0,1,0,4,3,,,,,,,,,,,,,,,,,2622.175701983273,go,circleblack.png,left,0.4,2622.195431433618,2622.195431433618,2622.7082302868366,2622.69175209105,2622.69175209105,2623.092024192214,2623.6076421290636,2623.691359974444,2624.6935407817364,2624.710249826312,right,0,2624.710249826312,2624.710249826312,,,0.0013514533638954163,0.4902818128466606,0.890325129032135,2625.194943614304,practice,1,0.351040318608284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
None,None,0,0,0,0,1,1,5,3,,,,,,,,,,,,,,,,,2625.195375934243,go,circleblack.png,left,0.4,2625.2149198427796,2625.2149198427796,2625.728200227022,2625.7113337293267,2625.7113337293267,2626.111886560917,2626.6109225451946,2626.7112310901284,2627.7139075919986,2627.730274297297,left,1,2627.730274297297,2627.730274297297,2628.2351922914386,2628.2351922914386,0.0013078898191452026,0.4899989664554596,0.8902332186698914,2628.21525285393,practice,1,0.41003211587667465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
None,None,0,0,0,0,1,2,6,2,,,,,,,,,,,,,,,,,2628.215719103813,go,squareblack.png,right,0.4,2628.2351922914386,2628.2351922914386,2628.7482975795865,2628.731542415917,2628.731542415917,2629.13216085732,2629.647701062262,2629.7312569394708,2630.733769528568,2630.750529870391,right,1,2630.750529870391,2630.750529870391,2631.254707567394,2631.254707567394,0.0017064809799194336,0.48984625190496445,0.8906054049730301,2631.2353059500456,practice,1,0.37169215828180313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
None,None,0,0,0,0,1,3,7,3,,,,,,,,,,,,,,,,,2631.2357238531113,stop,squareblack.png,right,0.4,2631.254707567394,2631.254707567394,2631.7682555168867,2631.751863181591,2631.751863181591,2632.1524186059833,2632.667865604162,2632.7512343749404,2633.753704421222,2633.770262502134,right,1,2633.770262502134,2633.770262502134,2634.274996191263,2634.274996191263,0.001185871660709381,0.49009882658720016,0.8906975761055946,2634.255282342434,practice,1,0.40009409934282303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
None,None,0,0,0,0,2,0,8,1,,,,,,,,,,,,,,,,,2634.2557056322694,go,squareblack.png,right,0.35,2634.274996191263,2634.274996191263,2634.788032628596,2634.77146332711,2634.77146332711,2635.121666394174,2635.6209187954664,2635.771073706448,2636.77377474308,2636.790421359241,right,1,2636.790421359241,2636.790421359241,2637.301011800766,2637.301011800766,0.0012928396463394165,0.48975513130426407,0.8401352316141129,2637.2753129824996,practice,1,0.4513283893465996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
