corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,goResp.rt,text.stopped,rules_2.stopped,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}]","[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}]",581.0140726491809,581.0140726491809,return,2.3381586894392967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s032,001,2024-08-22_11h00.54.383,simplestop_skeleton,2022.2.2,59.73838931680416,
None,None,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,583.3969576284289,583.3969576284289,641.772834867239,stop,squareblack.png,right,0.35,641.804471090436,641.804471090436,642.2860109806061,642.2860109806061,642.3194565102458,642.6366851180792,643.1370443701744,643.287041015923,644.2883446067572,644.3052658364177,None,0,644.3052658364177,644.3052658364177,0.002590090036392212,0.48583023250102997,0.836181104183197,644.7900295332074,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s032,001,2024-08-22_11h00.54.383,simplestop_skeleton,2022.2.2,59.73838931680416,
None,None,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,644.7905725613236,go,squareblack.png,right,0.4,644.8100322857499,644.8100322857499,645.3060939237475,645.3060939237475,645.323139578104,645.7065387964249,646.2073964849114,646.3074733242393,647.3086387589574,647.3279401436448,None,0,647.3279401436448,647.3279401436448,0.00122842937707901,0.4896103963255882,0.8900764212012291,647.8248748108745,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s032,001,2024-08-22_11h00.54.383,simplestop_skeleton,2022.2.2,59.73838931680416,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,647.8253134563565,go,squareblack.png,right,0.4,647.8424425646663,647.8424425646663,648.3413223996758,648.3413223996758,648.3581880480051,648.7417078316212,649.2444327697158,649.342373766005,650.3435297012329,650.3435297012329,right,1,650.3435297012329,650.3435297012329,0.0011845976114273071,0.49024683237075806,0.8903611972928047,650.8291276246309,practice,1,0.870058037340641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s032,001,2024-08-22_11h00.54.383,simplestop_skeleton,2022.2.2,59.73838931680416,
None,None,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,650.829576574266,go,circleblack.png,left,0.4,650.852309808135,650.852309808135,651.3446706235409,651.3446706235409,651.3613329231739,651.7449812442064,652.2456059530377,652.3456084430218,653.3486349657178,653.3650446236134,left,1,653.3650446236134,653.3650446236134,0.007917329668998718,0.4890260249376297,0.8893684521317482,653.8499725610018,practice,1,0.3412185236811638,653.869711831212,653.869711831212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s032,001,2024-08-22_11h00.54.383,simplestop_skeleton,2022.2.2,59.73838931680416,
None,None,0,0,0,0,1,0,4,1,,,,,,,,,,,,,,,,,653.8503973707557,go,circleblack.png,left,0.4,653.869711831212,653.869711831212,654.3663495481014,654.3663495481014,654.3828152492642,654.7665475085378,655.2656048685312,655.3657633811235,656.366960696876,656.3835448697209,left,1,656.3835448697209,656.3835448697209,0.0013705939054489136,0.4897388517856598,0.8902857080101967,656.8696452975273,practice,1,0.35138028115034103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s032,001,2024-08-22_11h00.54.383,simplestop_skeleton,2022.2.2,59.73838931680416,
None,None,0,0,0,0,1,1,5,2,,,,,,,,,,,,,,,,,656.8700792789459,go,squareblack.png,right,0.4,656.8899158164859,656.8899158164859,657.3861605972052,657.3861605972052,657.4028731957078,657.7865922152996,658.3022376149893,658.3855849504471,659.3866822347045,659.4040104299784,right,1,659.4040104299784,659.4040104299784,0.0018045827746391296,0.4901740550994873,0.8907337710261345,659.889634899795,practice,1,0.3118484541773796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s032,001,2024-08-22_11h00.54.383,simplestop_skeleton,2022.2.2,59.73838931680416,
None,None,0,0,0,0,1,2,6,3,,,,,,,,,,,,,,,,,659.8900641351938,stop,circleblack.png,left,0.4,659.9098160043359,659.9098160043359,660.4061417505145,660.4061417505145,660.4226994812489,660.8067908734083,661.3222928270698,661.4056797474623,662.4089697822928,662.4089697822928,left,1,662.4089697822928,662.4089697822928,0.0017291158437728882,0.48980875313282013,0.8904656395316124,662.8930673450232,practice,1,0.2796012982726097,662.912743203342,662.912743203342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s032,001,2024-08-22_11h00.54.383,simplestop_skeleton,2022.2.2,59.73838931680416,
None,None,0,0,0,0,1,3,7,3,,,,,,,,,,,,,,,,,662.8935105204582,stop,squareblack.png,right,0.35,662.912743203342,662.912743203342,663.4095850288868,663.4095850288868,663.4262443184853,663.7596662193537,664.2588736191392,664.4090108796954,665.41011095047,665.4267807453871,right,1,665.4267807453871,665.4267807453871,0.0016680806875228882,0.4898926690220833,0.8404226824641228,665.9130586907268,practice,1,0.44494257867336273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s032,001,2024-08-22_11h00.54.383,simplestop_skeleton,2022.2.2,59.73838931680416,
None,None,0,0,0,0,2,0,8,1,,,,,,,,,,,,,,,,,665.9135127663612,go,circleblack.png,left,0.3,665.9329404011369,665.9329404011369,666.4293085187674,666.4293085187674,666.4462979659438,666.7296241670847,667.2287552505732,667.42898632586,668.430092997849,668.4468781501055,left,1,668.4468781501055,668.4468781501055,0.0017341077327728271,0.49011722207069397,0.7903183326125145,668.9330502897501,practice,1,0.3454337567090988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s032,001,2024-08-22_11h00.54.383,simplestop_skeleton,2022.2.2,59.73838931680416,
