corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,goResp.rt,text.stopped,rules_2.stopped,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}]","[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}]",144.52366350591183,144.52366350591183,return,3.8366672322154045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s034,001,2024-09-17_13h32.33.059,simplestop_skeleton,2022.2.2,59.9322899228726,
None,None,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,148.38607201725245,148.38607201725245,203.5121051594615,go,circleblack.png,left,0.35,203.54696644097567,203.54696644097567,204.03086906671524,204.03086906671524,204.04738388210535,204.381463162601,204.8818707987666,205.03205823153257,206.03329784423113,206.05199298262596,None,0,206.05199298262596,206.05199298262596,0.003072410821914673,0.4908190444111824,0.8410142660140991,206.55132224410772,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s034,001,2024-09-17_13h32.33.059,simplestop_skeleton,2022.2.2,59.9322899228726,
None,None,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,206.55185513198376,go,circleblack.png,left,0.35,206.5722015425563,206.5722015425563,207.0675282627344,207.0675282627344,207.08436994999647,207.4177684187889,207.91880324482918,208.0685610026121,209.06968536227942,209.08675181120634,None,0,209.08675181120634,209.08675181120634,0.001574486494064331,0.4891976863145828,0.8394938856363297,209.57121999561787,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s034,001,2024-09-17_13h32.33.059,simplestop_skeleton,2022.2.2,59.9322899228726,
None,None,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,209.57170036435127,go,squareblack.png,right,0.35,209.596220202744,209.596220202744,210.08780124783516,210.08780124783516,210.10436967015266,210.4384551718831,210.95372516661882,211.08726356178522,212.09034232795238,212.10706032812595,None,0,212.10706032812595,212.10706032812595,0.007333517074584961,0.4901365712285042,0.8407372683286667,212.6062543913722,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s034,001,2024-09-17_13h32.33.059,simplestop_skeleton,2022.2.2,59.9322899228726,
None,None,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,212.60671252012253,go,circleblack.png,left,0.35,212.62441988289356,212.62441988289356,213.12292508035898,213.12292508035898,213.12292508035898,213.473288141191,213.97373212128878,214.1238196119666,215.12682361900806,215.12682361900806,None,0,215.12682361900806,215.12682361900806,0.001729808747768402,0.492763414978981,0.8407279774546623,215.626189365983,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s034,001,2024-09-17_13h32.33.059,simplestop_skeleton,2022.2.2,59.9322899228726,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,0,4,0,,,,,,,,,,,,,,,,,215.62748878449202,go,squareblack.png,right,0.35,215.6453389674425,215.6453389674425,216.14318718016148,216.14318718016148,216.15994500368834,216.4932710453868,216.99374368786812,217.14380811154842,218.14691693335772,218.14691693335772,left,0,218.14691693335772,218.14691693335772,0.0016888827085494995,0.4895523563027382,0.8399347588419914,218.64614257961512,practice,1,0.35744433104991913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s034,001,2024-09-17_13h32.33.059,simplestop_skeleton,2022.2.2,59.9322899228726,
None,None,0,0,0,0,1,1,5,1,,,,,,,,,,,,,,,,,218.6465631723404,stop,squareblack.png,right,0.35,218.66334158182144,218.66334158182144,219.16276225447655,219.16276225447655,219.16276225447655,219.51327528059483,220.0135912746191,220.16380283236504,221.1650634482503,221.1650634482503,None,0,221.1650634482503,221.1650634482503,0.0011991709470748901,0.49055948108434677,0.8410559147596359,221.64971275627613,practice,1,,221.66758302599192,221.66758302599192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s034,001,2024-09-17_13h32.33.059,simplestop_skeleton,2022.2.2,59.9322899228726,
None,None,0,0,0,0,1,2,6,3,,,,,,,,,,,,,,,,,221.6501734405756,stop,circleblack.png,left,0.4,221.66758302599192,221.66758302599192,222.1673071011901,222.1673071011901,222.1673071011901,222.56831607222557,223.08366542309523,223.16707926988602,224.1681862846017,224.1681862846017,left,1,224.1681862846017,224.1681862846017,0.001688241958618164,0.4914293885231018,0.8923436775803566,224.6530912965536,practice,1,0.33153045177459717,224.6706101745367,224.6706101745367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s034,001,2024-09-17_13h32.33.059,simplestop_skeleton,2022.2.2,59.9322899228726,
None,None,0,0,0,0,1,3,7,3,,,,,,,,,,,,,,,,,224.6536659821868,stop,circleblack.png,left,0.35,224.6706101745367,224.6706101745367,225.16940661519766,225.16940661519766,225.18631386756897,225.5199415460229,226.02022942900658,226.17030891031027,227.17145094275475,227.17145094275475,left,1,227.17145094275475,227.17145094275475,0.0012450739741325378,0.48991411179304123,0.8404256626963615,227.65626671910286,practice,1,0.6054547131061554,227.6748441979289,227.6748441979289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s034,001,2024-09-17_13h32.33.059,simplestop_skeleton,2022.2.2,59.9322899228726,
None,None,0,0,0,0,2,0,8,2,,,,,,,,,,,,,,,,,227.65672500431538,go,circleblack.png,left,0.3,227.6748441979289,227.6748441979289,228.1728253737092,228.1728253737092,228.18938349932432,228.47295074909925,228.9734688848257,229.17397783696651,230.17488373816013,230.17488373816013,left,1,230.17488373816013,230.17488373816013,0.0013817772269248962,0.4896613880991936,0.7898641005158424,230.66009441018105,practice,1,0.4912208020687103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s034,001,2024-09-17_13h32.33.059,simplestop_skeleton,2022.2.2,59.9322899228726,
