corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}]","[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}]",2887.9978195801377,2887.9978195801377,return,3.962232753634453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2891.992580063641,2891.992580063641,2947.353687904775,go,circleblack.png,left,0.35,2947.379559956491,2947.379559956491,2947.871134072542,2947.871134072542,2947.8876188248396,2948.2210971415043,2948.721749417484,2948.872066780925,2949.8733641058207,2949.889734826982,right,0,1.537682205438614,2949.889734826982,2949.889734826982,2950.398524045944,2950.398524045944,0.0035896971821784973,0.49086088687181473,0.8410700932145119,2950.3746275752783,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,2950.375213049352,stop,squareblack.png,right,0.35,2950.398524045944,2950.398524045944,2950.8907660990953,2950.8907660990953,2950.907478451729,2951.2411284670234,2951.7417590022087,2951.892176389694,2952.893097706139,2952.9098443314433,None,0,,2952.9098443314433,2952.9098443314433,,,0.007277444005012512,0.4901517778635025,0.8401520699262619,2953.394567489624,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,2953.394998110831,stop,circleblack.png,left,0.4,2953.414373651147,2953.414373651147,2953.910900130868,2953.910900130868,2953.9274715036154,2954.3111940324306,2954.8119721263647,2954.912191621959,2955.913339033723,2955.929730862379,None,0,,2955.929730862379,2955.929730862379,2956.434647746384,2956.434647746384,0.0018000602722167969,0.4902367815375328,0.8905680552124977,2956.414681918919,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,2956.4150997772813,go,squareblack.png,right,0.45,2956.434647746384,2956.434647746384,2956.9308314546943,2956.9308314546943,2956.9474562332034,2957.381574653089,2957.8818434923887,2957.9320863857865,2958.933042228222,2958.9497130811214,None,0,,2958.9497130811214,2958.9497130811214,,,0.0016345679759979248,0.4900106266140938,0.9403517916798592,2959.4344738200307,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,0,0,0,0,1,0,4,2,,,,,,,,,,,,,,,,,2959.4349176958203,stop,circleblack.png,left,0.45,2959.4542369395494,2959.4542369395494,2959.950888544321,2959.950888544321,2959.967916212976,2960.401518173516,2960.902211293578,2960.951887026429,2961.953190341592,2961.9699166193604,None,0,,2961.9699166193604,2961.9699166193604,2962.47417049855,2962.47417049855,0.0018425211310386658,0.4900953695178032,0.9405874758958817,2962.4544269368052,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,1,5,0,,,,,,,,,,,,,,,,,2962.454850681126,go,squareblack.png,right,0.5,2962.47417049855,2962.47417049855,2962.971115797758,2962.971115797758,2962.987536072731,2963.4714451283216,2963.971981666982,2963.971981666982,2964.973213337362,2964.9897055998445,right,1,0.7532480508089066,2964.9897055998445,2964.9897055998445,2965.4942920804024,2965.4942920804024,0.0016548112034797668,0.4902990832924843,0.9908300265669823,2965.4745397269726,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,0,0,0,0,1,2,6,1,,,,,,,,,,,,,,,,,2965.4749664589763,go,circleblack.png,left,0.5,2965.4942920804024,2965.4942920804024,2965.9907166957855,2965.9907166957855,2966.0073704496026,2966.4913040474057,2966.991911739111,2966.991911739111,2967.993202857673,2968.0096796378493,None,0,,2968.0096796378493,2968.0096796378493,2968.514293655753,2968.514293655753,0.0017901211977005005,0.49018481373786926,0.9905575439333916,2968.4945160225034,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,0,0,0,0,1,3,7,1,,,,,,,,,,,,,,,,,2968.494944624603,stop,squareblack.png,right,0.5,2968.514293655753,2968.514293655753,2969.010941244662,2969.010941244662,2969.0276513397694,2969.5113177374005,2970.0113560035825,2970.0113560035825,2971.012823499739,2971.0296417847276,left,0,0.356625534594059,2971.0296417847276,2971.0296417847276,2971.5337388515472,2971.5337388515472,0.0017331093549728394,0.49006620794534683,0.9906792491674423,2971.514348976314,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,0,0,0,0,2,0,8,3,,,,,,,,,,,,,,,,,2971.5147756561637,go,squareblack.png,right,0.45,2971.5337388515472,2971.5337388515472,2972.0307019129395,2972.0307019129395,2972.047615043819,2972.4811544194818,2972.981612637639,2973.03185133636,2974.0327937975526,2974.0495233386755,right,1,0.4912538230419159,2974.0495233386755,2974.0495233386755,,,0.0012254789471626282,0.4902157485485077,0.9404275491833687,2974.5345573425293,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,0,0,0,0,2,1,9,1,,,,,,,,,,,,,,,,,2974.534989282489,go,circleblack.png,left,0.45,2974.554480098188,2974.554480098188,2975.050721049309,2975.050721049309,2975.067295566201,2975.5018400996923,2976.001347243786,2976.051296427846,2977.0530126020312,2977.0695947036147,left,1,0.3601154759526253,2977.0695947036147,2977.0695947036147,2977.5742580890656,2977.5742580890656,0.0019357949495315552,0.4902503713965416,0.9406664147973061,2977.5545502603054,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,0,0,0,0,2,2,10,2,,,,,,,,,,,,,,,,,2977.5549890324473,go,circleblack.png,left,0.45,2977.5742580890656,2977.5742580890656,2978.0708437487483,2978.0708437487483,2978.0872759222984,2978.5216038003564,2979.0217093899846,2979.0720958411694,2980.073254570365,2980.08966524899,right,0,0.2382008507847786,2980.08966524899,2980.08966524899,2980.594272084534,2980.594272084534,0.001322045922279358,0.4902215600013733,0.9405743926763535,2980.5745263695717,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,0,0,0,0,2,3,11,3,,,,,,,,,,,,,,,,,2980.5749483183026,go,squareblack.png,right,0.45,2980.594272084534,2980.594272084534,2981.090902671218,2981.090902671218,2981.107902534306,2981.541336879134,2982.0420561507344,2982.0921891108155,2983.092996098101,2983.109689116478,right,1,0.379902645945549,2983.109689116478,2983.109689116478,2983.6140626072884,2983.6140626072884,0.0018238872289657593,0.49042464792728424,0.9407056197524071,2983.5945488363504,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,0,0,0,0,3,0,12,2,,,,,,,,,,,,,,,,,2983.594992108643,go,squareblack.png,right,0.45,2983.6140626072884,2983.6140626072884,2984.110925786197,2984.110925786197,2984.1276400238276,2984.5612507760525,2985.061228491366,2985.111438192427,2986.1130759567022,2986.1296219676733,right,1,0.40827561914920807,2986.1296219676733,2986.1296219676733,2986.634088873863,2986.634088873863,0.0011814534664154053,0.49006444960832596,0.9404881596565247,2986.614394016564,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,0,0,0,0,3,1,13,1,,,,,,,,,,,,,,,,,2986.614846006036,stop,circleblack.png,left,0.45,2986.634088873863,2986.634088873863,2987.1308909356594,2987.1308909356594,2987.1474974676967,2987.5812597870827,2988.082054145634,2988.132371842861,2989.133116096258,2989.1498194783926,left,1,0.2771202549338341,2989.1498194783926,2989.1498194783926,2989.6542519256473,2989.6542519256473,0.0019259974360466003,0.49036283046007156,0.9407444447278976,2989.6346136555076,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
$currentCorrectResponse,$currentGoStim,0,0,0,0,3,2,14,0,,,,,,,,,,,,,,,,,2989.635045848787,go,squareblack.png,right,0.4,2989.6542519256473,2989.6542519256473,2990.150723978877,2990.150723978877,2990.1673690229654,2990.5510297864676,2991.0503992810845,2991.151356369257,2992.153163358569,2992.1696873754263,left,0,0.5274674370884895,2992.1696873754263,2992.1696873754263,2992.674075998366,2992.674075998366,0.001733534038066864,0.48978402465581894,0.8904467597603798,2992.654471218586,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,0,0,0,0,3,3,15,3,,,,,,,,,,,,,,,,,2992.654913008213,go,squareblack.png,right,0.4,2992.674075998366,2992.674075998366,2993.170575506985,2993.170575506985,2993.187564432621,2993.5711681842804,2994.0716246291995,2994.1718919351697,2995.1732236891985,2995.189791895449,right,1,0.36779748648405075,2995.189791895449,2995.189791895449,2995.6941780522466,2995.6941780522466,0.0013055726885795593,0.49012936651706696,0.8904276713728905,2995.674850985408,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,0,0,0,0,4,0,16,1,,,,,,,,,,,,,,,,,2995.675279572606,stop,squareblack.png,right,0.4,2995.6941780522466,2995.6941780522466,2996.1910702958703,2996.1910702958703,2996.2080596089363,2996.591128729284,2997.091892488301,2997.19190351665,2998.1930912211537,2998.209611468017,right,1,0.38609328866004944,2998.209611468017,2998.209611468017,2998.7146058902144,2998.7146058902144,0.0012121796607971191,0.49002549052238464,0.8903329148888588,2998.6945714876056,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,0,0,0,0,4,1,17,2,,,,,,,,,,,,,,,,,2998.6950114518404,go,circleblack.png,left,0.35,2998.7146058902144,2998.7146058902144,2999.2108825594187,2999.2108825594187,2999.2277896627784,2999.5612500607967,3000.0613690391183,3000.21124779433,3001.2131245434284,3001.229866668582,left,1,0.4079815000295639,3001.229866668582,3001.229866668582,3001.734099857509,3001.734099857509,0.0018431544303894043,0.4901042506098747,0.8407332822680473,3001.7146372795105,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
$currentCorrectResponse,$currentGoStim,0,0,0,0,4,2,18,0,,,,,,,,,,,,,,,,,3001.7150552272797,go,circleblack.png,left,0.35,3001.734099857509,3001.734099857509,3002.230980537832,3002.230980537832,3002.247600235045,3002.581436395645,3003.0805172100663,3003.2317971140146,3004.233131028712,3004.249955371022,left,1,0.49774740636348724,3004.249955371022,3004.249955371022,3004.754227720201,3004.754227720201,0.0012431517243385315,0.4902961328625679,0.840298019349575,3004.7345649302006,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,0,0,0,0,4,3,19,2,,,,,,,,,,,,,,,,,3004.734980560839,stop,squareblack.png,right,0.35,3004.754227720201,3004.754227720201,3005.250850379467,3005.250850379467,3005.267418332398,3005.6011317521334,3006.1011927202344,3006.251258969307,3007.252837985754,3007.2695902585983,right,1,0.37506596744060516,3007.2695902585983,3007.2695902585983,,,0.0016700252890586853,0.4897901490330696,0.8401534557342529,3007.7543695792556,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,0,0,0,0,5,0,20,3,,,,,,,,,,,,,,,,,3007.754811897874,go,squareblack.png,right,0.3,3007.7738579660654,3007.7738579660654,3008.2707286924124,3008.2707286924124,3008.287389665842,3008.5709948390722,3009.070257537067,3009.2710647061467,3010.2730197981,3010.2730197981,right,1,0.4568132683634758,3010.2730197981,3010.2730197981,3010.777682699263,3010.777682699263,0.0012002065777778625,0.4901634678244591,0.7904655486345291,3010.757889844477,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,0,0,0,0,5,1,21,3,,,,,,,,,,,,,,,,,3010.758319377899,go,circleblack.png,left,0.3,3010.777682699263,3010.777682699263,3011.274242527783,3011.274242527783,3011.290947318077,3011.5744320228696,3012.0736219212413,3012.2748894765973,3013.2764561101794,3013.293220050633,left,1,0.44085589051246643,3013.293220050633,3013.293220050633,3013.7975932508707,3013.7975932508707,0.0018107667565345764,0.4900028556585312,0.7905400767922401,3013.777906768024,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,0,0,0,0,5,2,22,3,,,,,,,,,,,,,,,,,3013.778326049447,stop,circleblack.png,left,0.3,3013.7975932508707,3013.7975932508707,3014.294066078961,3014.294066078961,3014.311050064862,3014.594535984099,3015.0948779135942,3015.2944579273462,3016.2961755916476,3016.313015334308,left,1,0.5396038889884949,3016.313015334308,3016.313015334308,,,0.0013982653617858887,0.4898255318403244,0.7899787649512291,3016.797661177814,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,0,0,0,0,5,3,23,1,,,,,,,,,,,,,,,,,3016.7980928197503,go,circleblack.png,left,0.25,3016.8169919475913,3016.8169919475913,3017.315030492842,3017.315030492842,3017.33061298728,3017.563841186464,3018.0650506690145,3018.331551834941,3019.316174477339,3019.316174477339,left,1,0.5954425632953644,3019.316174477339,3019.316174477339,,,0.0012555718421936035,0.48880643397569656,0.7398497462272644,3019.8010945394635,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
,,0,0,0,0,,,,,,,,,,,,,"[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3019.8188885971904,3019.8188885971904,return,1.3358457759022713,,,,,,,,,,,,,,,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,3024.4650530666113,go,circleblack.png,left,0.25,,,,,,,,,,,,,,,,,,0.0023473575711250305,0.4971407353878021,,3026.9765509217978,test,1,,,,,3021.185112670064,3021.185112670064,3024.485232055187,3024.9890019521117,3024.9890019521117,3024.9890019521117,3025.2393420040607,3025.7399589940906,3025.9902704283595,3026.99560123682,left,1,0.478879876434803,0.25,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,,,,,,,,,0,0,0,0,0,1,1,2,,,,,,,,,3026.9771020933986,go,squareblack.png,right,0.25,,,,,,,,,,,,,,,,,,0.0019691064953804016,0.48902543634176254,,3029.4790523797274,test,1,,,,,,,3026.99560123682,3027.508604951203,3027.491939842701,3027.491939842701,3027.7420802786946,3028.2426796481013,3028.4929693341255,3029.4975815862417,right,1,0.812814474105835,0.25,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
$currentCorrectResponse,$currentGoStim,,,,,,,,,0,0,0,0,0,2,2,0,,,,,,,,,3029.4794882908463,stop,squareblack.png,right,0.25,,,,,,,,,,,,,,,,,,0.001305989921092987,0.48954451084136963,0.7397976666688919,3031.9816460236907,test,1,,,,,,,3029.4975815862417,3030.011504970491,3029.9950649887323,3029.9950649887323,3030.2452406212687,3030.7443558201194,3030.995225377381,3032.000751823187,right,1,0.3889027535915375,0.2,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
None,None,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,3031.982094809413,go,circleblack.png,left,0.2,,,,,,,,,,,,,,,,,,0.0018419697880744934,0.48965343832969666,,3034.484281644225,test,1,,,,,,,3032.000751823187,3032.5143944099545,3032.4975168406963,3032.4975168406963,3032.697824984789,3033.19710791111,3033.4986180588603,3034.503443144262,left,1,0.38457783311605453,0.2,,,,,,,,,,,s037,001,2024-09-26_10h15.16.231,simplestop_skeleton,2022.2.2,59.6590504449324,
