corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}]","[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}]",1723.2488090619445,1723.2488090619445,return,2.971237063407898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s038,001,2024-09-26_11h02.24.969,simplestop_skeleton,2022.2.2,60.58202883269517,
None,None,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,1726.260848224163,1726.260848224163,1795.3880029544234,go,circleblack.png,left,0.35,1795.411621965468,1795.411621965468,1795.9033931940794,1795.9033931940794,1795.9203314855695,1796.254043214023,1796.7542598545551,1796.904803238809,1797.90593034029,1797.9222611263394,left,1,1.039037249982357,1797.9222611263394,1797.9222611263394,1798.4313606247306,1798.4313606247306,0.00350981205701828,0.48865263164043427,0.8391771987080574,1798.4072702005506,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s038,001,2024-09-26_11h02.24.969,simplestop_skeleton,2022.2.2,60.58202883269517,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,1798.4078033268452,go,squareblack.png,right,0.35,1798.4313606247306,1798.4313606247306,1798.9233334213495,1798.9233334213495,1798.940176524222,1799.272935256362,1799.7743232548237,1799.9246328920126,1800.9256921932101,1800.9423696398735,right,1,0.5277629122138023,1800.9423696398735,1800.9423696398735,,,0.007250577211380005,0.4897305890917778,0.8395116776227951,1801.4271782264113,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s038,001,2024-09-26_11h02.24.969,simplestop_skeleton,2022.2.2,60.58202883269517,
None,None,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,1801.4276158586144,go,squareblack.png,right,0.35,1801.4467647373676,1801.4467647373676,1801.9433517232537,1801.9433517232537,1801.96018576622,1802.2936707437038,1802.794313982129,1802.9433974027634,1803.9455047547817,1803.962154403329,right,1,0.5940745770931244,1803.962154403329,1803.962154403329,1804.4665138423443,1804.4665138423443,0.0012338310480117798,0.49003755301237106,0.8404415845870972,1804.4469411820173,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s038,001,2024-09-26_11h02.24.969,simplestop_skeleton,2022.2.2,60.58202883269517,
None,None,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,1804.4473600536585,stop,squareblack.png,right,0.35,1804.4665138423443,1804.4665138423443,1804.9634287580848,1804.9634287580848,1804.9801105558872,1805.313823491335,1805.8296902030706,1805.9636115431786,1806.965449027717,1806.9821792468429,right,1,0.4391815960407257,1806.9821792468429,1806.9821792468429,1807.4922320768237,1807.4922320768237,0.0012223348021507263,0.490001380443573,0.8405203446745872,1807.4671094492078,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s038,001,2024-09-26_11h02.24.969,simplestop_skeleton,2022.2.2,60.58202883269517,
None,None,0,0,0,0,1,0,4,1,,,,,,,,,,,,,,,,,1807.4675344526768,stop,circleblack.png,left,0.3,1807.4922320768237,1807.4922320768237,1807.9833254292607,1807.9833254292607,1807.9999406635761,1808.2839006856084,1808.7854675725102,1808.9838512018323,1809.9859004244208,1810.00223762542,left,1,0.4217262864112854,1810.00223762542,1810.00223762542,1810.5067034065723,1810.5067034065723,0.007904067635536194,0.49036963284015656,0.7907524481415749,1810.4871597662568,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s038,001,2024-09-26_11h02.24.969,simplestop_skeleton,2022.2.2,60.58202883269517,
None,None,0,0,0,0,1,1,5,3,,,,,,,,,,,,,,,,,1810.4875751659274,go,circleblack.png,left,0.25,1810.5067034065723,1810.5067034065723,1811.0032338947058,1811.0032338947058,1811.0200220495462,1811.253770031035,1811.7544905915856,1812.0047909542918,1813.0056551247835,1813.022209070623,None,0,,1813.022209070623,1813.022209070623,1813.5267326012254,1813.5267326012254,0.0012753978371620178,0.4901775196194649,0.7401369959115982,1813.507146783173,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s038,001,2024-09-26_11h02.24.969,simplestop_skeleton,2022.2.2,60.58202883269517,
None,None,0,0,0,0,1,2,6,3,,,,,,,,,,,,,,,,,1813.5075981095433,go,circleblack.png,left,0.25,1813.5267326012254,1813.5267326012254,1814.0234542116523,1814.0234542116523,1814.0402314066887,1814.2739317193627,1814.7895210534334,1815.023771032691,1816.0254504978657,1816.042294293642,left,1,0.4464188814163208,1816.042294293642,1816.042294293642,,,0.0013558194041252136,0.4898458197712898,0.7401804551482201,1816.527129009366,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s038,001,2024-09-26_11h02.24.969,simplestop_skeleton,2022.2.2,60.58202883269517,
None,None,0,0,0,0,1,3,7,1,,,,,,,,,,,,,,,,,1816.5275599956512,go,squareblack.png,right,0.25,1816.5468739047647,1816.5468739047647,1817.0434572547674,1817.0434572547674,1817.0599550902843,1817.2938489839435,1817.7929340600967,1818.043614372611,1819.0457266196609,1819.0623905733228,right,1,0.34514597803354263,1819.0623905733228,1819.0623905733228,1819.5667433217168,1819.5667433217168,0.0017053112387657166,0.49055229872465134,0.7404012233018875,1819.5472616776824,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s038,001,2024-09-26_11h02.24.969,simplestop_skeleton,2022.2.2,60.58202883269517,
None,None,0,0,0,0,2,0,8,2,,,,,,,,,,,,,,,,,1819.5476843714714,stop,squareblack.png,right,0.25,1819.5667433217168,1819.5667433217168,1820.0634505078197,1820.0634505078197,1820.0802355706692,1820.3138593360782,1820.8142619729042,1821.0654026269913,1822.0656056329608,1822.0823357254267,right,1,0.6166602894663811,1822.0823357254267,1822.0823357254267,,,0.0011840984225273132,0.49003445357084274,0.7401756197214127,1822.5670565739274,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s038,001,2024-09-26_11h02.24.969,simplestop_skeleton,2022.2.2,60.58202883269517,
