corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,goStim_test.stopped,stopSignal_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}]","[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}]",488.6801342442632,488.6801342442632,return,6.7643375769257545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s040,001,2024-09-26_14h02.25.505,simplestop_skeleton,2022.2.2,59.599264317176115,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,495.4843924343586,495.4843924343586,548.3054603040218,go,squareblack.png,right,0.35,548.3303159251809,548.3303159251809,548.8202812597156,548.8202812597156,548.8368825018406,549.1705680787563,549.6709779798985,549.8210894688964,550.822532966733,550.83938190341,right,1,1.6896908655762672,550.83938190341,550.83938190341,551.3487214297056,551.3487214297056,0.0029719918966293335,0.4877363219857216,0.8385865986347198,551.3240574225783,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s040,001,2024-09-26_14h02.25.505,simplestop_skeleton,2022.2.2,59.599264317176115,
None,None,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,551.3245850875974,stop,circleblack.png,left,0.35,551.3487214297056,551.3487214297056,551.840165682137,551.840165682137,551.857091628015,552.1906611248851,552.6911121606827,552.8412716761231,553.8410359472036,553.8577141836286,left,1,1.5689408034086227,553.8577141836286,553.8577141836286,554.360208503902,554.360208503902,0.00796431303024292,0.4896412566304207,0.8398840874433517,554.3425539210439,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s040,001,2024-09-26_14h02.25.505,simplestop_skeleton,2022.2.2,59.599264317176115,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,554.3429719358683,stop,circleblack.png,left,0.3,554.360208503902,554.360208503902,554.8603495210409,554.8603495210409,554.8603495210409,555.1605124846101,555.6610398069024,555.8613675683737,556.8623372912407,556.8623372912407,None,0,,556.8623372912407,556.8623372912407,,,0.001339644193649292,0.49131858348846436,0.7915906608104706,557.3473450541496,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s040,001,2024-09-26_14h02.25.505,simplestop_skeleton,2022.2.2,59.599264317176115,
None,None,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,557.3477652221918,go,circleblack.png,left,0.35,557.3668951317668,557.3668951317668,557.863527521491,557.863527521491,557.8801298588514,558.2138199210167,558.7144607156515,558.8631083369255,559.8658223897219,559.8824932426214,left,1,0.6351096630096436,559.8824932426214,559.8824932426214,560.3869962096214,560.3869962096214,0.0012845247983932495,0.49018874764442444,0.8404901921749115,560.3670553043485,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s040,001,2024-09-26_14h02.25.505,simplestop_skeleton,2022.2.2,59.599264317176115,
None,None,0,0,0,0,1,0,4,2,,,,,,,,,,,,,,,,,560.3674914464355,go,squareblack.png,right,0.35,560.3869962096214,560.3869962096214,560.8836623057723,560.8836623057723,560.8999867960811,561.2336779683828,561.734691940248,561.8831424638629,562.8855375349522,562.9024345055223,right,1,0.6954055950045586,562.9024345055223,562.9024345055223,563.4065565168858,563.4065565168858,0.0018427297472953796,0.49021967500448227,0.8406708836555481,563.3871940970421,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s040,001,2024-09-26_14h02.25.505,simplestop_skeleton,2022.2.2,59.599264317176115,
None,None,0,0,0,0,1,1,5,2,,,,,,,,,,,,,,,,,563.3876074925065,stop,squareblack.png,right,0.35,563.4065565168858,563.4065565168858,563.9036437645555,563.9036437645555,563.9200398027897,564.2525443136692,564.7539644911885,564.9037639275193,565.9056518375874,565.9222921356559,None,0,,565.9222921356559,565.9222921356559,,,0.0011954382061958313,0.48990241438150406,0.8394912853837013,566.4073474556208,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s040,001,2024-09-26_14h02.25.505,simplestop_skeleton,2022.2.2,59.599264317176115,
None,None,0,0,0,0,1,2,6,3,,,,,,,,,,,,,,,,,566.4077678620815,go,circleblack.png,left,0.4,566.4272822961211,566.4272822961211,566.9236768037081,566.9236768037081,566.940236903727,567.3241648003459,567.824648052454,567.9246214404702,568.9248831346631,568.9421496838331,left,1,0.8472578823566437,568.9421496838331,568.9421496838331,,,0.0018363818526268005,0.4899832382798195,0.8903880640864372,569.42702062428,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s040,001,2024-09-26_14h02.25.505,simplestop_skeleton,2022.2.2,59.599264317176115,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,3,7,0,,,,,,,,,,,,,,,,,569.4274524077773,go,circleblack.png,left,0.4,569.4466229379177,569.4466229379177,569.9435565620661,569.9435565620661,569.960474267602,570.344021320343,570.8445262908936,570.9445788562298,571.9456226974726,571.9627419039607,left,1,0.7575511410832405,571.9627419039607,571.9627419039607,572.4670301526785,572.4670301526785,0.0012540295720100403,0.4901058226823807,0.8908342868089676,572.4471768587828,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s040,001,2024-09-26_14h02.25.505,simplestop_skeleton,2022.2.2,59.599264317176115,
None,None,0,0,0,0,2,0,8,3,,,,,,,,,,,,,,,,,572.4476036056876,go,squareblack.png,right,0.4,572.4670301526785,572.4670301526785,572.9636078774929,572.9636078774929,572.9806574583054,573.3641337230802,573.8647924661636,573.9645514637232,574.9655903577805,574.9816666468978,right,1,0.8238187953829765,574.9816666468978,574.9816666468978,,,0.0016912668943405151,0.49045664072036743,0.8908518850803375,575.4670801088214,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s040,001,2024-09-26_14h02.25.505,simplestop_skeleton,2022.2.2,59.599264317176115,
