corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}]","[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}]",1630.286913856864,1630.286913856864,return,2.3252621218562126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s042,001,2024-09-27_10h57.32.864,simplestop_skeleton,2022.2.2,59.855481038932496,
None,None,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,1632.6609066203237,1632.6609066203237,1686.9307750090957,stop,squareblack.png,right,0.35,1686.9522955417633,1686.9522955417633,1687.4465121999383,1687.4465121999383,1687.4632061645389,1687.797005340457,1688.2974264249206,1688.4476854652166,1689.4490173459053,1689.4670981392264,left,0,0.44150761514902115,1689.4670981392264,1689.4670981392264,0.0027692466974258423,0.4893408343195915,0.8396013081073761,1689.9667934551835,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s042,001,2024-09-27_10h57.32.864,simplestop_skeleton,2022.2.2,59.855481038932496,
None,None,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,1689.9674407839775,go,squareblack.png,right,0.3,1689.9865532442927,1689.9865532442927,1690.4832103550434,1690.4832103550434,1690.4998747333884,1690.7836441397667,1691.2994506061077,1691.4828890264034,1692.4844897389412,1692.500866547227,left,0,0.17362402379512787,1692.500866547227,1692.500866547227,0.0011787861585617065,0.48972896486520767,0.7902714088559151,1692.9866715818644,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s042,001,2024-09-27_10h57.32.864,simplestop_skeleton,2022.2.2,59.855481038932496,
None,None,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,1692.9870999753475,go,circleblack.png,left,0.3,1693.0090415552258,1693.0090415552258,1693.5030394047499,1693.5030394047499,1693.5199638083577,1693.8036820665002,1694.3041783571243,1694.5028107911348,1695.5039895027876,1695.5210500210524,left,1,1.072876662015915,1695.5210500210524,1695.5210500210524,0.004353083670139313,0.4901597276329994,0.7903222590684891,1696.005625128746,practice,1,1696.0370615199208,1696.0370615199208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s042,001,2024-09-27_10h57.32.864,simplestop_skeleton,2022.2.2,59.855481038932496,
None,None,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,1696.0060581490397,go,circleblack.png,left,0.3,1696.0370615199208,1696.0370615199208,1696.521905258298,1696.521905258298,1696.5386323407292,1696.8222102597356,1697.3227235600352,1697.5228003263474,1698.525637641549,1698.5419399812818,left,1,0.4219072386622429,1698.5419399812818,1698.5419399812818,0.0012348517775535583,0.49007463455200195,0.7902552634477615,1699.026890002191,practice,1,1699.046139523387,1699.046139523387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s042,001,2024-09-27_10h57.32.864,simplestop_skeleton,2022.2.2,59.855481038932496,
None,None,0,0,0,0,1,0,4,2,,,,,,,,,,,,,,,,,1699.0273115485907,go,circleblack.png,left,0.3,1699.046139523387,1699.046139523387,1699.5430848747492,1699.5430848747492,1699.5599319785833,1699.8435034826398,1700.3428443744779,1700.542847879231,1701.5439802780747,1701.5606062859297,left,1,0.4188918247818947,1701.5606062859297,1701.5606062859297,0.0011872276663780212,0.49007192999124527,0.7903734445571899,1702.0460818856955,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s042,001,2024-09-27_10h57.32.864,simplestop_skeleton,2022.2.2,59.855481038932496,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,1,5,0,,,,,,,,,,,,,,,,,1702.0465085729957,go,squareblack.png,right,0.3,1702.0711527094245,1702.0711527094245,1702.5632609724998,1702.5632609724998,1702.5799836739898,1702.8633089140058,1703.3629121035337,1703.5628098621964,1704.5639411509037,1704.5805961340666,right,1,0.5010073333978653,1704.5805961340666,1704.5805961340666,0.007462106645107269,0.49101056158542633,0.7909505143761635,1705.0662378817797,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s042,001,2024-09-27_10h57.32.864,simplestop_skeleton,2022.2.2,59.855481038932496,
None,None,0,0,0,0,1,2,6,1,,,,,,,,,,,,,,,,,1705.0666715726256,go,circleblack.png,left,0.3,1705.0843955352902,1705.0843955352902,1705.5832718759775,1705.5832718759775,1705.6001911312342,1705.8837238550186,1706.3993762806058,1706.5828792601824,1707.5840333625674,1707.5840333625674,left,1,0.34799911826848984,1707.5840333625674,1707.5840333625674,0.0018853992223739624,0.49084238708019257,0.7912459969520569,1708.070296779275,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s042,001,2024-09-27_10h57.32.864,simplestop_skeleton,2022.2.2,59.855481038932496,
None,None,0,0,0,0,1,3,7,1,,,,,,,,,,,,,,,,,1708.0707440301776,stop,squareblack.png,right,0.3,1708.0905062705278,1708.0905062705278,1708.5869698300958,1708.5869698300958,1708.6032795459032,1708.886886626482,1709.3880151063204,1709.5863126888871,1710.587234556675,1710.6039246320724,right,1,0.3857918679714203,1710.6039246320724,1710.6039246320724,0.0017694830894470215,0.4903580769896507,0.79036845266819,1711.089477777481,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s042,001,2024-09-27_10h57.32.864,simplestop_skeleton,2022.2.2,59.855481038932496,
None,None,0,0,0,0,2,0,8,1,,,,,,,,,,,,,,,,,1711.0899062529206,stop,circleblack.png,left,0.25,1711.1073037013412,1711.1073037013412,1711.6066083833575,1711.6066083833575,1711.6066083833575,1711.856742605567,1712.3559537827969,1712.6061421185732,1713.6072063967586,1713.6072063967586,left,1,0.3926619291305542,1713.6072063967586,1713.6072063967586,0.0017583519220352173,0.49085328727960587,0.74113480001688,1714.0929144844413,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s042,001,2024-09-27_10h57.32.864,simplestop_skeleton,2022.2.2,59.855481038932496,
