corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,goResp.rt,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}]","[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}]",2931.183359324932,2931.183359324932,return,5.757801808416843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
None,None,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,2936.9895983859897,2936.9895983859897,2982.042425364256,go,squareblack.png,right,0.35,2982.0655897408724,2982.0655897408724,2982.55781558156,2982.55781558156,2982.5744392722845,2982.9079972729087,2983.4087509438396,2983.5588076859713,2984.5597673505545,2984.5790396630764,None,0,2984.5790396630764,2984.5790396630764,0.002745330333709717,0.4890366569161415,0.8396083265542984,2985.078254200518,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
None,None,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,2985.0788035318255,go,squareblack.png,right,0.35,2985.0982495620847,2985.0982495620847,2985.5947134122252,2985.5947134122252,2985.6109821349382,2985.9449150264263,2986.4440071210265,2986.594022385776,2987.5952379107475,2987.612030662596,None,0,2987.612030662596,2987.612030662596,0.001326732337474823,0.48941612243652344,0.8398064970970154,2988.0966293886304,practice,1,2988.119686216116,2988.119686216116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
None,None,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,2988.0970622375607,go,circleblack.png,left,0.35,2988.119686216116,2988.119686216116,2988.6130733191967,2988.6130733191967,2988.6297318041325,2988.9632989168167,2989.4642855897546,2989.6140115708113,2990.615892753005,2990.6325624734163,None,0,2990.6325624734163,2990.6325624734163,0.007788054645061493,0.4901946932077408,0.8403989300131798,2991.1177564561367,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,2991.118212468922,stop,squareblack.png,right,0.35,2991.1375964581966,2991.1375964581966,2991.6341467276216,2991.6341467276216,2991.6509254798293,2991.98474214226,2992.485096372664,2992.6354185417295,2993.6364348456264,2993.653075195849,None,0,2993.653075195849,2993.653075195849,0.0018313080072402954,0.4903576672077179,0.8404972702264786,2994.138073079288,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
None,None,0,0,0,0,1,0,4,3,,,,,,,,,,,,,,,,,2994.1385384723544,go,circleblack.png,left,0.4,2994.1581369265914,2994.1581369265914,2994.6547973454,2994.6547973454,2994.6712875962257,2995.054989270866,2995.55407358706,2995.654137223959,2996.6552633196115,2996.6719969287515,left,1,2996.6719969287515,2996.6719969287515,0.0018392354249954224,0.4900076761841774,0.8906503692269325,2997.156953394413,practice,1,2997.174624107778,2997.174624107778,0.531284473836422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
None,None,0,0,0,0,1,1,5,3,,,,,,,,,,,,,,,,,2997.157561466098,stop,circleblack.png,left,0.4,2997.174624107778,2997.174624107778,2997.6730397567153,2997.6730397567153,2997.6897601783276,2998.0733923390508,2998.5738844275475,2998.6741989701986,2999.6758791282773,2999.6758791282773,left,1,2999.6758791282773,2999.6758791282773,0.0013392344117164612,0.48972003906965256,0.8900686651468277,3000.1609573438764,practice,1,,,0.4015009328722954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,2,6,0,,,,,,,,,,,,,,,,,3000.1614131852984,go,squareblack.png,right,0.35,3000.180899247527,3000.180899247527,3000.677404627204,3000.677404627204,3000.6944223940372,3001.0284077376127,3001.543844252825,3001.6772884353995,3002.680190369487,3002.680190369487,left,0,3002.680190369487,3002.680190369487,0.0016681775450706482,0.490351177752018,0.8411586359143257,3003.1795177534223,practice,1,,,0.32566555589437485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
None,None,0,0,0,0,1,3,7,1,,,,,,,,,,,,,,,,,3003.179966285825,go,squareblack.png,right,0.35,3003.1968949064612,3003.1968949064612,3003.6962560489774,3003.6962560489774,3003.6962560489774,3004.0464812889695,3004.5470612868667,3004.6973498612642,3005.699059173465,3005.699059173465,right,1,3005.699059173465,3005.699059173465,0.0012062638998031616,0.4902866631746292,0.8405289426445961,3006.1843417212367,practice,1,,,0.3941960707306862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
None,None,0,0,0,0,2,0,8,2,,,,,,,,,,,,,,,,,3006.184771358967,stop,circleblack.png,left,0.35,3006.20463308692,3006.20463308692,3006.7009135633707,3006.7009135633707,3006.717514939606,3007.051350861788,3007.550585024059,3007.7004385739565,3008.70194837451,3008.7184567973018,left,1,3008.7184567973018,3008.7184567973018,0.001926235854625702,0.4902060553431511,0.8403907865285873,3009.20310986042,practice,1,3009.2346218451858,3009.2346218451858,0.36188605427742004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
