corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 0,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,Test Block: 1,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}]","[{'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}]",9776.384067300707,9776.384067300707,return,2.2256605736911297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s002,001,2024-04-10_15h44.48.023,simplestop_skeleton,2022.2.2,59.9277046758086,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,9778.65573465079,9778.65573465079,9858.518536910415,stop,squareblack.png,m,0.25,9858.541468631476,9858.541468631476,9859.031248573214,9859.031248573214,9859.04776302725,9859.281362757087,9859.782222699374,9860.032454580069,9861.033801816404,9861.05157533288,m,0,1.3475949466228485,9861.05157533288,9861.05157533288,9861.560665026307,9861.560665026307,0.0030334964394569397,0.485895823687315,0.7363214790821075,9861.534986216575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s002,001,2024-04-10_15h44.48.023,simplestop_skeleton,2022.2.2,59.9277046758086,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,9861.535325165838,go,circleblack.png,z,0.2,9861.560665026307,9861.560665026307,9862.051454029977,9862.051454029977,9862.067972633988,9862.251346182078,9862.751802161336,9863.052165005356,9864.052951715887,9864.069067556411,z,0,1.3017317093908787,9864.069067556411,9864.069067556411,,,0.008147086948156357,0.4897684045135975,0.6901315525174141,9864.55468095094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s002,001,2024-04-10_15h44.48.023,simplestop_skeleton,2022.2.2,59.9277046758086,
None,None,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,9864.554993208498,go,circleblack.png,z,0.2,9864.574166011065,9864.574166011065,9865.071273893118,9865.071273893118,9865.087860468775,9865.271365832537,9865.770315323025,9866.071723461151,9867.073350585997,9867.073350585997,z,0,0.5517528243362904,9867.073350585997,9867.073350585997,9867.577892336994,9867.577892336994,0.001312755048274994,0.49021028727293015,0.6903555579483509,9867.558127701283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s002,001,2024-04-10_15h44.48.023,simplestop_skeleton,2022.2.2,59.9277046758086,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,9867.558435406536,go,squareblack.png,m,0.2,9867.577892336994,9867.577892336994,9868.074529413134,9868.074529413134,9868.09099360928,9868.274659998715,9868.773910354823,9869.074726335704,9870.076494734734,9870.09326485172,m,0,0.4013976790010929,9870.09326485172,9870.09326485172,9870.597940154374,9870.597940154374,0.0017862506210803986,0.49007925763726234,0.6901265867054462,9870.577918287367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s002,001,2024-04-10_15h44.48.023,simplestop_skeleton,2022.2.2,59.9277046758086,
None,None,0,0,0,0,1,0,4,1,,,,,,,,,,,,,,,,,9870.578230079263,stop,circleblack.png,z,0.2,9870.597940154374,9870.597940154374,9871.094498313963,9871.094498313963,9871.11124489829,9871.294514100999,9871.79501529783,9872.09556940198,9873.096921369433,9873.113466653973,z,0,0.5233173631131649,9873.113466653973,9873.113466653973,9873.618076685816,9873.618076685816,0.0019001774489879608,0.4900467023253441,0.6904440447688103,9873.598215084523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s002,001,2024-04-10_15h44.48.023,simplestop_skeleton,2022.2.2,59.9277046758086,
None,None,0,0,0,0,1,1,5,3,,,,,,,,,,,,,,,,,9873.59863166511,go,squareblack.png,m,0.15,9873.618076685816,9873.618076685816,9874.11441571638,9874.11441571638,9874.131080698222,9874.264623887837,9874.765608083457,9875.115006055683,9876.116748355329,9876.133579440415,m,0,0.5739805325865746,9876.133579440415,9876.133579440415,9876.637488726526,9876.637488726526,0.0017149001359939575,0.49017926678061485,0.6401759386062622,9876.618120372295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s002,001,2024-04-10_15h44.48.023,simplestop_skeleton,2022.2.2,59.9277046758086,
None,None,0,0,0,0,1,2,6,3,,,,,,,,,,,,,,,,,9876.618431776762,go,squareblack.png,m,0.15,9876.637488726526,9876.637488726526,9877.13469330594,9877.13469330594,9877.151246473193,9877.285007003695,9877.785243228078,9878.134032711387,9879.136554140598,9879.153293270618,m,0,0.6054847054183483,9879.153293270618,9879.153293270618,9879.658052835613,9879.658052835613,0.0011822395026683807,0.4902821369469166,0.640246570110321,9879.637994851917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s002,001,2024-04-10_15h44.48.023,simplestop_skeleton,2022.2.2,59.9277046758086,
None,None,0,0,0,0,1,3,7,3,,,,,,,,,,,,,,,,,9879.638299074024,go,circleblack.png,z,0.15,9879.658052835613,9879.658052835613,9880.15436077118,9880.15436077118,9880.170896477997,9880.304567780346,9880.803789120167,9881.154876299202,9882.156408287585,9882.173377204686,z,0,0.34604890272021294,9882.173377204686,9882.173377204686,,,0.001995190978050232,0.4899776168167591,0.6405546143651009,9882.657977875322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s002,001,2024-04-10_15h44.48.023,simplestop_skeleton,2022.2.2,59.9277046758086,
None,None,0,0,0,0,2,0,8,3,,,,,,,,,,,,,,,,,9882.658286403865,go,circleblack.png,z,0.15,9882.6775210239,9882.6775210239,9883.174441833049,9883.174441833049,9883.190995827317,9883.324496820569,9883.824992325157,9884.175025749952,9885.176729038358,9885.193184114993,z,0,0.40633494406938553,9885.193184114993,9885.193184114993,9885.697917778045,9885.697917778045,0.0012442804872989655,0.49038005620241165,0.6405338793992996,9885.67803934589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s002,001,2024-04-10_15h44.48.023,simplestop_skeleton,2022.2.2,59.9277046758086,
