thisN,thisTrialN,thisRepN,corrGoResp,shape,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,goResp.keys,goResp.corr,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,thisRow.t,notes,stopPracTrialList,Test Block: 1,start.started,welcome.started,start_exp.started,start.stopped,start_exp.keys,start_exp.rt,start_exp.duration,StimSetup.started,StimSetup.stopped,instructions.started,instrStopText.started,start_prac.started,instructions.stopped,practiceBlockSetup.started,practiceBlockSetup.stopped,practiceTrials.StartTrialTimeStamp,practiceTrials.trialType,practiceTrials.goStim,practiceTrials.correctResponse,practiceTrials.ssd,newPracticeStim.started,newPracticeStim.stopped,trial.started,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,trial.stopped,practiceTrials.goResp.keys,practiceTrials.goResp.corr,feedback.started,text.started,rules_2.started,text.stopped,rules_2.stopped,feedback.stopped,practiceTrials.fixationOnset,practiceTrials.goStimOnset,practiceTrials.stopSignalOnset,endTrial.started,endTrial.stopped,practiceTrials.EndTrialTimeStamp,practiceTrials.Phase,practiceTrials.Block,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}]","[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}]",0.009155083000223385,0.014831167000011192,0.014831167000011192,1.5015723329997854,return,1.4614650000003166,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617105,001,2025-03-11_13h11.36.597,simplestop_skeleton,2024.2.4,None,2025-03-11 13h11.41.489847 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5016291250003633,1.501863417000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617105,001,2025-03-11_13h11.36.597,simplestop_skeleton,2024.2.4,None,2025-03-11 13h11.41.489847 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5018795830001181,1.5126253750004253,1.5126253750004253,2.1953735420001976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617105,001,2025-03-11_13h11.36.597,simplestop_skeleton,2024.2.4,None,2025-03-11 13h11.41.489847 -0700,
0,0,0,$currentCorrectResponse,$currentGoStim,2.2035900829996535,stop,squareblack.png,right,0.35,None,0,0.0030103749995760154,0.4888762079999651,0.838861082999756,5.196702791999996,practice,1,0,0,0,0,0,0,0,0,2.213455750000321,,,,,,,,,,,,,,,,,2.196149792000142,2.196414832999835,2.2035900829996535,stop,squareblack.png,right,0.35,2.2036414579997654,2.204121916999611,2.2071164999997563,2.213455750000321,2.213455750000321,2.7063519169996653,2.7063519169996653,2.711637082999914,3.056483708000087,3.553136374999667,3.703095083000335,4.708335000000261,4.708335000000261,4.699853666999843,None,0,4.704614958000093,4.708335000000261,4.708335000000261,5.201210500000343,5.201210500000343,5.196313458000077,0.0030103749995760154,0.4888762079999651,0.838861082999756,5.196430457999668,5.196693416999551,5.196702791999996,practice,1,617105,001,2025-03-11_13h11.36.597,simplestop_skeleton,2024.2.4,None,2025-03-11 13h11.41.489847 -0700,
1,1,0,None,None,5.1968379580002875,stop,squareblack.png,right,0.4,None,0,0.001631041999644367,0.48792287499964004,0.8854771249998521,8.183878625000034,practice,1,0,0,0,0,0,1,1,1,5.201210500000343,,,,,,,,,,,,,,,,,,,5.1968379580002875,stop,squareblack.png,right,0.4,5.196880708000208,5.197123582999666,5.198734417000196,5.201210500000343,5.201210500000343,5.698178833000384,5.698178833000384,5.698178833000384,6.086043917000097,6.575263832999553,6.694168541999716,7.6862229999997,7.693372583000382,7.687955667000097,None,0,7.688013666999723,7.693372583000382,7.693372583000382,8.189499000000069,8.189499000000069,8.183483083000283,0.001631041999644367,0.48792287499964004,0.8854771249998521,8.183586750000359,8.183868832999906,8.183878625000034,practice,1,617105,001,2025-03-11_13h11.36.597,simplestop_skeleton,2024.2.4,None,2025-03-11 13h11.41.489847 -0700,
2,2,1,$currentCorrectResponse,$currentGoStim,8.18403245799982,go,circleblack.png,left,0.45,None,0,0.002636582999912207,0.4870739579992005,0.9402605409995886,11.180046458000106,practice,1,0,0,0,0,1,2,2,0,8.189499000000069,,,,,,,,,,,,,,,,,,,8.18403245799982,go,circleblack.png,left,0.45,8.184078000000227,8.18432945800032,8.186948083000061,8.189499000000069,8.189499000000069,8.676095666999572,8.676095666999572,8.689678333000302,9.128095166999628,9.627965624999888,9.669577042000128,10.66946787500001,10.691906791999827,10.68316991699976,None,0,10.688555208000253,10.691906791999827,10.691906791999827,11.185031375000108,11.185031375000108,11.179689292000148,0.002636582999912207,0.4870739579992005,0.9402605409995886,11.179786249999779,11.180036499999915,11.180046458000106,practice,1,617105,001,2025-03-11_13h11.36.597,simplestop_skeleton,2024.2.4,None,2025-03-11 13h11.41.489847 -0700,
3,3,0,None,None,11.180185416999848,go,squareblack.png,right,0.45,None,0,0.0024650000004839967,0.49395341699982964,0.9438330000002679,14.175074707999556,practice,1,0,0,0,0,0,3,3,2,11.185031375000108,,,,,,,,,,,,,,,,,,,11.180185416999848,go,squareblack.png,right,0.45,11.18022820799979,11.180485333000433,11.18292745800045,11.185031375000108,11.185031375000108,11.6782249580001,11.6782249580001,11.6782249580001,12.127907375000177,12.616947542000162,12.677469833000032,13.673110749999978,13.67821479200029,13.674761041999773,None,0,13.674821249999695,13.67821479200029,13.67821479200029,14.180221249999704,14.180221249999704,14.174725457999557,0.0024650000004839967,0.49395341699982964,0.9438330000002679,14.17481725000016,14.175065999999788,14.175074707999556,practice,1,617105,001,2025-03-11_13h11.36.597,simplestop_skeleton,2024.2.4,None,2025-03-11 13h11.41.489847 -0700,
4,4,2,$currentCorrectResponse,$currentGoStim,14.175202291999994,go,circleblack.png,left,0.45,None,0,0.002297166000062134,0.49069329099984316,0.9371127499998693,17.163489333000143,practice,1,0,0,0,0,2,4,4,0,14.180221249999704,,,,,,,,,,,,,,,,,,,14.175202291999994,go,circleblack.png,left,0.45,14.175240624999788,14.17546024999956,14.177744374999747,14.180221249999704,14.180221249999704,14.669890500000292,14.669890500000292,14.669890500000292,15.117090749999988,15.608717707999858,15.660862499999894,16.661225625000043,16.678069708000294,16.674786167000093,None,0,16.67483770800027,16.678069708000294,16.678069708000294,17.167935874999785,17.167935874999785,17.16316587500023,0.002297166000062134,0.49069329099984316,0.9371127499998693,17.163224457999604,17.163480457999867,17.163489333000143,practice,1,617105,001,2025-03-11_13h11.36.597,simplestop_skeleton,2024.2.4,None,2025-03-11 13h11.41.489847 -0700,
5,5,0,None,None,17.163616458000433,go,circleblack.png,left,0.45,None,0,0.001944583000295097,0.48544037500050763,0.9439904580003713,20.15025795800011,practice,1,0,0,0,0,0,5,5,3,17.167935874999785,,,,,,,,,,,,,,,,,,,17.163616458000433,go,circleblack.png,left,0.45,17.163654250000036,17.163869042000442,17.165797042000122,17.167935874999785,17.167935874999785,17.65296295799999,17.65296295799999,17.658866832999593,18.11168620799981,18.600804708000396,18.644811541999843,19.642031874999702,19.661561332999554,19.658056999999644,None,0,19.65810183299982,19.661561332999554,19.661561332999554,20.155202541999643,20.155202541999643,20.149921000000177,0.001944583000295097,0.48544037500050763,0.9439904580003713,20.150002291999954,20.15024783300032,20.15025795800011,practice,1,617105,001,2025-03-11_13h11.36.597,simplestop_skeleton,2024.2.4,None,2025-03-11 13h11.41.489847 -0700,
6,6,1,None,None,20.15039125000021,go,squareblack.png,right,0.45,None,0,0.0021964580000712886,0.4868797499993889,0.9404244580000523,23.142148042000372,practice,1,0,0,0,0,1,6,6,1,20.155202541999643,,,,,,,,,,,,,,,,,,,20.15039125000021,go,squareblack.png,right,0.45,20.15043095799956,20.15064262499982,20.15282366700012,20.155202541999643,20.155202541999643,20.642172832999677,20.642172832999677,20.656548124999972,21.094735208000202,21.583561792000182,21.633486249999805,22.635665124999832,22.65315974999976,22.649763708000137,None,0,22.64981095799976,22.65315974999976,22.65315974999976,23.147289792000265,23.147289792000265,23.14178449999963,0.0021964580000712886,0.4868797499993889,0.9404244580000523,23.141862749999746,23.14213783299965,23.142148042000372,practice,1,617105,001,2025-03-11_13h11.36.597,simplestop_skeleton,2024.2.4,None,2025-03-11 13h11.41.489847 -0700,
