thisN,thisTrialN,thisRepN,corrGoResp,shape,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,goResp.keys,goResp.corr,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,thisRow.t,notes,stopPracTrialList,Test Block: 1,start.started,welcome.started,start_exp.started,start.stopped,start_exp.keys,start_exp.rt,start_exp.duration,StimSetup.started,StimSetup.stopped,instructions.started,instrStopText.started,start_prac.started,instructions.stopped,practiceBlockSetup.started,practiceBlockSetup.stopped,practiceTrials.StartTrialTimeStamp,practiceTrials.trialType,practiceTrials.goStim,practiceTrials.correctResponse,practiceTrials.ssd,newPracticeStim.started,newPracticeStim.stopped,trial.started,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,trial.stopped,practiceTrials.goResp.keys,practiceTrials.goResp.corr,feedback.started,text.started,rules_2.started,feedback.stopped,practiceTrials.fixationOnset,practiceTrials.goStimOnset,practiceTrials.stopSignalOnset,endTrial.started,endTrial.stopped,practiceTrials.EndTrialTimeStamp,practiceTrials.Phase,practiceTrials.Block,text.stopped,rules_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}]","[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}]",0.008714874999895983,0.014033667000148853,0.014033667000148853,1.367843209000057,return,1.3483031250002568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800886,001,2025-03-13_10h25.49.396,simplestop_skeleton,2024.2.4,None,2025-03-13 10h25.54.011469 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3678871669999353,1.368113834000269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800886,001,2025-03-13_10h25.49.396,simplestop_skeleton,2024.2.4,None,2025-03-13 10h25.54.011469 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3681292500000382,1.3727015419999589,1.3727015419999589,2.149007250000068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800886,001,2025-03-13_10h25.49.396,simplestop_skeleton,2024.2.4,None,2025-03-13 10h25.54.011469 -0700,
0,0,0,None,None,2.1569594590000634,go,squareblack.png,right,0.35,None,0,0.0027048329998251575,0.4877304159999767,0.8375816660000055,5.170746834000056,practice,1,0,0,0,0,0,0,0,1,2.1663572500001465,,,,,,,,,,,,,,,,,2.1495257920000768,2.149876709000182,2.1569594590000634,go,squareblack.png,right,0.35,2.1570163750002393,2.1574977089999265,2.160189583999909,2.1663572500001465,2.1663572500001465,2.6502439999999297,2.6502439999999297,2.6553791670003193,2.999012292000316,3.510490459000266,3.65197845900002,4.648078167000222,4.673545209000167,4.662198167000042,None,0,4.669558417000189,4.673545209000167,4.673545209000167,5.1703156250000575,0.0027048329998251575,0.4877304159999767,0.8375816660000055,5.170421167000313,5.170735583999885,5.170746834000056,practice,1,,,800886,001,2025-03-13_10h25.49.396,simplestop_skeleton,2024.2.4,None,2025-03-13 10h25.54.011469 -0700,
1,1,1,None,None,5.170889709000221,go,circleblack.png,left,0.35,None,0,0.002214459000242641,0.4873715420003464,0.8345517920001839,8.16247204199999,practice,1,0,0,0,0,1,1,1,1,5.175851334000072,,,,,,,,,,,,,,,,,,,5.170889709000221,go,circleblack.png,left,0.35,5.17094249999991,5.171133374999954,5.173331792000226,5.175851334000072,5.175851334000072,5.662456584000211,5.662456584000211,5.67697225000029,6.018245708999984,6.515240000000176,6.654263459000049,7.660367709000184,7.665931625000212,7.662403333999919,None,0,7.662464167000053,7.665931625000212,7.665931625000212,8.162182459000178,0.002214459000242641,0.4873715420003464,0.8345517920001839,8.162251917000049,8.162462333999883,8.16247204199999,practice,1,8.166906875000222,8.166906875000222,800886,001,2025-03-13_10h25.49.396,simplestop_skeleton,2024.2.4,None,2025-03-13 10h25.54.011469 -0700,
2,2,0,None,None,8.162599209000291,go,circleblack.png,left,0.35,None,0,0.001617833000182145,0.49071195800024725,0.8405734580001081,11.145685041999968,practice,1,0,0,0,0,0,2,2,3,8.166906875000222,,,,,,,,,,,,,,,,,,,8.162599209000291,go,circleblack.png,left,0.35,8.162647500000276,8.162867875000302,8.164472334000038,8.166906875000222,8.166906875000222,8.657220584000243,8.657220584000243,8.657220584000243,9.007138667000163,9.49560058399993,9.648218709000048,10.652028334000079,10.657406249999894,10.6539361250002,None,0,10.65399083400007,10.657406249999894,10.657406249999894,11.145408667000083,0.001617833000182145,0.49071195800024725,0.8405734580001081,11.145474917000229,11.145675499999925,11.145685041999968,practice,1,11.150557875000231,11.150557875000231,800886,001,2025-03-13_10h25.49.396,simplestop_skeleton,2024.2.4,None,2025-03-13 10h25.54.011469 -0700,
3,3,0,None,None,11.145807500000046,stop,squareblack.png,right,0.35,None,0,0.0019326249998812273,0.4869792919998872,0.8372847499999807,14.137720833999992,practice,1,0,0,0,0,0,3,3,2,11.150557875000231,,,,,,,,,,,,,,,,,,,11.145807500000046,stop,squareblack.png,right,0.35,11.145856999999978,11.146107792000294,11.148026166999898,11.150557875000231,11.150557875000231,11.637812334000046,11.637812334000046,11.651993417000085,11.98749399999997,12.479135958999905,12.631646792000083,13.635333209000237,13.643109584000285,13.637137042000177,None,0,13.640106291999928,13.643109584000285,13.643109584000285,14.137361916999907,0.0019326249998812273,0.4869792919998872,0.8372847499999807,14.137456834000204,14.137710834000245,14.137720833999992,practice,1,14.142715667000175,14.142715667000175,800886,001,2025-03-13_10h25.49.396,simplestop_skeleton,2024.2.4,None,2025-03-13 10h25.54.011469 -0700,
4,4,0,$currentCorrectResponse,$currentGoStim,14.137852792000103,stop,circleblack.png,left,0.4,None,0,0.0022092499998507265,0.49043624999967506,0.8904924169996775,17.137404792000325,practice,1,0,0,0,0,0,4,4,0,14.142715667000175,,,,,,,,,,,,,,,,,,,14.137852792000103,stop,circleblack.png,left,0.4,14.137903542000004,14.138121167000008,14.140316750000238,14.142715667000175,14.142715667000175,14.632138834000216,14.632138834000216,14.632138834000216,15.032214000000295,15.523256834000222,15.62164570899995,16.623041667000052,16.64076683400026,16.63730858400004,None,0,16.637379250000322,16.64076683400026,16.64076683400026,17.13713854200023,0.0022092499998507265,0.49043624999967506,0.8904924169996775,17.137211666999974,17.137394875000155,17.137404792000325,practice,1,17.142331834000288,17.142331834000288,800886,001,2025-03-13_10h25.49.396,simplestop_skeleton,2024.2.4,None,2025-03-13 10h25.54.011469 -0700,
5,5,1,$currentCorrectResponse,$currentGoStim,17.137537042000076,go,squareblack.png,right,0.45,None,0,0.0020411249997778214,0.4852381669998067,0.9350752499999544,20.12277162500004,practice,1,0,0,0,0,1,5,5,0,17.142331834000288,,,,,,,,,,,,,,,,,,,17.137537042000076,go,squareblack.png,right,0.45,17.137587791999977,17.13782108400028,17.139848709000034,17.142331834000288,17.142331834000288,17.63533550000011,17.63533550000011,17.640846250000322,18.085393208999903,18.585360084000058,18.62324029199999,19.6340163750001,19.6340163750001,19.62883416700015,None,0,19.630564958999912,19.6340163750001,19.6340163750001,20.122463125000195,0.0020411249997778214,0.4852381669998067,0.9350752499999544,20.122516917000212,20.122761667000304,20.12277162500004,practice,1,20.13544150000007,20.13544150000007,800886,001,2025-03-13_10h25.49.396,simplestop_skeleton,2024.2.4,None,2025-03-13 10h25.54.011469 -0700,
6,6,1,None,None,20.122886708999886,go,squareblack.png,right,0.45,None,0,0.0014365410002028511,0.4886597909999182,0.9469662500000595,23.129355709000265,practice,1,0,0,0,0,1,6,6,2,20.13544150000007,,,,,,,,,,,,,,,,,,,20.122886708999886,go,squareblack.png,right,0.45,20.122932209000282,20.123175875000015,20.12460137500011,20.13544150000007,20.13544150000007,20.615211458999966,20.615211458999966,20.6353787500002,21.07380404200012,21.565230666999923,21.614897750000182,22.614769209000315,22.632314709000184,22.629028625000046,None,0,22.629075374999957,22.632314709000184,22.632314709000184,23.12904495900011,0.0014365410002028511,0.4886597909999182,0.9469662500000595,23.12913137500027,23.129345959000148,23.129355709000265,practice,1,23.13430016700022,23.13430016700022,800886,001,2025-03-13_10h25.49.396,simplestop_skeleton,2024.2.4,None,2025-03-13 10h25.54.011469 -0700,
