subject,0-100ms,100-200ms,200-300ms,300-400ms,400-500ms,500-600ms,600-700ms,700-800ms,800-900ms,900-1000ms,1000-1100ms,1100-1200ms,1200-1300ms,1300-1400ms,1400-1500ms,1500-1600ms,1600-1700ms,1700-1800ms,1800-1900ms,1900-2000ms,2000-2100ms,2100-2200ms,2200-2300ms,2300-2400ms,2400-2500ms,2500-2600ms,2600-2700ms,2700-2800ms,2800-2900ms,2900-3000ms,3000-3100ms,3100-3200ms,3200-3300ms,3300-3400ms,3400-3500ms,3500-3600ms,3600-3700ms,3700-3800ms,3800-3900ms,3900-4000ms,4000-4100ms,4100-4200ms,4200-4300ms,4300-4400ms,4400-4500ms,4500-4600ms,4600-4700ms,4700-4800ms,4800-4900ms
s004,0.15,0.3375,0.475,0.6125,0.875,0.95,0.925,0.8125,0.8,0.775,0.7875,0.8125,0.8125,0.7875,0.8,0.8125,0.85,0.9,0.9125,0.95,0.925,0.9342105263157895,0.9545454545454546,0.9298245614035088,0.9347826086956522,0.975,0.9714285714285714,0.96875,0.9615384615384616,1.0,0.9411764705882353,0.9285714285714286,0.9285714285714286,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,
s005,0.45,0.6875,0.7875,0.9375,0.9125,0.8625,0.8375,0.85,0.8625,0.85,0.8125,0.75,0.7375,0.7375,0.7,0.65,0.65,0.625,0.675,0.6875,0.6582278481012658,0.6805555555555556,0.640625,0.6140350877192983,0.5961538461538461,0.5,0.5227272727272727,0.5789473684210527,0.6363636363636364,0.6333333333333333,0.6666666666666666,0.7307692307692307,0.5789473684210527,0.6666666666666666,0.6470588235294118,0.625,0.6363636363636364,0.7272727272727273,0.6666666666666666,0.5714285714285714,0.8333333333333334,0.8333333333333334,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
s006,0.8875,0.9875,0.9875,0.9875,0.9875,0.9875,1.0,1.0,1.0,1.0,1.0,0.9875,0.975,0.9625,0.9375,0.9375,0.925,0.8375,0.825,0.7875,0.7468354430379747,0.7733333333333333,0.8484848484848485,0.7719298245614035,0.7454545454545455,0.7254901960784313,0.7391304347826086,0.6444444444444445,0.7317073170731707,0.6944444444444444,0.6388888888888888,0.59375,0.6,0.6785714285714286,0.7307692307692307,0.76,0.7727272727272727,0.7368421052631579,0.8666666666666667,0.8333333333333334,0.8888888888888888,0.8571428571428571,0.8333333333333334,0.8333333333333334,0.75,0.75,0.6666666666666666,0.6666666666666666,1.0
s007,0.45,0.5875,0.725,0.775,0.8,0.7875,0.7375,0.6625,0.65,0.5625,0.6,0.625,0.6625,0.7125,0.7375,0.7625,0.7875,0.7875,0.775,0.825,0.85,0.8472222222222222,0.8955223880597015,0.847457627118644,0.8367346938775511,0.8048780487804879,0.7567567567567568,0.7272727272727273,0.7586206896551724,0.8,0.875,0.7894736842105263,0.75,0.6666666666666666,0.6666666666666666,0.6,0.7777777777777778,0.6666666666666666,0.8,0.75,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
s008,0.2625,0.5,0.775,0.925,0.975,0.9625,0.9375,0.9,0.9,0.9,0.9125,0.9125,0.9,0.875,0.85,0.85,0.8375,0.8375,0.8375,0.8125,0.775,0.7702702702702703,0.782608695652174,0.7540983606557377,0.7636363636363637,0.7291666666666666,0.7560975609756098,0.7297297297297297,0.7647058823529411,0.7096774193548387,0.6785714285714286,0.56,0.5714285714285714,0.5882352941176471,0.6,0.6,0.6153846153846154,0.5454545454545454,0.75,0.8333333333333334,0.8333333333333334,0.8,0.6,0.75,0.6666666666666666,1.0,1.0,1.0,
s009,0.1,0.225,0.4375,0.8625,0.9875,1.0,0.975,0.85,0.7375,0.7375,0.8125,0.8625,0.8125,0.8375,0.875,0.8,0.8375,0.875,0.925,0.925,0.95,0.9459459459459459,0.8805970149253731,0.8448275862068966,0.8627450980392157,0.9183673469387755,0.9555555555555556,0.9512195121951219,0.9473684210526315,0.9411764705882353,0.9375,0.9285714285714286,0.88,0.9166666666666666,0.95,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.7777777777777778,1.0,1.0,0.6,0.75,1.0,1.0,1.0,1.0,
s010,0.425,0.7625,0.8875,0.95,0.925,0.8,0.6125,0.45,0.625,0.675,0.725,0.725,0.6625,0.65,0.6875,0.7375,0.7875,0.825,0.8,0.7375,0.6875,0.7361111111111112,0.7846153846153846,0.7627118644067796,0.7272727272727273,0.7,0.6521739130434783,0.5897435897435898,0.6666666666666666,0.7,0.64,0.782608695652174,0.7272727272727273,0.5263157894736842,0.5294117647058824,0.5882352941176471,0.7857142857142857,0.7142857142857143,0.5555555555555556,0.5,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0
s011,0.2375,0.65,0.8,0.825,0.8,0.7375,0.6625,0.625,0.6125,0.65,0.6375,0.625,0.6125,0.5875,0.575,0.6,0.5875,0.5625,0.5875,0.6625,0.6962025316455697,0.726027397260274,0.7014925373134329,0.7377049180327869,0.7142857142857143,0.7254901960784313,0.6590909090909091,0.6904761904761905,0.631578947368421,0.6571428571428571,0.6,0.5925925925925926,0.6666666666666666,0.6521739130434783,0.7368421052631579,0.8235294117647058,0.8,0.6428571428571429,0.5833333333333334,0.6,0.5,0.7142857142857143,0.7142857142857143,0.6,0.8,0.75,0.6666666666666666,1.0,1.0
s012,0.25,0.475,0.6875,0.775,0.7875,0.75,0.65,0.65,0.5875,0.5875,0.6375,0.675,0.65,0.675,0.65,0.65,0.65,0.7,0.725,0.7375,0.75,0.7866666666666666,0.782608695652174,0.8,0.7857142857142857,0.7692307692307693,0.7608695652173914,0.7954545454545454,0.7894736842105263,0.7878787878787878,0.8064516129032258,0.7777777777777778,0.75,0.7391304347826086,0.7619047619047619,0.7647058823529411,0.75,0.6428571428571429,0.5454545454545454,0.6,0.5555555555555556,0.8571428571428571,1.0,0.6666666666666666,1.0,0.5,0.5,,
s013,0.475,0.55,0.55,0.7375,0.7875,0.8,0.675,0.6375,0.625,0.65,0.75,0.75,0.725,0.8125,0.7875,0.8375,0.875,0.8375,0.8875,0.9125,0.8875,0.8513513513513513,0.8307692307692308,0.8387096774193549,0.8305084745762712,0.86,0.8837209302325582,0.875,0.8571428571428571,0.7741935483870968,0.9285714285714286,0.9090909090909091,0.9473684210526315,0.8888888888888888,0.9333333333333333,0.9090909090909091,0.8181818181818182,0.9,0.875,1.0,1.0,1.0,1.0,1.0,,,,,
s014,0.1,0.3,0.5625,0.8875,0.9875,1.0,1.0,1.0,0.9875,0.9875,0.9875,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9787234042553191,0.9743589743589743,0.9411764705882353,0.90625,0.9629629629629629,0.92,0.9047619047619048,0.8947368421052632,0.9444444444444444,1.0,0.9285714285714286,0.8571428571428571,0.8571428571428571,0.8,0.7142857142857143,0.8571428571428571,0.8333333333333334,0.8333333333333334,0.6,0.75,0.75,1.0,
s015,0.775,0.775,0.8,0.7625,0.8375,0.7875,0.8125,0.9,0.925,0.95,0.8875,0.85,0.8625,0.9,0.875,0.875,0.9,0.925,0.9,0.85,0.9,0.9027777777777778,0.8,0.8113207547169812,0.9215686274509803,0.9347826086956522,0.9534883720930233,0.9473684210526315,0.9117647058823529,0.9333333333333333,0.9285714285714286,0.8846153846153846,1.0,1.0,0.9411764705882353,0.9333333333333333,0.8666666666666667,0.9090909090909091,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,0.0,0.0
s016,0.3,0.5625,0.65,0.8875,0.975,0.975,0.9625,0.95,0.925,0.9375,0.925,0.9125,0.9375,0.95,0.9375,0.95,0.9375,0.95,0.925,0.9125,0.925,0.9473684210526315,0.9508196721311475,0.9444444444444444,0.8695652173913043,0.8809523809523809,0.9285714285714286,0.8857142857142857,0.9,0.8928571428571429,0.9166666666666666,0.9473684210526315,0.9411764705882353,0.9285714285714286,0.7272727272727273,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0
s017,0.375,0.5625,0.6875,0.9,0.95,0.975,0.975,0.975,0.9625,0.95,0.9375,0.85,0.8,0.8125,0.7875,0.7625,0.8125,0.7875,0.7875,0.75,0.7875,0.782608695652174,0.828125,0.8421052631578947,0.8846153846153846,0.8,0.7804878048780488,0.8717948717948718,0.8947368421052632,0.8823529411764706,0.90625,0.8620689655172413,0.8076923076923077,0.7894736842105263,0.8125,0.7692307692307693,0.9,0.8888888888888888,0.875,0.75,0.625,0.5714285714285714,0.5714285714285714,0.5,0.5,0.4,0.6666666666666666,0.6666666666666666,1.0
s018,0.275,0.4375,0.525,0.725,0.875,0.95,0.925,0.8875,0.925,0.8625,0.825,0.8,0.7625,0.75,0.7125,0.725,0.725,0.725,0.7375,0.7625,0.7625,0.7714285714285715,0.796875,0.8,0.7884615384615384,0.7872340425531915,0.8292682926829268,0.8157894736842105,0.8857142857142857,0.8709677419354839,0.88,0.9090909090909091,0.9047619047619048,0.8947368421052632,0.8888888888888888,0.8571428571428571,0.8461538461538461,0.8333333333333334,0.6666666666666666,0.7,0.625,0.8,0.8,1.0,1.0,1.0,1.0,,
s019,0.5125,0.625,0.725,0.725,0.7625,0.75,0.75,0.7125,0.6625,0.7,0.7625,0.775,0.8125,0.775,0.7375,0.7375,0.75,0.75,0.725,0.7125,0.7625,0.7397260273972602,0.734375,0.7540983606557377,0.7678571428571429,0.84,0.6976744186046512,0.7380952380952381,0.8157894736842105,0.8181818181818182,0.8484848484848485,0.84375,0.8461538461538461,0.8695652173913043,0.85,0.9375,0.9285714285714286,0.8461538461538461,0.9166666666666666,0.8333333333333334,0.8181818181818182,0.6666666666666666,0.5555555555555556,0.5714285714285714,0.5,0.5,0.0,,
s020,0.175,0.2875,0.3125,0.325,0.4,0.55,0.675,0.725,0.7625,0.75,0.7625,0.7875,0.825,0.825,0.8375,0.85,0.825,0.8,0.8125,0.8,0.8125,0.8533333333333334,0.8181818181818182,0.8524590163934426,0.8421052631578947,0.9375,0.926829268292683,0.9210526315789473,0.9117647058823529,0.9032258064516129,0.9032258064516129,0.9310344827586207,0.896551724137931,0.8333333333333334,0.8,0.7647058823529411,0.8,0.8666666666666667,0.9230769230769231,0.8333333333333334,0.8181818181818182,0.8,0.6666666666666666,0.6666666666666666,1.0,,,,
s021,0.625,0.75,0.8,0.7625,0.7625,0.7375,0.7375,0.7125,0.65,0.6625,0.825,0.8125,0.7625,0.8,0.825,0.8375,0.8125,0.8125,0.825,0.8125,0.8,0.7702702702702703,0.78125,0.7580645161290323,0.7288135593220338,0.7254901960784313,0.7142857142857143,0.7333333333333333,0.75,0.7352941176470589,0.8275862068965517,0.8076923076923077,0.7391304347826086,0.7894736842105263,0.7647058823529411,0.8125,0.6666666666666666,0.6363636363636364,0.6,0.625,0.6666666666666666,0.6,0.75,1.0,1.0,1.0,1.0,1.0,
s022,0.3625,0.5125,0.6,0.6875,0.7875,0.775,0.6875,0.6375,0.625,0.6625,0.65,0.6625,0.6375,0.6375,0.5625,0.6125,0.625,0.5875,0.6375,0.65,0.65,0.6986301369863014,0.6818181818181818,0.7333333333333333,0.6964285714285714,0.7708333333333334,0.7380952380952381,0.7,0.6944444444444444,0.6451612903225806,0.5862068965517241,0.5833333333333334,0.6086956521739131,0.6111111111111112,0.6,0.5714285714285714,0.5,0.46153846153846156,0.5833333333333334,0.4,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,1.0,1.0
s023,0.3625,0.525,0.6,0.575,0.6375,0.8375,0.875,0.825,0.8875,0.9125,0.875,0.8875,0.925,0.8625,0.8875,0.9,0.925,0.925,0.9125,0.9,0.9,0.9436619718309859,0.9375,0.8983050847457628,0.9148936170212766,0.9285714285714286,0.8285714285714286,0.78125,0.7931034482758621,0.8461538461538461,0.9166666666666666,0.8571428571428571,0.9047619047619048,0.85,0.8333333333333334,0.8235294117647058,1.0,1.0,0.8333333333333334,0.8,0.6,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
s024,0.4875,0.675,0.7125,0.6875,0.7,0.675,0.6625,0.6375,0.6125,0.575,0.55,0.475,0.4625,0.3875,0.3625,0.3625,0.375,0.375,0.4,0.475,0.55,0.5633802816901409,0.546875,0.5689655172413793,0.5454545454545454,0.6,0.6041666666666666,0.5581395348837209,0.6216216216216216,0.5625,0.6206896551724138,0.56,0.5833333333333334,0.6363636363636364,0.631578947368421,0.6666666666666666,0.7142857142857143,0.7272727272727273,0.8181818181818182,0.9,0.8,0.8,0.8,0.8,0.875,0.6666666666666666,0.6666666666666666,1.0,1.0
s025,0.4125,0.6,0.7125,0.75,0.8,0.875,0.875,0.85,0.75,0.675,0.6375,0.6875,0.6375,0.7125,0.7875,0.8375,0.85,0.9,0.925,0.9125,0.8625,0.8783783783783784,0.8615384615384616,0.8448275862068966,0.9038461538461539,0.9148936170212766,0.926829268292683,0.8333333333333334,0.8,0.75,0.7333333333333333,0.625,0.6956521739130435,0.8095238095238095,0.9444444444444444,0.9375,0.9090909090909091,0.9090909090909091,0.8181818181818182,0.8181818181818182,0.9,0.875,0.8333333333333334,0.6,0.6,0.75,1.0,1.0,1.0
s026,0.55,0.7125,0.8,0.8125,0.75,0.675,0.5875,0.575,0.525,0.525,0.55,0.6375,0.7,0.7125,0.7125,0.7375,0.7375,0.7625,0.7125,0.7,0.7375,0.6901408450704225,0.6666666666666666,0.6451612903225806,0.6842105263157895,0.6964285714285714,0.7115384615384616,0.7608695652173914,0.7317073170731707,0.75,0.6785714285714286,0.4782608695652174,0.42105263157894735,0.3888888888888889,0.47058823529411764,0.5,0.36363636363636365,0.45454545454545453,0.5454545454545454,0.7272727272727273,0.875,0.8571428571428571,0.6666666666666666,0.75,0.5,1.0,0.6666666666666666,0.5,1.0
s027,0.4625,0.5875,0.65,0.7125,0.675,0.5875,0.5375,0.6125,0.6375,0.7,0.6875,0.6625,0.6625,0.65,0.6,0.65,0.6375,0.6375,0.6125,0.6125,0.575,0.5151515151515151,0.484375,0.5,0.5714285714285714,0.6086956521739131,0.6428571428571429,0.5714285714285714,0.5,0.34615384615384615,0.2608695652173913,0.35,0.3125,0.42857142857142855,0.5454545454545454,0.7777777777777778,0.625,0.6666666666666666,0.75,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,1.0
s028,0.4375,0.6625,0.8125,0.875,0.75,0.6125,0.5625,0.5875,0.625,0.6375,0.725,0.625,0.6875,0.7625,0.7625,0.675,0.7,0.725,0.775,0.775,0.8,0.782608695652174,0.7868852459016393,0.8070175438596491,0.82,0.8085106382978723,0.7857142857142857,0.8108108108108109,0.8823529411764706,0.8666666666666667,0.8846153846153846,0.85,0.8888888888888888,0.8571428571428571,0.8333333333333334,0.9090909090909091,0.9,0.9,0.8888888888888888,0.875,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.5,0.5,1.0,
