subject,0-100ms,100-200ms,200-300ms,300-400ms,400-500ms,500-600ms,600-700ms,700-800ms,800-900ms,900-1000ms,1000-1100ms,1100-1200ms,1200-1300ms,1300-1400ms,1400-1500ms,1500-1600ms,1600-1700ms,1700-1800ms,1800-1900ms,1900-2000ms,2000-2100ms,2100-2200ms,2200-2300ms,2300-2400ms,2400-2500ms,2500-2600ms,2600-2700ms,2700-2800ms,2800-2900ms,2900-3000ms,3000-3100ms,3100-3200ms,3200-3300ms,3300-3400ms,3400-3500ms,3500-3600ms,3600-3700ms,3700-3800ms,3800-3900ms,3900-4000ms,4000-4100ms,4100-4200ms,4200-4300ms,4300-4400ms,4400-4500ms,4500-4600ms,4600-4700ms,4700-4800ms,4800-4900ms
s004,0.2,0.4,0.55,0.55,0.9,0.95,0.85,0.75,0.75,0.75,0.8,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.95,0.9,0.9,0.9411764705882353,0.9375,1.0,0.8461538461538461,0.8333333333333334,0.8181818181818182,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,
s005,0.4,0.55,0.8,1.0,1.0,1.0,0.9,0.9,0.85,0.7,0.55,0.55,0.55,0.6,0.7,0.75,0.75,0.75,0.8,0.75,0.8,0.8235294117647058,0.8125,0.8333333333333334,0.8888888888888888,0.875,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.0,0.0,,,,,,,,,
s006,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.95,0.9,0.7,0.55,0.6,0.65,0.6,0.7,0.7333333333333333,0.7333333333333333,0.7692307692307693,0.7692307692307693,1.0,0.9166666666666666,1.0,0.9,0.8,0.7777777777777778,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
s007,0.25,0.6,0.75,0.8,0.85,0.85,0.85,0.9,0.85,0.8,0.75,0.8,0.65,0.6,0.7,0.7,0.7,0.75,0.85,0.85,0.8,0.7894736842105263,0.8421052631578947,0.8125,0.6428571428571429,0.6923076923076923,0.6363636363636364,0.625,0.5,0.5,0.3333333333333333,0.5,0.8,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
s008,0.4,0.8,0.95,1.0,1.0,0.95,0.95,0.95,0.9,0.95,0.95,0.85,0.85,0.85,0.8,0.8,0.85,0.8,0.85,0.85,0.8,0.7647058823529411,0.6666666666666666,0.6153846153846154,0.5,0.6,0.6,0.5,0.375,0.16666666666666666,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
s009,0.2,0.4,0.45,0.75,0.95,0.95,0.95,0.8,0.6,0.7,0.85,0.9,1.0,1.0,0.95,0.85,0.9,0.95,0.95,1.0,0.9,0.8888888888888888,1.0,1.0,0.9230769230769231,0.9166666666666666,1.0,0.8,0.7777777777777778,1.0,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.8,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0
s010,0.35,0.8,0.85,1.0,1.0,0.9,0.65,0.55,0.5,0.75,0.8,0.7,0.6,0.55,0.5,0.7,0.85,0.8,0.9,0.95,0.8,0.75,0.8461538461538461,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7,0.6666666666666666,0.8888888888888888,1.0,0.6,0.6,0.8,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.5,0.5,0.5,1.0,,,,
s011,0.35,0.55,0.55,0.7,0.55,0.5,0.6,0.6,0.55,0.7,0.85,0.85,0.85,0.8,0.85,0.85,0.75,0.65,0.55,0.6,0.7,0.6470588235294118,0.6875,0.7333333333333333,0.7142857142857143,0.7692307692307693,0.7692307692307693,0.6666666666666666,0.7272727272727273,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.2,0.3,0.25,0.2857142857142857,0.3333333333333333,0.4,0.4,0.4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,,,,
s012,0.15,0.6,0.75,0.8,0.7,0.55,0.45,0.5,0.5,0.55,0.65,0.7,0.75,0.75,0.75,0.7,0.8,0.8,0.75,0.75,0.75,0.8235294117647058,0.8125,0.8571428571428571,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,,,,
s013,0.5,0.6,0.6,0.7,0.7,0.65,0.65,0.6,0.6,0.65,0.75,0.85,0.85,0.85,0.75,0.75,0.8,0.8,0.9,0.9,0.95,0.9444444444444444,0.9411764705882353,0.9411764705882353,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.7272727272727273,0.8181818181818182,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
