subject,0-100ms,100-200ms,200-300ms,300-400ms,400-500ms,500-600ms,600-700ms,700-800ms,800-900ms,900-1000ms,1000-1100ms,1100-1200ms,1200-1300ms,1300-1400ms,1400-1500ms,1500-1600ms,1600-1700ms,1700-1800ms,1800-1900ms,1900-2000ms,2000-2100ms,2100-2200ms,2200-2300ms,2300-2400ms,2400-2500ms,2500-2600ms,2600-2700ms,2700-2800ms,2800-2900ms,2900-3000ms,3000-3100ms,3100-3200ms,3200-3300ms,3300-3400ms,3400-3500ms,3500-3600ms,3600-3700ms,3700-3800ms,3800-3900ms,3900-4000ms,4000-4100ms,4100-4200ms,4200-4300ms,4300-4400ms,4400-4500ms,4500-4600ms,4600-4700ms,4700-4800ms,4800-4900ms
s004,0.1,0.18,0.32,0.46,0.81,0.92,0.94,0.92,0.9,0.88,0.93,0.93,0.95,0.95,0.93,0.94,0.92,0.95,0.95,0.94,0.9393939393939394,0.9666666666666667,0.9625,0.9605263157894737,0.9692307692307692,0.9655172413793104,0.9183673469387755,0.9318181818181818,0.9512195121951219,0.9714285714285714,0.9696969696969697,0.9666666666666667,0.9629629629629629,0.9166666666666666,0.8636363636363636,0.8947368421052632,0.8823529411764706,0.9166666666666666,0.8181818181818182,0.9,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,,
s005,0.76,0.78,0.8,0.78,0.71,0.59,0.59,0.61,0.62,0.63,0.59,0.59,0.58,0.58,0.52,0.51,0.52,0.49,0.49,0.47,0.48484848484848486,0.48863636363636365,0.4675324675324675,0.43478260869565216,0.4032258064516129,0.4528301886792453,0.4489795918367347,0.5,0.5526315789473685,0.5151515151515151,0.5,0.48148148148148145,0.6818181818181818,0.75,0.7142857142857143,0.4,0.4444444444444444,0.375,0.625,0.625,0.5714285714285714,0.25,0.6666666666666666,1.0,1.0,,,,
s006,0.76,0.94,0.96,0.99,1.0,0.99,0.98,0.94,0.94,0.9,0.8,0.72,0.67,0.57,0.49,0.52,0.52,0.54,0.57,0.62,0.65,0.6630434782608695,0.6585365853658537,0.7051282051282052,0.7183098591549296,0.71875,0.7068965517241379,0.72,0.7333333333333333,0.7380952380952381,0.7297297297297297,0.6774193548387096,0.7037037037037037,0.7391304347826086,0.8,0.8125,0.6666666666666666,0.7142857142857143,0.7272727272727273,0.625,0.625,0.75,0.5,0.5,0.5,0.6666666666666666,0.0,0.0,
s007,0.27,0.38,0.48,0.47,0.5,0.46,0.52,0.58,0.57,0.64,0.68,0.68,0.71,0.71,0.81,0.8,0.8,0.8,0.81,0.82,0.83,0.8602150537634409,0.8352941176470589,0.8133333333333334,0.7887323943661971,0.7758620689655172,0.7959183673469388,0.7804878048780488,0.8055555555555556,0.8333333333333334,0.8235294117647058,0.8484848484848485,0.8064516129032258,0.8076923076923077,0.75,0.7142857142857143,0.7777777777777778,0.6666666666666666,0.7142857142857143,0.6923076923076923,0.6363636363636364,0.8,0.8,0.75,0.5,0.5,0.5,1.0,
s008,0.22,0.36,0.69,0.94,0.95,0.95,0.91,0.89,0.85,0.83,0.84,0.86,0.86,0.89,0.86,0.88,0.85,0.85,0.82,0.78,0.7878787878787878,0.797752808988764,0.7901234567901234,0.7714285714285715,0.8,0.6964285714285714,0.68,0.6170212765957447,0.5909090909090909,0.6666666666666666,0.6666666666666666,0.6538461538461539,0.7391304347826086,0.6818181818181818,0.6363636363636364,0.5,0.375,0.6,0.5333333333333333,0.5714285714285714,0.5833333333333334,0.7777777777777778,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.6666666666666666,0.5,,
s009,0.04,0.08,0.14,0.87,0.99,1.0,0.98,0.95,0.93,0.91,0.9,0.9,0.91,0.94,0.93,0.91,0.92,0.94,0.95,0.95,0.9591836734693877,0.9139784946236559,0.9397590361445783,0.9466666666666667,0.9230769230769231,0.8524590163934426,0.88,0.9772727272727273,0.95,0.8857142857142857,0.8518518518518519,0.9166666666666666,0.9090909090909091,0.9444444444444444,1.0,0.9375,0.9333333333333333,0.9,0.8333333333333334,0.8333333333333334,0.75,0.75,0.5,1.0,1.0,1.0,1.0,1.0,
s010,0.59,0.86,0.93,0.91,0.81,0.57,0.5,0.44,0.41,0.51,0.59,0.58,0.61,0.71,0.71,0.7,0.68,0.64,0.61,0.62,0.6767676767676768,0.6129032258064516,0.6823529411764706,0.7368421052631579,0.8059701492537313,0.7288135593220338,0.7924528301886793,0.7777777777777778,0.5952380952380952,0.6176470588235294,0.75,0.9,0.9629629629629629,0.9259259259259259,0.875,0.7,0.8125,0.8571428571428571,0.8333333333333334,0.8,0.7,0.75,0.8571428571428571,0.6666666666666666,0.8,1.0,1.0,0.6666666666666666,0.6666666666666666
s011,0.15,0.31,0.47,0.75,0.82,0.77,0.7,0.71,0.71,0.72,0.75,0.78,0.82,0.77,0.77,0.74,0.73,0.74,0.72,0.72,0.71,0.6914893617021277,0.6976744186046512,0.6125,0.647887323943662,0.7049180327868853,0.7,0.7169811320754716,0.673469387755102,0.6097560975609756,0.6666666666666666,0.65625,0.6428571428571429,0.64,0.631578947368421,0.6666666666666666,0.7692307692307693,0.9090909090909091,0.9090909090909091,0.9,0.875,0.8571428571428571,0.8571428571428571,1.0,0.75,0.75,0.75,1.0,
s012,0.19,0.43,0.62,0.87,0.9,0.89,0.85,0.8,0.73,0.74,0.75,0.82,0.83,0.83,0.83,0.83,0.8,0.79,0.82,0.81,0.8484848484848485,0.8602150537634409,0.8452380952380952,0.8354430379746836,0.8333333333333334,0.84375,0.8275862068965517,0.8235294117647058,0.7872340425531915,0.7777777777777778,0.8157894736842105,0.78125,0.75,0.6956521739130435,0.7142857142857143,0.7333333333333333,0.6666666666666666,0.7692307692307693,0.9090909090909091,0.9,0.8888888888888888,1.0,1.0,1.0,0.8333333333333334,0.8,0.6666666666666666,0.6666666666666666,1.0
s013,0.23,0.32,0.4,0.48,0.57,0.56,0.59,0.59,0.65,0.69,0.72,0.74,0.78,0.81,0.81,0.86,0.86,0.88,0.89,0.87,0.87,0.9135802469135802,0.9041095890410958,0.8955223880597015,0.8870967741935484,0.9137931034482759,0.8979591836734694,0.8409090909090909,0.8205128205128205,0.8529411764705882,0.8148148148148148,0.8,0.875,0.7368421052631579,0.75,0.6923076923076923,0.6923076923076923,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.5555555555555556,0.75,1.0,1.0,1.0,1.0,1.0,1.0,
s014,0.06,0.35,0.6,0.87,0.95,0.95,0.97,0.99,0.98,0.98,0.96,0.93,0.94,0.94,0.91,0.93,0.94,0.93,0.95,0.96,0.96,0.9659090909090909,0.9634146341463414,0.958904109589041,0.9565217391304348,0.9516129032258065,0.9454545454545454,0.9111111111111111,0.8947368421052632,0.9117647058823529,0.90625,0.9310344827586207,0.9259259259259259,0.9166666666666666,0.8571428571428571,0.8888888888888888,0.8666666666666667,0.9230769230769231,0.8181818181818182,0.7777777777777778,0.7777777777777778,0.75,0.8,1.0,1.0,,,,
s015,0.94,0.93,0.91,0.77,0.7,0.65,0.7,0.72,0.79,0.83,0.83,0.81,0.74,0.77,0.78,0.8,0.86,0.82,0.83,0.84,0.78,0.7888888888888889,0.788235294117647,0.8356164383561644,0.8529411764705882,0.9,0.8867924528301887,0.8125,0.926829268292683,0.9459459459459459,0.8571428571428571,0.8,0.7857142857142857,0.7916666666666666,0.8636363636363636,0.7368421052631579,0.7647058823529411,0.8125,0.8,0.8461538461538461,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
s016,0.34,0.68,0.78,0.96,1.0,1.0,0.99,0.97,0.95,0.96,0.97,0.99,0.98,0.98,0.98,0.96,0.95,0.94,0.94,0.94,0.96,0.9456521739130435,0.9240506329113924,0.9459459459459459,0.9428571428571428,0.9354838709677419,0.9636363636363636,1.0,1.0,1.0,0.9210526315789473,0.8857142857142857,0.8181818181818182,0.8076923076923077,0.8461538461538461,0.9130434782608695,0.9130434782608695,1.0,0.9333333333333333,0.9285714285714286,0.9090909090909091,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0
s017,0.22,0.55,0.65,0.85,0.88,0.82,0.84,0.85,0.79,0.76,0.75,0.69,0.67,0.65,0.65,0.69,0.71,0.77,0.78,0.8,0.79,0.8023255813953488,0.7894736842105263,0.8529411764705882,0.8688524590163934,0.7857142857142857,0.74,0.8181818181818182,0.7948717948717948,0.8421052631578947,0.8,0.8387096774193549,0.7857142857142857,0.7916666666666666,0.7916666666666666,0.8,0.6875,0.6666666666666666,0.6428571428571429,0.8333333333333334,0.7272727272727273,0.6363636363636364,0.6,0.8333333333333334,0.6,0.75,1.0,1.0,1.0
s018,0.11,0.26,0.4,0.6,0.77,0.85,0.85,0.83,0.79,0.77,0.76,0.76,0.75,0.73,0.7,0.7,0.7,0.74,0.72,0.71,0.64,0.6292134831460674,0.6282051282051282,0.6307692307692307,0.6206896551724138,0.660377358490566,0.7021276595744681,0.7435897435897436,0.7222222222222222,0.6764705882352942,0.6428571428571429,0.6086956521739131,0.5714285714285714,0.5882352941176471,0.5333333333333333,0.6363636363636364,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.6,0.75,0.3333333333333333,0.0,,,
s019,0.63,0.68,0.77,0.78,0.78,0.83,0.86,0.82,0.75,0.74,0.71,0.74,0.79,0.78,0.8,0.8,0.79,0.72,0.73,0.77,0.83,0.8804347826086957,0.8690476190476191,0.8625,0.8309859154929577,0.8225806451612904,0.8490566037735849,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.9259259259259259,0.88,0.8636363636363636,0.9,0.8666666666666667,0.8,0.8,0.8,0.75,0.8571428571428571,0.8571428571428571,0.8333333333333334,1.0,1.0,1.0,0.6666666666666666,0.5,1.0
s020,0.18,0.27,0.37,0.42,0.51,0.62,0.67,0.73,0.77,0.76,0.81,0.83,0.79,0.79,0.81,0.81,0.8,0.77,0.76,0.76,0.78,0.8068181818181818,0.8205128205128205,0.8571428571428571,0.8636363636363636,0.8392857142857143,0.803921568627451,0.8125,0.8043478260869565,0.813953488372093,0.875,0.8823529411764706,0.875,0.8214285714285714,0.8260869565217391,0.7391304347826086,0.7368421052631579,0.7058823529411765,0.6875,0.6875,0.75,0.7,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,
s021,0.65,0.71,0.77,0.88,0.9,0.9,0.9,0.88,0.87,0.88,0.89,0.88,0.86,0.86,0.86,0.85,0.82,0.82,0.84,0.82,0.8,0.8148148148148148,0.7837837837837838,0.7727272727272727,0.7166666666666667,0.75,0.717391304347826,0.7619047619047619,0.7368421052631579,0.7428571428571429,0.78125,0.8076923076923077,0.7727272727272727,0.8333333333333334,0.8235294117647058,0.7857142857142857,0.7777777777777778,0.75,0.75,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.8,1.0,1.0,1.0,1.0,,
s022,0.34,0.36,0.34,0.37,0.42,0.36,0.4,0.39,0.41,0.48,0.51,0.54,0.58,0.61,0.61,0.6,0.59,0.56,0.58,0.55,0.63,0.6404494382022472,0.5875,0.5915492957746479,0.5555555555555556,0.5087719298245614,0.52,0.44680851063829785,0.4883720930232558,0.4594594594594595,0.46875,0.4230769230769231,0.4,0.4117647058823529,0.35294117647058826,0.35714285714285715,0.36363636363636365,0.375,0.25,0.4,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.3333333333333333,0.0
s023,0.34,0.57,0.56,0.63,0.78,0.8,0.76,0.73,0.8,0.85,0.86,0.88,0.86,0.84,0.8,0.83,0.87,0.88,0.84,0.84,0.86,0.8160919540229885,0.8552631578947368,0.8985507246376812,0.9193548387096774,0.8928571428571429,0.9019607843137255,0.9069767441860465,0.85,0.8571428571428571,0.8,0.8461538461538461,0.9545454545454546,0.8947368421052632,0.8125,0.8666666666666667,0.9230769230769231,1.0,1.0,0.8571428571428571,0.8,1.0,1.0,1.0,1.0,1.0,,,
s024,0.49,0.64,0.75,0.77,0.77,0.72,0.65,0.63,0.67,0.65,0.6,0.55,0.57,0.56,0.53,0.49,0.51,0.5,0.53,0.52,0.5454545454545454,0.5909090909090909,0.6049382716049383,0.6285714285714286,0.6060606060606061,0.5357142857142857,0.6037735849056604,0.6222222222222222,0.6097560975609756,0.7692307692307693,0.6764705882352942,0.7096774193548387,0.6774193548387096,0.6296296296296297,0.6666666666666666,0.7619047619047619,0.631578947368421,0.6470588235294118,0.6666666666666666,0.6428571428571429,0.5454545454545454,0.45454545454545453,0.6,0.5714285714285714,0.75,1.0,0.0,0.0,0.0
s025,0.33,0.5,0.63,0.71,0.78,0.79,0.81,0.75,0.7,0.6,0.66,0.73,0.71,0.72,0.81,0.83,0.84,0.86,0.85,0.87,0.88,0.9010989010989011,0.9367088607594937,0.9305555555555556,0.9032258064516129,0.9056603773584906,0.8541666666666666,0.851063829787234,0.8292682926829268,0.8157894736842105,0.8,0.7333333333333333,0.6923076923076923,0.6956521739130435,0.7894736842105263,0.8333333333333334,0.8125,0.9230769230769231,0.9,0.7777777777777778,0.875,0.8333333333333334,0.6,0.3333333333333333,0.5,0.5,1.0,1.0,
s026,0.39,0.6,0.63,0.59,0.49,0.41,0.38,0.38,0.47,0.5,0.58,0.55,0.59,0.64,0.66,0.63,0.69,0.69,0.71,0.66,0.72,0.6931818181818182,0.6125,0.5211267605633803,0.53125,0.5471698113207547,0.5777777777777777,0.525,0.5384615384615384,0.5862068965517241,0.5185185185185185,0.5769230769230769,0.5652173913043478,0.5238095238095238,0.6842105263157895,0.7647058823529411,0.8235294117647058,0.8571428571428571,0.8461538461538461,0.7,0.7777777777777778,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s027,0.61,0.73,0.76,0.8,0.72,0.51,0.44,0.43,0.52,0.6,0.65,0.66,0.62,0.58,0.58,0.58,0.59,0.6,0.59,0.58,0.58,0.5617977528089888,0.5365853658536586,0.5571428571428572,0.5076923076923077,0.46551724137931033,0.42857142857142855,0.43902439024390244,0.5675675675675675,0.5862068965517241,0.5769230769230769,0.48,0.391304347826087,0.4090909090909091,0.5625,0.5625,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.5555555555555556,0.5,0.5,0.4,0.0,0.0,0.0,0.0,0.0,
s028,0.44,0.64,0.74,0.88,0.75,0.65,0.64,0.64,0.66,0.7,0.7,0.71,0.71,0.67,0.67,0.69,0.69,0.75,0.71,0.63,0.6,0.6559139784946236,0.6867469879518072,0.675,0.6710526315789473,0.6666666666666666,0.5964912280701754,0.660377358490566,0.6458333333333334,0.7045454545454546,0.7027027027027027,0.6764705882352942,0.75,0.6666666666666666,0.72,0.6521739130434783,0.5454545454545454,0.55,0.4117647058823529,0.35714285714285715,0.5384615384615384,0.5,0.4444444444444444,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,1.0
s029,0.23,0.46,0.58,0.72,0.81,0.8,0.75,0.76,0.79,0.81,0.85,0.86,0.87,0.86,0.86,0.88,0.89,0.87,0.87,0.88,0.88,0.8924731182795699,0.8977272727272727,0.891566265060241,0.88,0.8571428571428571,0.8103448275862069,0.8,0.8085106382978723,0.8043478260869565,0.8604651162790697,0.8292682926829268,0.8055555555555556,0.8181818181818182,0.8064516129032258,0.84,0.92,0.9047619047619048,0.8571428571428571,0.9285714285714286,0.8461538461538461,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8,1.0,1.0,
s030,0.47,0.46,0.47,0.45,0.46,0.57,0.6,0.67,0.73,0.75,0.76,0.78,0.78,0.79,0.8,0.81,0.75,0.78,0.79,0.77,0.7777777777777778,0.8181818181818182,0.825,0.8055555555555556,0.7692307692307693,0.7547169811320755,0.7058823529411765,0.7608695652173914,0.775,0.7948717948717948,0.7837837837837838,0.7575757575757576,0.7931034482758621,0.7777777777777778,0.7391304347826086,0.7,0.7777777777777778,0.7857142857142857,0.7857142857142857,0.8333333333333334,0.8,0.75,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,1.0
s031,0.3,0.48,0.65,0.6,0.54,0.53,0.56,0.52,0.5,0.48,0.53,0.57,0.52,0.53,0.55,0.51,0.53,0.53,0.55,0.56,0.63,0.6666666666666666,0.72,0.671875,0.7142857142857143,0.6938775510204082,0.6590909090909091,0.6,0.5625,0.5517241379310345,0.6,0.7083333333333334,0.7727272727272727,0.75,0.8,0.8823529411764706,0.7333333333333333,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.75,0.8,1.0,1.0,1.0,
s032,0.76,0.89,0.94,0.96,0.93,0.9,0.87,0.79,0.68,0.63,0.6,0.56,0.57,0.49,0.48,0.52,0.54,0.57,0.59,0.6,0.64,0.6741573033707865,0.6708860759493671,0.6164383561643836,0.5846153846153846,0.5333333333333333,0.5818181818181818,0.7,0.7317073170731707,0.7027027027027027,0.7142857142857143,0.65625,0.6666666666666666,0.6363636363636364,0.7777777777777778,0.8125,0.8666666666666667,0.8461538461538461,0.9166666666666666,0.625,0.7142857142857143,0.6,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.0
