,non_ai_stop_duration_of_inhibition,ai_stop_duration_of_inhibition,ai_ai_duration_of_inhibition
s004,0.07440485008060932,0.08507489506155252,0.0811012288555503
s005,0.07388440784066916,0.08431720994412899,0.08364002220332623
s006,0.07599902894347906,0.08339911233633757,0.08091599410399794
s007,0.08354802211426725,0.07983755418344547,0.11577389261956457
s008,0.08465758481561536,0.09098424222320318,0.11592249718459346
s009,0.07499646083122552,0.07993795312941074,0.07899893725974651
s010,0.07819363162523568,0.07522332593798638,0.076731033064425
s011,0.07299529802468088,0.09600609671324492,0.14390647918917238
s012,0.0713812339430054,0.07541878854757861,0.0775123336352408
s013,0.09099815665471434,0.08997911885380745,0.1290256645064801
s014,0.07526331144023915,0.07099663950502873,0.07772954166866838
s015,0.07949191622436047,0.08073724806308746,0.10979112086666597
s016,0.07151416628950774,0.0767111113294959,0.09823477635972011
s017,0.08627546962350607,0.08761609215289354,0.1024719709996134
s018,0.07519114413058635,0.08248260952532291,0.10389899252913892
s019,0.07598051199256772,0.07921158336102962,0.09235840821638704
s020,0.08779377143830061,0.08007209952920676,0.09907092107459903
s021,0.06680175988003612,0.06927406899631024,0.06949470690451562
s022,0.0702509597470664,0.07259029764682054,0.08495487400059458
s023,0.07742912564234636,0.08113195039331914,0.08774161734912969
s024,0.07611334312479107,0.08009976595640182,0.13159975404792193
s025,0.08267836411944543,0.08082247860729694,0.12444329054295263
s026,0.07457876030583771,0.07339681684970856,0.07759156565253551
s027,0.08803006306290627,0.20192323476076127,0.36979609231154126
s028,0.07166363788072509,0.0850931566208601,0.08614866643012324
s029,0.08156391888856888,0.0901371717453003,0.1262176745595076
s030,0.07428426733336498,0.07584203518927098,0.08792386356836711
s031,0.07548770941793918,0.08339150622487068,0.08882470158860087
s032,0.06685623677089961,0.06826617196202278,0.06932700887511048
s033,0.0806561154127121,0.08761867061257363,0.10956261055544018
s034,0.0802932845801115,0.07465323335246037,0.08739874782040716
s035,0.0698120264830638,0.07001594118773938,0.0712788530758449
s036,0.092081606015563,0.12100684642791748,0.19863830834627152
s037,0.07314777268905832,0.06928121180910814,0.07766129057618636
s038,0.08061840906739234,0.08180004544556141,0.08653482375666499
s039,0.07502553897975671,0.1060959730297327,0.24068846857669401
s040,0.07491140013810285,0.07835806645452977,0.08637524273576616
s041,0.07350673270646972,0.07084809578955173,0.07635179001696502
s042,0.06687874149303047,0.08670565336942673,0.08624423353315948
s043,0.07438029482960701,0.07504952438175679,0.08903712336021134
mean,0.07699047586453414,0.08453518993025153,0.10702297806303503
