,non_ai_stop_ssrt,ai_stop_ssrt,ai_ai_ssrt
s004,0.22237046528607607,0.2425196824595332,0.2549927918706089
s005,0.21965559996664524,0.23282702397555116,0.2590661431197077
s006,0.2521589586511254,0.25671447347849613,0.29305161321535705
s007,0.258807159583978,0.28411899879574776,0.33808372424373145
s008,0.24062533266466074,0.2550479121506214,0.2964954627559909
s009,0.22236519570302482,0.259464861638844,0.25566536320161215
s010,0.24559509626241646,0.249926732853055,0.2570127625018358
s011,0.213192429995597,0.24663742389529944,0.2500621979124844
s012,0.21948604208106795,0.24020832933877645,0.23355351369827987
s013,0.2667191092564602,0.2698634987697005,0.3414516288321465
s014,0.25109575886507424,0.2307755010202527,0.2562326919287443
s015,0.296392012052238,0.38013617400276034,0.3365762270006694
s016,0.299042929039158,0.2684033542871475,0.43019384833482593
s017,0.21356472626328468,0.2649104636162519,0.2866560558322817
s018,0.22663661449686767,0.29034067671746017,0.2693178566172719
s019,0.22303370021358884,0.21900705397129058,0.24981847731396556
s020,0.23707675658166408,0.25429529305547477,0.26583190970122816
s021,0.2879183577994506,0.3315841283649206,0.3580243934877217
s022,0.2531101243438745,0.2893688641488552,0.3203951902215994
s023,0.2497061981445121,0.26921419948339465,0.2967015116746667
s024,0.22812055397246564,0.24029811583459376,0.26066834446974096
s025,0.254727801627884,0.30260532144457103,0.3033798903321164
s026,0.21572852096691422,0.24148299358785152,0.25135676327008233
s027,0.25034973680973055,0.2964040916413069,0.42863867733929606
s028,0.23705935147073537,0.2718026593327522,0.27207313129041766
s029,0.24659163065254688,0.31351977661252023,0.3207208816057596
s030,0.2888092094475461,0.3172594550997019,0.4223403570552667
s031,0.22674816757440566,0.23088068515062332,0.2750428803265095
s032,0.20773295960342042,0.22658961899578572,0.23253093348650994
s033,0.25974895894527433,0.28684766553342345,0.33713143011555075
s034,0.21633657194674016,0.2531869505581103,0.2617678916081786
s035,0.2300480755464155,0.2516860980540514,0.27302764849616334
s036,0.27283170752227304,0.30406236872076986,0.3634609612636268
s037,0.23300403213561183,0.2669347430530347,0.2662873172873183
s038,0.2611615169048309,0.25577468127012254,0.2588924101553857
s039,0.23456320106381118,0.2517574615776539,0.5466545782372599
s040,0.23314150092528038,0.23161959797143936,0.2525165649720385
s041,0.2839883222724452,0.25103899724781514,0.2712107045175154
s042,0.2188871354624933,0.22013493664562706,0.26669870191193246
s043,0.22506041057407855,0.22767972014844418,0.2730000402778387
mean,0.2430797983168917,0.2644232646125908,0.299664586787081
