,non_ai,ai,ai_ai
s004,0.23804470160067567,0.2313341435125836,0.1101655232103628
s005,0.05807503613003793,0.048937013580861874,0.08129324753016717
s006,0.051393494198189484,0.008812260536398466,0.011808259889321581
s007,0.20611230530567962,0.14775255134619375,0.13432540588970404
s008,0.09560600370397376,0.01,0.11827432156495547
s009,0.2565127528697417,0.1992853728091777,0.1356530371198465
s010,0.07377823110505971,0.03854697102721686,0.051010040182713004
s011,0.1264655701237112,0.01810074200913242,0.012081132853227688
s012,0.11124009663120113,0.13031374455299333,0.09941782456384791
s013,0.34930708390406096,0.16679865884655226,0.18488973882658583
s014,0.16578376483777554,0.18032870834500833,0.18124330880382228
s015,0.03513076230794372,0.1389191312802424,0.13044714914416303
s016,0.09109435076002143,0.04360455588331695,0.15731263629410258
s017,0.08075430960623957,0.19038842669938216,0.1323384012948124
s018,0.10689198251889151,0.2510379999672888,0.18203835916270122
s019,0.06887675043599063,0.01680188844203532,0.03696425298460792
s020,0.13718576083296882,0.07622463197843908,0.07354279343565133
s021,0.08855847121698321,0.0,0.012381483052600794
s022,0.19378895649638314,0.044098248964764296,0.11550230342292893
s023,0.10356431390514963,0.01776559229055915,0.09767444280606223
s024,0.03769929248088699,0.019815849109464774,0.08786939464690155
s025,0.20810924428882063,0.07554079773005243,0.10823570667266864
s026,0.13656889166023897,0.08110790167298053,0.04749184663598597
s027,0.06494579287171921,0.08107864357864357,0.06951813661122835
s028,0.10300633152469539,0.07679057712709092,0.10829392918828121
s029,0.1995563141537169,0.18799018357670866,0.10759780727234394
s030,0.27523678962675263,0.08888860471488651,0.1314924091018984
s031,0.0832073587922503,0.10530897717876345,0.11665591244846599
s032,0.023590541736177143,0.03414634146341464,0.013420937408068745
s033,0.16952695772292065,0.13474335000442594,0.08980151428886732
s034,0.030662869030649367,0.0,0.06374171645306066
s035,0.07359107237891459,0.04523809523809524,0.026292549364225305
s036,0.20398413256885134,0.10245935587978217,0.10848216267388348
s037,0.2542375802410779,0.21458330404358827,0.08716509387701861
s038,0.28326849335796894,0.12140604132775176,0.18450396686090823
s039,0.054514970878756765,0.0,0.038127619370054724
s040,0.07905473869029547,0.14754141968016204,0.051817582295623874
s041,0.17896768042007122,0.16201960111707242,0.1650196347475434
s042,0.013506382232643771,0.0,0.012586242794293906
s043,0.20961094902480892,0.32973005062986926,0.17361172703296432
mean,0.13302527705432238,0.09918599340362247,0.09625223879441179
