,non_ai_duration_of_inhibition,ai_duration_of_inhibition,ai_ai_duration_of_inhibition
s004,0.027184793651103975,0.035093785263597965,0.034435832081362604
s005,0.056512965671718124,0.062631618604064,0.058161725662648676
s006,0.04449835583567619,0.0467876709997654,0.04737488776445389
s007,0.04920132603496313,0.03911343775689602,0.07864910173229873
s008,0.05659727830439806,0.06345165818929673,0.09040395453383651
s009,0.030051504746079444,0.035770398937165736,0.03524338584393263
s010,0.040574494637548926,0.03849361632019281,0.038148959865793586
s011,0.04417359996587038,0.07092745546251536,0.11806377051398158
s012,0.034047918878495696,0.03659530282020569,0.044013890298083426
s013,0.05239172503352165,0.05584277492016554,0.08958609849214554
s014,0.03120925270020962,0.02508463878184557,0.034212608262896536
s015,0.031242401264607908,0.03908817966779073,0.06724551919142942
s016,0.023490226715803145,0.05164027959108353,0.05962183769745163
s017,0.054599023573100564,0.04913589730858803,0.06930878688581288
s018,0.0492360981553793,0.042541207000613215,0.07198096392676234
s019,0.03622521761804819,0.04248718693852425,0.05716641410253942
s020,0.05227335888892412,0.04601094052195549,0.06529022767208517
s021,0.024597335048019885,0.028321245312690736,0.02860874366015196
s022,0.04720738057047129,0.05164996329694986,0.053906532004475594
s023,0.03306583646684885,0.03613659180700779,0.04759054435417056
s024,0.04560706362128258,0.05419277790933848,0.10899121965034099
s025,0.04446540612727404,0.04500445481389761,0.08386397887952626
s026,0.043204269856214526,0.04160501323640346,0.052322632527049585
s027,0.060847396552562716,0.10749339643451902,0.33330876821157884
s028,0.037230832353234294,0.05515370965003967,0.0557556315502034
s029,0.041013505682349204,0.05162124596536159,0.09446820970624685
s030,0.03502836093306541,0.0392177302390337,0.04795226454734802
s031,0.04124701924622059,0.04825905747711658,0.05424742540344596
s032,0.0362470780313015,0.03588752821087837,0.036983635649085043
s033,0.043942388966679576,0.04926762916147709,0.06697845989838243
s034,0.05865473285317421,0.05263059064745903,0.06550421165302396
s035,0.02905751734972,0.028389688953757285,0.0290481629781425
s036,0.04920130670070648,0.08587538227438926,0.17068601171175637
s037,0.03778345182989583,0.027503228187561034,0.04486106177791953
s038,0.05293029084801674,0.04177037924528122,0.05467210579663515
s039,0.04460623286664486,0.08765286207199097,0.2161829435825348
s040,0.05044919647276402,0.0462368655949831,0.060555925127118826
s041,0.031873059570789335,0.028354965150356293,0.03295123931020498
s042,0.027022284716367723,0.03663170486688614,0.04718897612765431
s043,0.030167059898376467,0.029956489428877832,0.04648991551580308
mean,0.041473963705935715,0.04723771372551307,0.07230066410375784
