,non_ai,ai,ai_ai
s004,0.709990231990232,0.5244444444444445,0.9641666666666667
s005,0.7566678876678877,0.44333333333333336,0.9641666666666667
s006,0.6007777777777779,0.22609195402298848,0.9641666666666667
s007,0.5963162393162392,0.5188888888888888,0.8405555555555555
s008,0.6547210371328019,0.37495115995115996,0.8652793040293041
s009,0.8681111111111113,0.7694444444444444,0.9023611111111112
s010,0.6772222222222223,0.4927777777777777,0.9394459706959708
s011,0.73689010989011,0.41000000000000003,0.9888888888888889
s012,0.5803333333333334,0.5677777777777778,0.9023626373626374
s013,0.7863333333333334,0.4083333333333333,0.8776388888888889
s014,0.39598656898656903,0.42013888888888895,0.8900015262515263
s015,0.4844456654456655,0.2577777777777778,0.8776388888888889
s016,0.29633749583749586,0.2577777777777778,0.9023611111111112
s017,0.5922222222222223,0.3561111111111111,0.9518070818070818
s018,0.6206666666666667,0.5722222222222222,0.9147222222222222
s019,0.3346666666666666,0.24666666666666673,0.9518055555555556
s020,0.42044444444444445,0.2616666666666667,0.9641666666666667
s021,0.26752747252747255,0.07111111111111112,0.9394444444444445
s022,0.7443333333333335,0.2655555555555556,0.9023611111111112
s023,0.6465700909577314,0.5066727716727717,0.9270833333333334
s024,0.7792209737827718,0.6905555555555556,0.9023611111111112
s025,0.6791111111111112,0.36888888888888893,0.89
s026,0.8414444444444448,0.5033333333333334,0.9394459706959708
s027,0.5003333333333333,0.28641975308641976,0.9270833333333334
s028,0.532,0.27666666666666667,0.9147222222222222
s029,0.5083333333333333,0.25888888888888895,0.9270833333333334
s030,0.5704456654456656,0.20944444444444446,0.8776388888888889
s031,0.7990000000000002,0.8277777777777778,0.8776388888888889
s032,0.47533333333333333,0.39222222222222236,0.9888904151404152
s033,0.6277777777777779,0.4033333333333333,0.9394444444444445
s034,0.5948901098901099,0.37722222222222224,0.9765277777777779
s035,0.21788522588522594,0.10333333333333332,0.9394459706959708
s036,0.47020757020757015,0.23111111111111113,0.8900015262515264
s037,0.6477777777777777,0.42666666666666664,0.9023641304347827
s038,0.8054456654456656,0.4427838827838828,0.9023611111111112
s039,0.6075567765567765,0.3938888888888889,0.9518055555555556
s040,0.7723281653746771,0.7177777777777777,0.89
s041,0.3358888888888889,0.39055555555555554,0.9518070818070818
s042,0.6347777777777778,0.185,0.9765277777777779
s043,0.6106666666666666,0.6433333333333333,0.9023611111111112
mean,0.5945247126974055,0.4020236824823752,0.9224483737126402
