,non_ai_ssrt,ai_ssrt,ai_ai_ssrt
s004,0.2664201680198312,0.29250079225748776,0.2933158000465482
s005,0.23702704213559628,0.2545126153156162,0.28454443966038523
s006,0.2836596317589283,0.2933259148150683,0.3265927195549011
s007,0.29124484919011595,0.3149830471724272,0.37144374889321624
s008,0.2670504189282656,0.28258049618452785,0.3220140054067479
s009,0.2643090796843171,0.303632415831089,0.2972448589745909
s010,0.2816622911766171,0.28665644247084854,0.29559483570046724
s011,0.24088421441614627,0.271716065146029,0.2759049065876752
s012,0.24916687071323396,0.271219821088016,0.2670519570354372
s013,0.3033068162202835,0.30399984270334246,0.3808911948464811
s014,0.2918722528964281,0.27668750174343587,0.29974962533451616
s015,0.3446415270119905,0.41959318616672564,0.3785948347548644
s016,0.34224441785365345,0.2934741860255599,0.46402463472530814
s017,0.2452411723136902,0.30339065846055746,0.31981923994608225
s018,0.24841498620808125,0.33028207924216985,0.3012358852196485
s019,0.2615347569808364,0.25573145039379597,0.28501047142781316
s020,0.2725971691310406,0.28835645206272603,0.299612603103742
s021,0.3199007337912917,0.3725369520485401,0.39891035673208536
s022,0.2745018196105957,0.3103091984987259,0.3483260973822325
s023,0.289005512483418,0.31420955806970596,0.3339334958232939
s024,0.2556123297661543,0.26620510388165713,0.28341141911223533
s025,0.29116056267172097,0.33842334523797035,0.3404968686401844
s026,0.24440827034413815,0.2732747972011566,0.27443400947377083
s027,0.27753240332007406,0.3143903919392162,0.4472042071456845
s028,0.26995253004133707,0.3017421063035727,0.30246616617033756
s029,0.28714204385876657,0.3520357023924589,0.3453022669069469
s030,0.3219258073717356,0.35388376004993916,0.4534040386788547
s031,0.2609888577461243,0.26601313389837744,0.3071153175085783
s032,0.23710873387753964,0.25896826274693013,0.2631707050837576
s033,0.2964626853913069,0.32519870698451997,0.3701369004324079
s034,0.23797512367367746,0.26699705943465235,0.28366242777556183
s035,0.2656842876970768,0.2933123502880335,0.3109856262803078
s036,0.3157120068371296,0.3391938328742981,0.3953001040033996
s037,0.26836835299477435,0.29978089444339273,0.29674811065196993
s038,0.2888496351242065,0.29580434747040274,0.2907551281154156
s039,0.26350102186203,0.27020057253539564,0.5444334612273779
s040,0.25264076873660085,0.263740798830986,0.2760999738238752
s041,0.3137914517521858,0.29353212788701055,0.3125346936285496
s042,0.253996200338006,0.27020888514816765,0.29865402141585945
s043,0.2692736455053091,0.27277275510132315,0.30110640899290014
mean,0.2761693112358564,0.2988844402586464,0.3310309391556004
