,non_ai_ssrt_first_half,ai_ssrt_first_half,ai_ai_ssrt_first_half
s004,0.2704005132615566,0.2755522411316633,0.2852082311929691
s005,0.23040678791701794,0.258052421733737,0.3076043248708759
s006,0.28598112747073173,0.28894581645727163,0.3046197305696133
s007,0.2987075677514076,0.30889715041433063,0.3358474531107479
s008,0.27485521987080574,0.2681575305759907,0.3040481979958713
s009,0.26470872201025486,0.2933576267212629,0.2776330326683819
s010,0.2889922975003719,0.2678007151931524,0.29114880012348293
s011,0.23906647212803364,0.26834060549736016,0.26895340364426373
s012,0.24126418113708495,0.275155497448785,0.25838425227029377
s013,0.2835555160790682,0.2908343385372843,0.39268280288507773
s014,0.26889854051172735,0.2712876237928868,0.29246773226186634
s015,0.3301053164154291,0.5322958561591804,0.380555008814947
s016,0.36185314632952215,0.2751405466347933,0.4811412081122398
s017,0.24306462965905667,0.29247608097891015,0.30191745246319396
s018,0.2409370331466198,0.3112062510723869,0.2837914705864693
s019,0.2713839240372181,0.257438387721777,0.278979057740224
s020,0.27235563807189467,0.29446064606308936,0.30179801359772684
s021,0.31336872905492785,0.3484548709609292,0.3788527873082039
s022,0.26285782776772976,0.3411555952495999,0.3652692816969825
s023,0.30033698931336406,0.3034914433956146,0.34639077770866844
s024,0.2596191050857306,0.2734446447963516,0.2958657598417056
s025,0.28985106498003005,0.3698238887720638,0.3458337607543643
s026,0.24284923195838928,0.29233631988366443,0.2917274289378306
s027,0.27004797562956806,0.2963902490834394,0.41942457677352996
s028,0.2639239259064198,0.266670585423708,0.27631444063706273
s029,0.2933789469301701,0.32924158684909344,0.3597409554610127
s030,0.3235833929479122,0.2992229061201215,0.4521977633592628
s031,0.25821209251880645,0.27171843711818966,0.27849763389243637
s032,0.24491592332720757,0.25498169999230996,0.25365835924943286
s033,0.28321806132793426,0.321517039090395,0.3889622158910099
s034,0.235256128013134,0.2539002108905051,0.2835724948019516
s035,0.26067317217588426,0.2738706814971837,0.32268953495300734
s036,0.30797228157520296,0.3175427233800292,0.4212656867291246
s037,0.26894411042332655,0.31033991277217865,0.30649719044968887
s038,0.26455711111426355,0.27121246131983673,0.2884955704212188
s039,0.27198673397302625,0.2731422707438469,0.5449614046976484
s040,0.2655042164027691,0.26236611902713775,0.27068952545523645
s041,0.2838719703257084,0.3069074479863048,0.3083624784790334
s042,0.25391740933060647,0.25965105742216116,0.3085614638403058
s043,0.2691726939380169,0.2839938114796366,0.3236935945848624
mean,0.27386389318294835,0.29526938248470413,0.32945762147079555
