,go_rt,stop_fail_rt,go_acc,stop_failure_acc,stop_success,avg_ssd,min_ssd,max_ssd,min_ssd_count,max_ssd_count,ssrt
s004,0.5065265443020811,0.441186660900712,1.0,1.0,0.4583333333333333,0.29375,0.1,0.5,0.0,0.0,0.2061339795589447
s005,0.5096488002066811,0.4202728122472763,0.9895833333333334,1.0,0.5208333333333334,0.3208333333333333,0.15,0.55,0.0,0.0,0.1604066746930281
s006,0.5097213212478285,0.4566815004724523,0.9791666666666666,1.0,0.5208333333333334,0.30833333333333335,0.1,0.5,0.0,0.0,0.17605390424529704
s007,0.7685073805429662,0.6618804195049134,0.9895833333333334,1.0,0.5416666666666666,0.53125,0.25,0.75,0.0,1.0,0.20381689071655273
s008,0.5680676101461837,0.487528664910275,0.9583333333333334,0.9130434782608695,0.5208333333333334,0.3729166666666666,0.2,0.55,0.0,0.0,0.18340198149283732
s009,0.6127819832181558,0.4649856117154871,1.0,1.0,0.5625,0.3770833333333334,0.25,0.55,0.0,0.0,0.22284206176797544
s010,0.5108293129596859,0.47552562488809874,1.0,1.0,0.5208333333333334,0.3395833333333333,0.25,0.45,0.0,0.0,0.16916257540384932
s011,0.4675180062962075,0.42302298157111456,1.0,1.0,0.5208333333333334,0.28541666666666665,0.2,0.4,0.0,0.0,0.18624007304509482
s012,0.6889239802258089,0.566016268662431,1.0,1.0,0.5416666666666666,0.47500000000000003,0.3,0.7,0.0,0.0,0.19746594280004498
s013,0.7748614920976948,0.6113806535445508,0.9791666666666666,1.0,0.5625,0.4791666666666667,0.3,0.75,0.0,1.0,0.27843141679962474
s014,0.5429351446218789,0.47478969721123576,0.96875,1.0,0.5,0.32916666666666666,0.15,0.5,0.0,0.0,0.21707344328363737
s015,0.5858473551149169,0.5461320854399515,0.9583333333333334,0.9565217391304348,0.5208333333333334,0.3229166666666667,0.2,0.45,0.0,0.0,0.24011201908191043
s016,0.6267570325095827,0.5347030999449393,1.0,1.0,0.5,0.37291666666666673,0.25,0.5,0.0,0.0,0.25251908053954436
s017,0.5820878799228618,0.4706339850697828,1.0,1.0,0.5208333333333334,0.38125000000000003,0.2,0.5,0.0,0.0,0.18315220028162
s018,0.32881826360244304,0.31737540662288666,0.9791666666666666,1.0,0.5208333333333334,0.10833333333333334,0.0,0.2,1.0,0.0,0.21500579367081324
s019,0.40325447206851095,0.3249931252960648,0.90625,0.9285714285714286,0.5625,0.153125,0.05,0.25,0.0,0.0,0.22610630393028258
s020,0.3745411566148202,0.3643352162713806,0.9375,1.0,0.5,0.1125,0.0,0.2,1.0,0.0,0.2601090788841247
